Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
convit_base	configs_unified_lr/convit_base/config_convit_base_CosFace_AdamW_0.001_cosine.yaml	222	0	0.0	1.689	2.917	0.181	0.0	1.454	3.156	0.168
convit_base	configs_unified_lr/convit_base/config_convit_base_CosFace_AdamW_0.001_cosine.yaml	222	1	0.0	3.169	2.734	0.466	0.0	2.567	2.727	0.414
convit_base	configs_unified_lr/convit_base/config_convit_base_CosFace_AdamW_0.001_cosine.yaml	222	2	0.0	5.304	2.855	0.754	0.0	4.505	2.917	0.733
convit_base	configs_unified_lr/convit_base/config_convit_base_CosFace_AdamW_0.001_cosine.yaml	222	3	0.0	3.588	1.888	0.343	0.0	2.541	1.771	0.283
convit_base	configs_unified_lr/convit_base/config_convit_base_CosFace_AdamW_0.001_cosine.yaml	222	4	0.0	4.413	2.813	0.728	0.0	3.47	2.712	0.662
convit_base	configs_unified_lr/convit_base/config_convit_base_CosFace_AdamW_0.001_cosine.yaml	222	5	0.0	4.728	2.303	0.589	0.0	3.772	2.281	0.57
convit_base	configs_unified_lr/convit_base/config_convit_base_CosFace_AdamW_0.001_cosine.yaml	222	6	0.0	5.592	3.517	1.098	0.0	4.426	3.411	1.021
convit_base	configs_unified_lr/convit_base/config_convit_base_CosFace_AdamW_0.001_cosine.yaml	222	7	0.0	5.749	4.094	1.35	0.0	5.225	3.963	1.274
convit_base	configs_unified_lr/convit_base/config_convit_base_CosFace_AdamW_0.001_cosine.yaml	222	8	0.0	3.117	2.736	0.576	0.0	3.038	2.679	0.565
convit_base	configs_unified_lr/convit_base/config_convit_base_CosFace_AdamW_0.001_cosine.yaml	222	9	0.0	2.789	2.556	0.483	0.0	2.397	2.44	0.457
convit_base	configs_unified_lr/convit_base/config_convit_base_CosFace_AdamW_0.001_cosine.yaml	222	10	0.0	4.479	3.768	1.115	0.0	3.929	3.702	1.092
convit_base	configs_unified_lr/convit_base/config_convit_base_CosFace_AdamW_0.001_cosine.yaml	222	11	0.0	3.745	2.692	0.679	0.0	3.483	2.64	0.637
convit_base	configs_unified_lr/convit_base/config_convit_base_CosFace_AdamW_0.001_cosine.yaml	222	12	0.0	5.972	4.444	1.506	0.0	4.636	4.401	1.413
convit_base	configs_unified_lr/convit_base/config_convit_base_CosFace_AdamW_0.001_cosine.yaml	222	13	0.0	5.199	4.494	1.429	0.0	4.701	4.389	1.386
convit_base	configs_unified_lr/convit_base/config_convit_base_CosFace_AdamW_0.001_cosine.yaml	222	14	0.0	4.623	4.255	1.267	0.0	3.929	4.014	1.185
convit_base	configs_unified_lr/convit_base/config_convit_base_CosFace_AdamW_0.001_cosine.yaml	222	15	0.0	4.806	3.515	0.966	0.0	3.091	3.374	0.87
convit_base	configs_unified_lr/convit_base/config_convit_base_CosFace_AdamW_0.001_cosine.yaml	222	16	0.0	3.654	2.24	0.498	0.0	3.064	1.91	0.399
convit_base	configs_unified_lr/convit_base/config_convit_base_CosFace_AdamW_0.001_cosine.yaml	222	17	0.0	6.26	5.928	2.091	0.0	5.16	5.847	2.002
convit_base	configs_unified_lr/convit_base/config_convit_base_CosFace_AdamW_0.001_cosine.yaml	222	18	0.0	6.469	6.393	2.377	0.0	5.841	6.241	2.206
convit_base	configs_unified_lr/convit_base/config_convit_base_CosFace_AdamW_0.001_cosine.yaml	222	19	0.0	7.124	6.56	2.49	0.0	5.815	6.479	2.319
convit_base	configs_unified_lr/convit_base/config_convit_base_CosFace_AdamW_0.001_cosine.yaml	222	20	0.0	7.91	7.27	2.817	0.0	6.587	7.214	2.636
convit_base	configs_unified_lr/convit_base/config_convit_base_CosFace_AdamW_0.001_cosine.yaml	222	21	0.0	8.198	8.074	3.228	0.0	6.744	7.977	2.967
convit_base	configs_unified_lr/convit_base/config_convit_base_CosFace_AdamW_0.001_cosine.yaml	222	22	0.0	8.381	8.502	3.403	0.0	6.771	8.256	3.1
convit_base	configs_unified_lr/convit_base/config_convit_base_CosFace_AdamW_0.001_cosine.yaml	222	23	0.0	8.015	8.896	3.542	0.0	7.019	8.6	3.25
convit_base	configs_unified_lr/convit_base/config_convit_base_CosFace_AdamW_0.001_cosine.yaml	222	24	0.0	8.355	9.512	3.819	0.0	7.425	9.137	3.479
convit_base	configs_unified_lr/convit_base/config_convit_base_CosFace_AdamW_0.001_cosine.yaml	222	25	0.0	9.075	9.856	4.055	0.0	7.753	9.601	3.722
convit_base	configs_unified_lr/convit_base/config_convit_base_CosFace_AdamW_0.001_cosine.yaml	222	26	0.0	9.154	10.942	4.546	0.0	7.727	10.469	4.109
convit_base	configs_unified_lr/convit_base/config_convit_base_CosFace_AdamW_0.001_cosine.yaml	222	27	0.0	8.984	11.668	4.811	0.0	7.975	11.294	4.427
