Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	0	0.0	16.448	7.996	3.506	0.0	12.873	8.348	3.512
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	1	0.0	40.1	9.264	6.146	0.0	28.274	9.768	5.853
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	2	0.0	49.62	8.996	6.703	0.0	34.691	9.865	6.552
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	3	0.0	55.998	8.705	7.069	0.0	40.401	9.921	7.118
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	4	0.0	59.914	8.939	7.551	0.0	44.801	9.72	7.367
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	5	0.0	64.484	8.737	7.975	0.0	50.563	9.558	7.756
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	6	0.0	66.867	8.302	7.798	0.0	52.462	9.334	7.722
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	7	0.0	69.644	8.336	8.072	0.0	55.094	9.087	7.851
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	8	0.0	71.268	8.168	8.036	0.0	57.321	8.912	7.888
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	9	0.0	71.451	8.323	8.396	0.0	59.167	8.874	7.992
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	10	0.0	73.481	8.097	8.41	0.0	60.778	8.943	8.229
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	11	0.0	73.769	7.992	8.306	0.0	62.362	8.708	8.082
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	12	0.0	74.686	7.996	8.449	0.0	63.358	8.893	8.356
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	13	0.0	75.262	7.93	8.388	0.0	63.607	8.726	8.231
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	14	0.0	75.314	7.855	8.391	0.0	64.327	8.594	8.212
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	15	0.0	76.611	7.915	8.567	0.0	65.44	8.672	8.329
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	16	0.0	77.03	7.851	8.562	0.0	65.977	8.655	8.459
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	17	0.0	77.2	7.778	8.514	0.0	66.488	8.567	8.405
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	18	0.0	77.226	7.741	8.52	0.0	66.527	8.541	8.381
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	19	0.0	77.514	7.782	8.537	0.0	68.033	8.623	8.561
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	20	0.0	77.973	7.734	8.611	0.0	68.295	8.523	8.508
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	21	0.0	77.527	7.816	8.618	0.0	68.151	8.45	8.419
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	22	0.0	78.169	7.647	8.543	0.0	68.347	8.472	8.517
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	23	0.0	78.012	7.796	8.735	0.0	69.081	8.562	8.576
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	24	0.0	78.313	7.642	8.512	0.0	68.609	8.372	8.433
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	25	0.0	78.143	7.721	8.67	0.0	68.766	8.477	8.56
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	26	0.0	78.248	7.575	8.525	0.0	69.749	8.44	8.566
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	27	0.0	77.737	7.741	8.655	0.0	70.299	8.361	8.471
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	28	0.0	78.798	7.748	8.714	0.0	69.893	8.439	8.628
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	29	0.0	78.418	7.78	8.721	0.0	69.618	8.503	8.661
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	30	0.0	77.685	7.681	8.654	0.0	69.866	8.431	8.563
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	31	0.0	77.868	7.695	8.656	0.0	70.076	8.471	8.605
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	32	0.0	77.737	7.77	8.707	0.0	70.246	8.494	8.633
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	33	0.0	78.47	7.709	8.676	0.0	69.238	8.41	8.528
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	34	0.0	76.441	7.789	8.626	0.0	68.871	8.492	8.623
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	35	0.0	77.357	7.721	8.647	0.0	68.976	8.467	8.567
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	36	0.0	77.187	7.838	8.658	0.0	69.251	8.497	8.594
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	37	0.0	76.991	7.698	8.542	0.0	70.089	8.426	8.596
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	38	0.0	77.423	7.784	8.682	0.0	69.775	8.492	8.63
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	39	0.0	77.318	7.736	8.604	0.0	68.544	8.44	8.514
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	40	0.0	76.349	7.747	8.604	0.0	69.264	8.443	8.534
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	41	0.0	76.192	7.824	8.67	0.0	69.84	8.509	8.637
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	42	0.0	76.349	7.83	8.629	0.0	68.976	8.563	8.675
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	43	0.0	74.489	7.89	8.557	0.0	68.308	8.583	8.555
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	44	0.0	75.655	7.816	8.527	0.0	68.36	8.551	8.6
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	45	0.0	75.616	7.872	8.587	0.0	68.871	8.56	8.6
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	46	0.0	74.961	7.834	8.503	0.0	68.439	8.528	8.498
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	47	0.0	75.157	7.892	8.575	0.0	67.994	8.564	8.505
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	48	0.0	75.17	7.915	8.569	0.0	67.103	8.625	8.545
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	49	0.0	74.764	7.923	8.576	0.0	68.072	8.63	8.572
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	50	0.0	74.817	7.868	8.509	0.0	67.876	8.652	8.59
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	51	0.0	74.987	7.937	8.539	0.0	66.907	8.631	8.486
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	52	0.0	74.45	7.966	8.534	0.0	66.881	8.695	8.548
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	53	0.0	74.254	7.893	8.453	0.0	67.247	8.58	8.425
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	54	0.0	73.795	7.992	8.551	0.0	66.317	8.689	8.527
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	55	0.0	74.07	7.938	8.474	0.0	66.54	8.691	8.499
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	56	0.0	73.965	8.024	8.522	0.0	66.016	8.756	8.504
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	57	0.0	73.415	8.032	8.469	0.0	66.003	8.712	8.413
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	58	0.0	73.088	8.011	8.443	0.0	65.375	8.722	8.379
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	59	0.0	72.931	8.019	8.403	0.0	65.113	8.67	8.388
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	60	0.0	73.088	8.009	8.42	0.0	65.479	8.76	8.398
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	61	0.0	72.8	8.006	8.37	0.0	64.942	8.763	8.386
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	62	0.0	72.184	8.045	8.402	0.0	64.157	8.78	8.295
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	63	0.0	72.734	8.045	8.35	0.0	64.196	8.765	8.336
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	64	0.0	71.936	8.111	8.395	0.0	64.34	8.779	8.336
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	65	0.0	72.486	8.097	8.372	0.0	64.039	8.811	8.33
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	66	0.0	72.132	8.086	8.359	0.0	64.235	8.815	8.365
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	67	0.0	72.08	8.144	8.387	0.0	63.764	8.822	8.321
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	68	0.0	72.106	8.129	8.365	0.0	64.026	8.82	8.312
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	69	0.0	72.001	8.105	8.344	0.0	64.013	8.842	8.329
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	70	0.0	71.674	8.174	8.362	0.0	62.546	8.875	8.278
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	71	0.0	71.189	8.13	8.306	0.0	62.768	8.89	8.309
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	72	0.0	71.647	8.153	8.32	0.0	62.729	8.911	8.294
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	73	0.0	71.019	8.237	8.4	0.0	62.886	8.937	8.311
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	74	0.0	70.993	8.202	8.351	0.0	62.218	8.939	8.283
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	75	0.0	70.796	8.226	8.371	0.0	62.795	8.907	8.297
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	76	0.0	70.94	8.198	8.306	0.0	62.258	8.957	8.277
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	77	0.0	70.718	8.232	8.39	0.0	61.773	8.94	8.248
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	78	0.0	70.927	8.258	8.373	0.0	61.472	8.972	8.255
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	79	0.0	71.294	8.257	8.369	0.0	62.114	8.983	8.281
cspdarknet53	configs_unified_lr/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	80	0.0	70.901	8.278	8.371	0.0	61.97	8.989	8.263
