Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_ArcFace_AdamW.yaml	222	0	0.0	7.543	9.933	3.365	0.0	5.775	10.935	3.514
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_ArcFace_AdamW.yaml	222	1	0.0	25.917	9.026	5.111	0.0	18.95	9.704	4.924
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_ArcFace_AdamW.yaml	222	2	0.0	39.811	8.77	6.05	0.0	29.557	9.538	5.791
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_ArcFace_AdamW.yaml	222	3	0.0	48.167	8.7	6.664	0.0	36.59	9.189	6.136
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_ArcFace_AdamW.yaml	222	4	0.0	54.715	8.206	6.872	0.0	41.697	9.658	6.999
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_ArcFace_AdamW.yaml	222	5	0.0	60.503	8.312	7.422	0.0	48.599	8.792	6.898
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_ArcFace_AdamW.yaml	222	6	0.0	66.684	8.379	7.918	0.0	53.759	8.985	7.364
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_ArcFace_AdamW.yaml	222	7	0.0	70.364	8.067	7.918	0.0	59.835	8.743	7.594
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_ArcFace_AdamW.yaml	222	8	0.0	73.782	7.839	8.055	0.0	62.952	8.698	7.847
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_ArcFace_AdamW.yaml	222	9	0.0	75.301	7.924	8.312	0.0	65.545	8.79	8.161
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_ArcFace_AdamW.yaml	222	10	0.0	76.991	7.818	8.379	0.0	68.347	8.37	8.024
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_ArcFace_AdamW.yaml	222	11	0.0	78.641	7.809	8.54	0.0	69.133	8.335	8.105
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_ArcFace_AdamW.yaml	222	12	0.0	77.855	7.673	8.355	0.0	70.901	8.284	8.07
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_ArcFace_AdamW.yaml	222	13	0.0	79.662	7.726	8.707	0.0	72.211	8.428	8.48
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_ArcFace_AdamW.yaml	222	14	0.0	81.037	7.694	8.711	0.0	73.245	8.18	8.3
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_ArcFace_AdamW.yaml	222	15	0.0	80.788	7.397	8.447	0.0	73.546	8.278	8.45
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_ArcFace_AdamW.yaml	222	16	0.0	81.443	7.499	8.576	0.0	73.494	8.165	8.385
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_ArcFace_AdamW.yaml	222	17	0.0	81.679	7.659	8.811	0.0	74.869	8.14	8.454
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_ArcFace_AdamW.yaml	222	18	0.0	82.006	7.492	8.727	0.0	75.236	8.199	8.597
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_ArcFace_AdamW.yaml	222	19	0.0	82.268	7.478	8.687	0.0	76.166	7.944	8.426
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_ArcFace_AdamW.yaml	222	20	0.0	82.504	7.559	8.863	0.0	76.86	8.12	8.681
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_ArcFace_AdamW.yaml	222	21	0.0	82.098	7.421	8.678	0.0	76.074	8.065	8.554
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_ArcFace_AdamW.yaml	222	22	0.0	82.727	7.44	8.744	0.0	76.86	7.957	8.54
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_ArcFace_AdamW.yaml	222	23	0.0	82.307	7.458	8.75	0.0	75.786	8.141	8.697
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_ArcFace_AdamW.yaml	222	24	0.0	82.19	7.465	8.878	0.0	76.572	8.059	8.644
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_ArcFace_AdamW.yaml	222	25	0.0	82.465	7.365	8.71	0.0	76.65	8.015	8.608
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_ArcFace_AdamW.yaml	222	26	0.0	82.805	7.314	8.666	0.0	76.742	8.121	8.718
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_ArcFace_AdamW.yaml	222	27	0.0	82.871	7.34	8.774	0.0	77.082	8.005	8.669
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_ArcFace_AdamW.yaml	222	28	0.0	82.674	7.375	8.787	0.0	76.873	8.056	8.755
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_ArcFace_AdamW.yaml	222	29	0.0	82.962	7.357	8.802	0.0	77.108	7.984	8.66
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_ArcFace_AdamW.yaml	222	30	0.0	82.399	7.448	8.821	0.0	76.689	8.011	8.662
