ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48
0,744,284,78,100,367,367,53,147,41,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
1,382,216,19,206,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,185
2,119,88,339,53,147,53,147,53,147,53,147,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,147,53,53,53,53,53,53,53,356,53,53,53,53,53,53,53,53,53,53,53,53,53
3,623,583,179,213,65,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347
4,105,280,100,7,22,24,224,224,187,224,347,347,347,224,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,118,347,356,325,347,28,347,347,356,108,185,28,347,356,185
5,665,575,213,366,366,366,366,366,366,366,366,366,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,185,347,347,347,347,347,179,347
6,184,160,723,22,303,245,65,132,56,132,401,291,713,65,713,65,279,370,713,713,170,370,132,174,170,68,79,279,275,279,170,275,275,65,118,356,356,325,356,28,185,185,356,279,185,28,185,356,185
7,106,323,174,190,132,132,340,132,340,132,132,132,132,132,132,132,205,205,395,205,364,205,205,205,205,205,205,205,340,205,340,205,395,205,205,356,356,325,356,28,185,185,356,366,185,28,185,356,185
8,472,66,244,23,364,301,202,275,12,202,275,275,275,275,275,364,385,385,275,275,202,385,202,385,208,208,251,385,274,385,274,308,308,541,118,356,356,325,356,28,185,185,356,291,185,28,185,356,185
9,526,340,125,255,243,125,412,261,261,125,261,492,492,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,356,261,261,261,254,261,261,261,261,261,261
10,747,714,321,229,137,189,78,678,31,632,53,153,261,261,261,261,261,261,261,99,99,21,78,261,261,261,467,75,75,75,261,589,99,261,118,261,356,325,356,183,185,185,356,353,185,701,276,789,742
11,562,742,237,86,86,158,86,86,261,263,32,225,261,261,261,261,32,261,261,261,261,261,261,261,515,261,261,261,261,621,776,261,634,383,118,356,147,139,356,601,185,185,356,776,185,28,185,356,185
12,567,109,390,87,87,390,15,139,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,390,15,15,115,15,15,15,15,15,15,15,15,15,15,203,629,174,15,15,28,15,15,15
13,616,87,145,356,87,139,87,97,139,87,115,97,125,125,192,125,87,125,192,15,134,139,125,87,15,288,87,139,87,501,87,87,369,139,118,356,356,369,356,28,185,185,369,369,185,28,185,356,185
14,390,342,123,342,342,657,342,139,15,15,139,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,128,390,15,15,15,15,15,15,15,15,15,15,185,108,174,15,15,667,15,356,15
15,74,517,51,280,86,306,203,113,139,203,203,203,203,203,203,203,203,203,203,203,403,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,139,185,203,203
16,157,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203
17,786,381,399,329,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,139,134,203,203,203,203,203,203,225,203,203,203,203,203,203,203,203,185,203,185
18,295,307,118,190,79,364,245,68,231,231,231,318,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231
19,49,303,100,190,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231
20,187,23,362,53,231,53,131,231,231,53,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231
21,371,574,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368
22,338,571,74,368,167,545,659,32,368,368,368,85,85,68,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,356,368,325,368,368,368,185,368,368,368,28,185,356,368
23,193,138,193,173,311,368,681,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368
24,682,179,101,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
25,810,255,170,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
26,481,162,80,101,101,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
27,668,306,191,53,91,364,140,294,148,148,148,148,263,256,148,263,323,256,323,323,323,323,256,323,323,323,323,323,323,323,323,323,323,323,323,356,356,325,356,28,185,185,323,323,185,28,185,323,185
28,312,396,121,190,91,7,323,166,323,323,256,323,256,256,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323
29,295,366,139,329,91,182,182,182,182,182,323,182,364,364,364,364,323,323,364,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,356,356,325,356,28,185,185,356,323,185,28,185,356,185
30,369,76,245,268,285,7,389,7,363,245,363,245,245,245,363,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,185
31,669,88,131,270,347,245,131,245,130,245,130,245,245,130,245,245,130,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,356,325,245,245,185,245,245,245,245,28,185,356,245
