ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46
0,5968,1087,1148,1102,2324,74,1681,1672,3313,55,3313,3313,3313,285,3313,3313,3313,3313,3313,1840,3313,41,3313,3209,1840,2684,1840,3209,3203,1782,3209,2734,2388,2560,2734,1840,3209,2588,2560,2560,4914,1782,988,3209,988,1840,2734
1,2146,1087,3028,1102,3145,886,1681,1623,427,427,285,2288,1326,427,3313,427,2560,3468,3468,2142,3468,3468,3313,3468,3468,1915,898,3209,938,898,3468,1782,386,2560,386,1840,888,427,1782,3468,1840,2388,2550,938,386,1840,5956
2,3905,1087,1710,285,2398,1233,3383,3383,3383,1734,455,138,138,1858,455,2741,2998,2741,888,2142,2741,2741,2998,427,2208,2142,2998,819,2741,2998,2741,2998,2998,1146,2998,2998,2998,819,2998,2998,3178,2998,2998,898,2998,2998,2581
3,2980,1087,1148,62,1073,1919,2303,1672,3313,576,2075,2283,2075,2075,1672,2075,102,4952,102,1672,2075,1672,102,4669,1807,745,1672,102,406,3416,4551,3416,1672,469,6348,1761,3416,6348,3416,1752,5719,6348,3416,100,3416,102,3416
4,2980,1087,3028,756,2118,2118,5583,680,680,1780,2621,680,2638,3182,2638,4996,2509,2638,2384,102,2457,2457,2509,2509,2749,1942,2749,2055,2055,5194,2055,2760,2055,1519,5194,2055,5194,3386,1882,1882,1882,1882,2638,1882,1882,5719,1999
5,2980,1087,1148,756,1739,1919,2707,1919,1937,2211,2075,2211,2075,1579,1579,2075,3112,3112,3379,745,3416,745,1579,3112,3416,745,3416,3112,3416,3416,3292,745,745,122,3416,1868,3416,3416,745,3112,745,3416,3416,3416,3416,3416,3416
6,4002,2249,2575,3254,805,1709,2049,2979,3858,4835,504,1704,286,3340,341,3340,2922,1268,1709,1268,3340,2922,1268,1268,3340,2578,499,2585,2585,3340,1268,174,3340,174,1268,174,174,2585,174,174,791,791,2585,174,2585,791,174
7,2980,1087,3028,1102,2611,2476,1776,421,946,946,421,1592,1073,946,1592,946,946,1592,1073,1073,1526,1073,1073,1073,1073,1073,946,1073,1566,6316,1222,1073,1222,946,1222,946,946,2211,946,946,1073,4130,1073,1444,93,1073,1073
8,2980,2249,296,285,2775,2657,1438,1759,3858,2657,1811,2969,2261,1438,1438,1438,2969,1644,1094,1438,1811,1811,211,2403,635,2657,2857,1644,1644,1644,778,1333,1333,2149,211,211,2970,211,211,2149,778,778,778,2403,2149,2403,1333
9,5968,1087,3382,1429,3025,3289,1700,473,1798,473,473,1798,2603,2603,2603,2603,2603,2603,2603,2603,2603,2603,2603,2603,2603,2603,2603,2603,2603,2603,2603,2603,2603,2603,2603,2603,2603,7015,7015,2603,2603,2603,2603,2603,2334,2603,2603
10,2980,2909,6017,2009,836,2425,3021,2301,3351,6941,6225,6280,95,2666,2666,2666,6610,6610,6610,3761,6434,4782,6225,6225,6225,4170,4170,2634,1095,1095,92,2019,1126,2666,2666,718,1095,330,355,843,2666,355,2634,2694,2332,566,566
11,3905,1087,3477,832,137,3413,4955,2448,550,1180,2608,123,550,3231,3231,2834,2804,2834,2834,1563,2834,2667,2667,3338,2398,1499,2398,6664,2667,1563,2834,1563,1499,1499,2398,1563,1563,1563,55,6254,6060,7015,1563,1563,6760,1499,2834
12,1077,1558,1486,2752,3441,342,3441,3441,3441,549,2265,473,473,473,473,473,473,2603,473,2603,473,257,257,2265,2265,4628,4628,473,2265,2019,4628,257,473,2265,1311,1311,2265,3102,346,2792,2694,398,3639,1110,346,1311,1110
13,1077,2407,1025,2183,3441,3231,3441,3896,5431,3896,2420,3441,3896,3896,3896,3896,3896,3896,3896,3896,473,3896,3896,473,3896,3896,3896,3896,987,473,1684,5371,473,1585,473,473,473,987,1684,1684,987,1563,473,1684,987,5371,473
14,1527,2249,6459,2388,1563,2408,3441,1158,3441,1460,2265,3441,396,1311,2265,1311,1311,2265,961,2603,3361,2408,3361,961,961,3361,3361,3441,961,2019,3519,257,961,1311,961,1474,1474,2906,1233,3361,3361,3639,1311,7049,2961,843,1311
15,2894,6701,396,3338,6810,1216,3315,1004,1004,1825,3315,1734,1216,3315,3315,3315,1825,3315,3315,3315,3315,3315,3315,3315,3315,5431,3315,3315,3315,3315,3315,3315,3315,961,1231,3315,3315,473,3315,3315,3315,2608,3315,3315,3315,473,3315
