ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43
0,3195,2249,1148,898,242,1233,455,1474,2172,2906,1858,427,427,1858,2263,2560,2906,2695,769,2906,2906,1858,775,2906,769,1782,2906,1782,1858,451,2906,0,775,1858,2906,1858,2906,2906,2695,2906,2263,2906,451,2695
1,3195,976,0,898,3116,1233,1395,2906,2172,3209,2398,3133,1474,0,1858,1233,888,1782,1783,1858,1782,1233,1840,1782,1233,0,1233,0,1858,1233,0,0,0,1858,1782,1858,1782,1782,1782,1233,2263,1782,77,0
2,1077,2249,1148,898,2409,1233,1395,2906,2172,2142,2409,3133,1796,1233,3133,0,2298,2142,3133,1858,2906,1233,1233,2906,1233,1782,1233,1782,1858,1233,1233,2172,2172,1858,2906,1858,1782,1858,1233,2906,1782,1782,1858,2172
3,322,908,1148,756,249,271,2303,927,327,2969,533,533,1906,533,533,3178,2456,560,533,2378,3334,2462,533,533,533,533,533,533,533,533,2378,533,533,2378,533,533,533,533,533,533,533,3334,3334,0
4,3195,1715,1535,2606,2907,2043,2819,2904,327,1241,340,1837,941,1837,504,3011,3011,3292,1867,1241,563,1837,1837,1340,503,3292,3292,3292,874,3292,327,503,563,503,1837,3292,3292,1622,3292,3292,1837,2549,1646,3292
5,322,2047,1919,1164,249,1646,1715,2904,327,252,3444,3444,2569,3242,2383,3444,518,169,533,2383,3292,560,533,3038,533,3444,533,533,560,533,533,533,533,560,533,533,3038,3416,560,533,533,3444,560,560
6,3195,908,1395,756,2578,2783,3304,174,0,2279,3195,1164,3243,0,3243,1164,2434,1427,3243,3243,174,3243,3243,174,3243,3243,3243,2783,2435,1427,2783,1164,2783,3243,2082,2783,2783,0,3243,2783,2783,2783,2585,3243
7,3195,1715,1148,585,3487,529,1878,3195,665,2791,0,700,2816,0,370,2044,3340,2037,700,2803,2044,2044,2044,0,0,0,2803,2044,1526,3340,370,370,2044,2044,2044,2044,370,2044,3340,2044,370,370,2044,370
8,322,59,296,915,3116,2642,2657,1034,1747,2974,2642,167,133,2644,2523,0,0,3273,2523,0,2523,2211,1584,2917,1584,2644,2644,0,0,2211,2644,2211,2211,0,0,2644,2644,2211,0,1584,1584,1222,1584,2644
9,322,2146,5027,2217,920,0,1924,3231,5431,1180,3231,424,1712,3231,1480,1480,1480,3231,987,3231,3231,3231,2185,3231,3231,3231,3231,3231,3231,3231,3231,123,3231,3231,3231,3231,3231,3231,3231,3231,3231,3231,3231,3231
10,1077,2146,1395,2217,2708,3369,2634,1831,4866,3797,1480,424,184,850,2714,2865,1480,2634,3896,3025,1072,2269,2185,545,0,2634,3351,3025,1480,1480,2834,1480,2098,2634,1480,2865,6941,3619,3619,1480,2634,2634,2634,3619
11,3195,2146,2594,898,1920,0,1924,473,1231,1180,1180,123,123,3231,123,123,123,0,128,3231,3231,123,2185,0,3231,3231,123,123,123,0,0,123,0,123,123,3231,123,2185,123,3231,123,3231,3231,3231
12,1077,2249,3441,2388,3519,1239,2265,473,3527,1180,1483,1004,473,3231,2961,473,1247,2758,2961,2603,1318,1585,473,1585,1004,473,0,2961,346,473,2961,987,2265,1004,2245,2961,2245,2961,2245,2961,2961,2961,2961,2961
13,1077,1135,3441,2217,3519,1004,2265,3231,3441,1180,3231,1558,3098,3231,2961,3231,2961,3231,987,3025,3231,1524,473,3231,3231,2603,473,0,3231,1095,2961,987,3231,3231,3231,3231,3231,2603,3231,3231,1095,3231,3231,1095
14,1077,1135,3441,2388,3519,1004,2265,473,2804,1180,0,1004,473,1705,2961,473,473,1311,0,473,473,961,473,2804,1004,1705,0,2961,346,473,0,2961,346,0,473,2961,1705,2961,2961,2961,2961,2961,473,473
15,1077,2249,1148,2388,3484,0,0,1474,1231,1180,1483,1239,1239,1311,2021,0,0,1231,128,0,1474,961,0,41,123,0,2804,0,346,2804,2804,0,123,0,2804,0,0,1908,0,1077,2804,824,1077,128
16,1077,2249,0,2388,0,1239,2265,473,1231,1180,1483,3527,1474,0,128,0,824,1231,128,0,128,0,0,2804,0,1483,0,0,128,128,2804,2804,0,0,2804,0,2804,0,0,0,0,0,0,0
17,1236,2249,396,722,3484,1233,2265,1474,1231,1180,1231,1239,1474,1311,396,3338,824,1311,1474,1311,1474,1474,1004,1705,1311,1705,1705,1474,1474,346,824,0,346,1705,1474,1311,1474,2134,2804,1231,1474,1311,1311,346
18,1077,138,296,756,3116,100,2621,2230,354,2288,2614,680,1304,354,0,2934,354,3263,1852,2614,0,0,1852,680,0,354,1852,0,0,0,0,1852,0,0,1852,680,1852,0,680,0,354,1852,680,1852
19,451,2249,1148,756,113,421,1776,2061,354,0,0,1022,1304,0,0,0,0,0,0,354,0,354,1852,354,0,0,1852,0,1852,1852,0,0,1852,354,354,354,0,0,1852,354,354,0,1852,1852
20,451,976,1148,898,5501,3459,354,354,354,2061,976,1022,354,354,0,354,0,354,354,354,0,354,1852,0,0,354,0,0,1852,0,0,0,1852,354,0,354,0,354,0,354,354,1852,354,354
21,3069,2823,1926,3365,0,3117,2396,1017,284,2356,1325,2713,0,0,2214,1288,3247,2723,2829,2723,1288,1234,2723,1500,1886,1288,1500,2723,2723,2723,1288,1288,3210,1288,1288,1288,316,1288,1288,316,316,1886,3210,1288
22,6404,796,1612,3042,4559,6102,2351,3371,3210,3150,3150,1830,3854,6732,1345,3399,4434,3610,3150,0,3570,6732,3610,3854,3610,3610,5468,3150,3610,3570,3570,3610,3610,3854,5468,3610,3854,3610,3610,3854,3854,0,3854,3610
23,2864,2823,1926,3365,1014,3117,2396,1017,3210,1771,1325,495,2723,316,438,3399,1325,2723,3150,3150,3399,209,438,3150,784,1288,316,1916,1234,1234,1014,3399,3399,1325,1014,1288,316,1014,1014,1916,316,1014,902,1014
24,1077,1715,1395,3280,3025,3369,2634,3369,0,3098,0,0,3280,0,787,787,131,1890,787,3025,3369,2603,290,0,0,2603,0,0,787,290,3280,0,2603,256,3369,787,2568,0,787,256,0,0,256,1890
25,3195,1715,1395,3280,3025,0,2634,0,3369,3098,1890,1890,3280,2603,787,787,787,1890,787,3025,3369,1890,290,3369,2634,0,787,0,787,1890,3280,2568,2568,0,3369,1095,2568,3369,787,1890,0,0,0,1890
26,1077,2146,1612,3280,3025,0,2634,3369,1492,3098,1890,2634,1712,0,3280,1480,3089,1890,787,3025,3369,2603,0,3369,2634,0,0,3025,787,1890,2603,2568,2634,2603,787,3025,2568,2603,3025,0,0,0,1890,1890
27,1077,2249,296,898,249,1233,2303,2304,927,2969,1498,1666,3178,3178,3389,3072,3045,2344,2285,3155,0,3155,3155,1341,3155,2423,3383,3155,1306,3155,3155,0,0,1945,3155,3155,3155,3155,3155,1171,3155,3155,3155,3155
28,1077,2431,2837,756,2352,530,1878,1636,307,1477,3155,2068,1504,2225,2068,3072,307,2301,2285,3155,3155,2285,3155,3155,3155,3155,3155,2437,2437,2437,3155,0,3155,3155,3155,2437,3155,3155,3155,3055,3155,2437,3155,2437
29,1077,2249,296,915,2122,1233,3304,2208,133,2974,3143,477,3143,477,477,133,477,1036,477,477,2401,477,3143,2401,3143,477,0,477,477,477,477,477,3143,3143,1940,3055,725,1940,1940,3143,477,1940,477,477
30,3195,908,1535,756,1264,2783,0,174,2135,39,359,1603,1264,39,39,398,39,359,398,2732,33,398,359,680,2386,2135,398,398,3477,3477,398,398,398,398,2386,398,398,398,398,398,398,398,398,398
