Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_MagFace_AdamW.yaml	222	0	0.0	5.448	14.172	4.051	0.0	4.453	13.456	3.228
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_MagFace_AdamW.yaml	222	1	0.0	11.996	nan	nan	0.0	7.032	nan	nan
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_MagFace_AdamW.yaml	222	2	0.0	22.813	nan	nan	0.0	13.017	nan	nan
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_MagFace_AdamW.yaml	222	3	0.0	31.902	nan	nan	0.0	20.521	nan	nan
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_MagFace_AdamW.yaml	222	4	0.013	37.755	nan	nan	0.0	25.21	nan	nan
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_MagFace_AdamW.yaml	222	5	0.013	45.364	nan	nan	0.0	34.979	nan	nan
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_MagFace_AdamW.yaml	222	6	0.0	48.756	nan	nan	0.0	38.646	nan	nan
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_MagFace_AdamW.yaml	222	7	0.0	52.305	nan	nan	0.0	44.683	nan	nan
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_MagFace_AdamW.yaml	222	8	0.0	55.395	nan	nan	0.0	45.849	nan	nan
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_MagFace_AdamW.yaml	222	9	0.0	56.286	nan	nan	0.0	46.477	nan	nan
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_MagFace_AdamW.yaml	222	10	0.026	54.662	nan	nan	0.0	40.859	nan	nan
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_MagFace_AdamW.yaml	222	11	0.013	55.186	nan	nan	0.0	53.379	nan	nan
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_MagFace_AdamW.yaml	222	12	0.013	62.258	nan	nan	0.0	55.566	nan	nan
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_MagFace_AdamW.yaml	222	13	0.0	64.274	nan	nan	0.0	55.54	nan	nan
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_MagFace_AdamW.yaml	222	14	0.013	63.947	nan	nan	0.0	58.381	nan	nan
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_MagFace_AdamW.yaml	222	15	0.013	64.274	nan	nan	0.0	56.221	nan	nan
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_MagFace_AdamW.yaml	222	16	0.0	63.803	nan	nan	0.0	57.871	nan	nan
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_MagFace_AdamW.yaml	222	17	0.0	67.129	nan	nan	0.013	58.735	nan	nan
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_MagFace_AdamW.yaml	222	18	0.026	68.151	nan	nan	0.0	60.922	nan	nan
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_MagFace_AdamW.yaml	222	19	0.0	66.082	nan	nan	0.0	61.04	nan	nan
