ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45
0,3195,1474,1858,3178,242,2172,1474,1474,596,1840,1233,310,1708,451,2695,1782,2906,2695,769,2906,1858,77,769,2906,769,310,769,1782,451,2263,77,1708,1782,1858,1782,1858,2906,1858,1708,2695,2734,2263,1858,2695,451,2906
1,322,1135,1833,90,819,2382,1782,1474,3313,2717,325,3133,1708,3133,2695,1782,2298,2695,2172,3133,3133,3133,769,1858,769,325,888,1782,2695,2263,2695,1708,1782,3133,1782,1858,2734,325,3133,3209,1782,2382,2172,3133,3133,1782
2,2409,138,6807,90,1544,2172,2263,1390,888,2142,1899,3133,2142,451,2695,1782,2298,308,888,3133,3133,164,1233,2906,1233,1782,888,1782,2401,2263,2695,451,1782,2298,1782,1858,2906,2000,2695,3209,1782,3413,1858,2695,3133,2000
3,322,2885,1179,2230,3172,3096,2462,2737,327,2223,2378,2462,271,1214,349,2462,2011,2077,271,2378,623,2378,2281,1919,2378,2412,2574,533,560,113,2517,3444,2517,2412,2462,2969,2737,3416,3334,3334,533,2412,560,271,3416,2378
4,340,2910,1179,633,1622,2055,2920,563,914,2910,1503,1603,1264,914,896,1139,2191,1229,914,1118,3292,3387,1837,3011,208,1837,1837,1837,1837,2368,327,1837,933,1761,563,2807,2737,1837,1837,1867,1646,2191,1761,1229,2191,2494
5,539,2885,1179,1769,2377,350,3120,3387,1554,252,1063,1554,2569,2211,349,781,3444,560,2281,2378,174,560,2281,781,2378,2412,1868,795,560,1752,2462,1837,2517,2462,2462,2969,2737,3416,2737,3444,533,2412,560,795,3416,2378
6,401,33,2545,1164,165,350,3340,1164,1664,33,174,1073,3243,3243,430,1653,1709,2082,3243,286,3099,2585,3243,2578,2435,2578,1164,165,2230,1709,2230,2122,2230,1709,350,3243,1653,165,720,1653,2082,1709,2585,1653,720,720
7,3195,1914,1858,1999,1073,350,3340,946,2882,3371,3438,1073,1730,3184,1073,2044,1367,778,3184,2044,2044,605,2563,2840,2806,2816,2542,2044,2403,2816,2375,370,2542,3340,2403,1115,2816,2044,2840,778,1115,2816,2840,1115,2561,2542
8,322,915,1642,526,3149,3096,560,252,1664,1653,3438,2256,978,2644,445,3072,915,531,2523,1527,2657,3393,915,3273,1584,467,31,3379,2403,2403,1584,2423,2917,2256,2423,2644,133,2644,2986,467,2211,1584,1044,1535,349,1903
9,401,5431,3314,2625,3231,6624,128,3369,550,2834,1705,1705,1095,3231,2961,1480,3231,3231,128,346,1077,2185,4280,2185,2804,1095,3441,424,2265,961,6088,2603,3441,2185,1732,3441,1924,3441,1077,123,290,3231,3231,824,3231,3441
10,1077,2146,3314,633,2349,1989,1890,3369,550,1383,2634,1705,1712,2185,2634,6941,787,401,2834,2834,2146,3280,3089,3761,2634,1712,920,2269,1095,500,6088,2603,2634,3401,3369,6164,6941,3253,3369,401,1971,401,3089,4280,1095,5193
11,401,2146,6807,2625,3231,1989,1890,1474,550,55,1705,1705,1239,3231,2961,123,1705,3231,128,346,1077,1474,2961,1563,2804,310,346,424,2265,961,123,987,3441,2185,1732,1311,1077,3338,346,123,2265,961,2961,824,3231,3441
12,774,2603,1563,1563,3441,1460,1474,1474,2277,1180,1705,1705,2265,3231,1585,473,1705,3231,128,346,1311,2408,2961,2961,2804,310,346,2245,2265,961,2852,987,2265,2961,310,1311,1318,2961,2245,2961,2265,1180,2961,1247,3231,2608
13,1077,5431,1563,633,2406,3478,1890,3369,3441,1180,628,1705,2771,3231,2961,1558,3231,3231,128,1403,1226,1585,4280,2185,2804,2245,473,2603,2265,961,1247,2603,3231,2185,1883,3231,1039,1883,2245,3231,2334,6640,3231,4280,3231,1890
14,774,2146,1563,1563,3441,1460,1474,3369,3441,2408,1705,1705,2265,3231,2961,473,961,3231,128,346,961,2961,2961,2961,2804,310,346,2245,2265,961,1563,987,961,2961,1705,1311,1924,2961,2265,2961,2265,961,2961,346,3231,1890
15,401,1474,1858,1563,3441,1460,1474,1474,3441,1180,1705,1705,2265,3231,2265,473,961,1231,128,346,2804,1474,4280,2185,2804,310,346,424,2265,961,1563,123,961,2185,1883,1311,1705,1883,1077,123,2804,961,3231,824,1231,1231
16,2409,1474,1858,1563,1231,1460,1474,1474,2277,1180,1705,1705,1239,3231,128,473,1705,1231,128,346,1311,961,2006,1563,2804,2006,346,128,2265,961,1563,1483,2289,2021,1883,1311,473,1883,346,1231,2804,961,3231,346,3231,1231
17,2409,1474,1858,3338,1231,1460,1474,1474,123,55,1705,1705,1239,1460,128,1705,1705,1231,128,346,1474,1474,2961,1239,2804,310,346,1474,1474,961,1460,1474,961,1239,1705,2560,1474,3338,346,1231,2265,961,2961,1004,1239,2608
18,3195,976,1179,2230,113,350,2717,2230,1629,3087,2614,1304,1304,1124,2479,2934,2230,2479,166,2614,2479,1852,2934,680,1914,680,1304,2933,1852,2614,1228,2479,976,2479,2614,1852,2479,680,2479,2479,1852,720,680,1852,720,2479
19,340,569,1179,2479,113,421,354,946,3515,3087,2614,1304,1304,1519,2479,2934,1852,2479,166,2614,2479,1852,2934,1519,2614,2479,1304,2355,2614,2614,2934,2479,976,391,354,1852,1852,976,976,2934,1852,1852,391,1852,1852,2479
20,2409,976,1858,90,2377,421,354,354,3515,3087,2614,1304,354,1519,2355,391,354,2479,354,354,1463,354,2934,1519,391,2479,3028,354,1852,2614,354,1852,976,391,354,1852,1852,354,1852,354,1852,1852,391,1852,1852,2479
21,2552,2723,897,633,316,2723,690,1500,3210,1731,3034,2092,3210,316,2214,3337,2214,2091,2808,2214,2214,1234,1288,2426,3210,2723,2723,316,1288,1373,2723,1234,2490,2214,2091,4535,2723,1288,316,316,5788,2214,1288,1288,3117,800
22,717,2823,6205,2266,5270,4403,2406,1500,653,1834,6201,6906,3854,6732,1513,3337,1325,2091,3854,1345,3570,1345,3610,3610,3854,6452,4403,4403,5468,5468,3232,3610,4403,3854,5468,1325,5468,3610,5468,653,4403,3854,5468,4403,3610,5468
23,764,2723,897,281,3399,2723,1505,1500,3210,1834,3034,2723,3210,316,248,3337,1325,2091,1500,3210,733,1234,2091,1500,3034,2723,2723,495,1288,6757,2723,1234,902,1451,2091,4652,902,4228,3150,316,3854,902,3854,6732,3610,6515
24,1747,2146,3314,633,3280,1989,1890,3369,550,1383,952,1320,787,2185,3280,1480,787,1890,3369,290,2146,3280,256,131,3025,1320,787,2603,787,290,6088,787,290,787,290,1712,589,3369,3369,3025,290,3025,3089,131,2349,1890
25,1213,2146,3314,633,3280,3369,1890,3369,550,1383,952,1320,2603,2185,3280,1480,787,1890,3369,290,2146,3280,256,131,2634,1320,1213,2603,787,290,6088,502,290,787,290,787,589,3369,3369,3025,290,3025,3089,131,2349,1890
26,1213,2146,3314,633,3280,1989,1505,3369,550,1383,952,3098,787,3280,2634,1480,787,1890,3369,290,2146,3280,256,2185,3025,1320,787,2603,787,290,6088,3089,290,787,143,787,1924,3369,3369,3025,290,3089,3089,1200,2603,1890
27,1236,915,1858,3178,1848,1985,2285,2764,1341,2173,910,1945,16,2642,3143,3072,3486,1504,3155,1504,3155,154,3155,598,3155,1466,1533,2779,910,3155,3155,3155,1041,3155,3143,774,3155,3155,3155,2038,3155,2225,910,3155,2874,1940
