Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_MagFace_SGD.yaml	222	0	0.0	19.67	23.637	13.027	0.0	13.24	24.493	12.197
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_MagFace_SGD.yaml	222	1	0.0	45.207	15.029	11.57	0.0	32.753	13.896	9.117
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_MagFace_SGD.yaml	222	2	0.0	48.808	7.885	6.186	0.0	33.735	8.951	5.958
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_MagFace_SGD.yaml	222	3	0.0	52.436	8.59	7.181	0.0	38.214	9.603	6.807
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_MagFace_SGD.yaml	222	4	0.0	56.181	8.836	7.722	0.0	42.156	9.801	7.32
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_MagFace_SGD.yaml	222	5	0.0	60.189	9.224	8.447	0.0	46.438	10.061	7.949
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_MagFace_SGD.yaml	222	6	0.0	62.755	9.022	8.487	0.0	48.311	10.062	8.173
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_MagFace_SGD.yaml	222	7	0.0	64.825	9.047	8.767	0.0	53.012	9.869	8.512
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_MagFace_SGD.yaml	222	8	0.0	66.894	9.299	9.297	0.0	55.212	10.319	9.014
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_MagFace_SGD.yaml	222	9	0.0	68.963	9.319	9.49	0.0	56.548	10.185	9.077
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_MagFace_SGD.yaml	222	10	0.0	70.076	9.484	9.874	0.0	57.399	10.324	9.289
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_MagFace_SGD.yaml	222	11	0.013	70.456	9.466	9.887	0.0	58.787	10.282	9.38
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_MagFace_SGD.yaml	222	12	0.0	71.778	9.711	10.231	0.0	60.202	10.488	9.742
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_MagFace_SGD.yaml	222	13	0.0	73.389	9.642	10.494	0.0	61.97	10.452	9.965
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_MagFace_SGD.yaml	222	14	0.0	73.036	9.664	10.516	0.0	62.559	10.584	10.087
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_MagFace_SGD.yaml	222	15	0.0	73.455	9.818	10.78	0.0	63.764	10.552	10.259
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_MagFace_SGD.yaml	222	16	0.0	75.013	9.681	10.721	0.0	65.086	10.643	10.392
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_MagFace_SGD.yaml	222	17	0.0	75.602	9.815	11.001	0.0	66.16	10.547	10.365
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_MagFace_SGD.yaml	222	18	0.0	76.021	9.712	10.924	0.0	66.2	10.637	10.564
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_MagFace_SGD.yaml	222	19	0.0	76.021	9.851	11.078	0.0	66.566	10.635	10.566
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_MagFace_SGD.yaml	222	20	0.0	76.598	9.889	11.075	0.0	67.182	10.651	10.72
