Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
hrnet_w64	configs_unified_lr/hrnet_w64/config_hrnet_w64_MagFace_AdamW_0.001_cosine.yaml	222	0	0.0	9.324	6.634	2.106	0.0	7.478	7.948	2.416
hrnet_w64	configs_unified_lr/hrnet_w64/config_hrnet_w64_MagFace_AdamW_0.001_cosine.yaml	222	1	0.0	28.745	8.794	5.175	0.0	20.587	9.365	4.992
hrnet_w64	configs_unified_lr/hrnet_w64/config_hrnet_w64_MagFace_AdamW_0.001_cosine.yaml	222	2	0.0	40.702	10.105	7.193	0.0	29.295	11.129	7.195
hrnet_w64	configs_unified_lr/hrnet_w64/config_hrnet_w64_MagFace_AdamW_0.001_cosine.yaml	222	3	0.0	50.904	10.618	8.61	0.0	38.895	11.626	8.434
hrnet_w64	configs_unified_lr/hrnet_w64/config_hrnet_w64_MagFace_AdamW_0.001_cosine.yaml	222	4	0.0	61.459	10.831	9.897	0.0	47.446	12.418	10.194
hrnet_w64	configs_unified_lr/hrnet_w64/config_hrnet_w64_MagFace_AdamW_0.001_cosine.yaml	222	5	0.0	67.012	10.977	10.695	0.0	54.832	12.184	10.747
hrnet_w64	configs_unified_lr/hrnet_w64/config_hrnet_w64_MagFace_AdamW_0.001_cosine.yaml	222	6	0.0	70.22	11.163	11.152	0.0	58.29	12.21	11.206
hrnet_w64	configs_unified_lr/hrnet_w64/config_hrnet_w64_MagFace_AdamW_0.001_cosine.yaml	222	7	0.0	74.293	10.954	11.444	0.0	61.236	12.111	11.452
hrnet_w64	configs_unified_lr/hrnet_w64/config_hrnet_w64_MagFace_AdamW_0.001_cosine.yaml	222	8	0.0	75.864	10.465	11.479	0.0	65.427	11.68	11.476
hrnet_w64	configs_unified_lr/hrnet_w64/config_hrnet_w64_MagFace_AdamW_0.001_cosine.yaml	222	9	0.0	77.986	10.676	11.855	0.0	66.854	11.895	11.926
hrnet_w64	configs_unified_lr/hrnet_w64/config_hrnet_w64_MagFace_AdamW_0.001_cosine.yaml	222	10	0.0	78.038	10.415	11.695	0.0	69.146	11.607	11.937
hrnet_w64	configs_unified_lr/hrnet_w64/config_hrnet_w64_MagFace_AdamW_0.001_cosine.yaml	222	11	0.0	80.395	10.365	12.067	0.0	71.556	11.465	12.062
hrnet_w64	configs_unified_lr/hrnet_w64/config_hrnet_w64_MagFace_AdamW_0.001_cosine.yaml	222	12	0.0	80.723	10.43	12.181	0.0	71.7	11.779	12.389
hrnet_w64	configs_unified_lr/hrnet_w64/config_hrnet_w64_MagFace_AdamW_0.001_cosine.yaml	222	13	0.0	80.893	10.45	12.366	0.0	72.564	11.839	12.567
hrnet_w64	configs_unified_lr/hrnet_w64/config_hrnet_w64_MagFace_AdamW_0.001_cosine.yaml	222	14	0.0	81.81	10.26	12.371	0.0	74.712	11.362	12.342
hrnet_w64	configs_unified_lr/hrnet_w64/config_hrnet_w64_MagFace_AdamW_0.001_cosine.yaml	222	15	0.0	82.111	10.287	12.49	0.0	74.673	11.584	12.583
hrnet_w64	configs_unified_lr/hrnet_w64/config_hrnet_w64_MagFace_AdamW_0.001_cosine.yaml	222	16	0.0	82.203	10.463	12.778	0.0	75.223	11.657	12.794
