Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
ig_resnext101_32x8d	configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	0	0.0	7.15	8.542	2.472	0.0	5.212	8.484	2.17
ig_resnext101_32x8d	configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	1	0.0	22.106	9.001	4.666	0.0	15.781	9.528	4.331
ig_resnext101_32x8d	configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	2	0.0	31.05	9.969	5.971	0.0	21.569	10.404	5.463
ig_resnext101_32x8d	configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	3	0.0	41.527	9.409	6.663	0.0	30.854	10.07	6.252
ig_resnext101_32x8d	configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	4	0.0	44.081	9.305	6.783	0.0	32.491	9.711	6.134
ig_resnext101_32x8d	configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	5	0.0	52.004	9.114	7.295	0.0	37.821	9.692	6.685
ig_resnext101_32x8d	configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	6	0.0	56.705	8.665	7.326	0.0	43.675	9.507	6.986
ig_resnext101_32x8d	configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	7	0.0	56.168	8.651	7.36	0.0	45.22	9.372	7.0
ig_resnext101_32x8d	configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	8	0.0	59.77	8.711	7.495	0.0	48.808	9.419	7.193
ig_resnext101_32x8d	configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	9	0.0	63.895	8.485	7.781	0.0	51.768	8.962	7.276
ig_resnext101_32x8d	configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	10	0.0	64.471	8.605	7.846	0.0	51.179	9.479	7.594
ig_resnext101_32x8d	configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	11	0.0	66.108	8.347	7.846	0.0	54.466	9.103	7.434
ig_resnext101_32x8d	configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	12	0.0	66.488	8.548	7.998	0.0	55.553	9.08	7.649
