ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31
0,3472,1962,455,2355,824,922,3413,2263,2263,2263,2608,2828,2560,427,2608,427,427,3145,55,427,565,1390,106,55,55,5956,106,2852,2550,106,2852,1272
1,3472,1962,4862,2382,2382,2828,1170,2263,427,5129,2560,2828,2560,2263,2717,1172,2263,3350,1231,3350,2717,5129,2717,3350,2263,1231,888,898,898,2906,2550,2674
2,3472,1962,1734,1734,898,1390,2570,1734,3464,2263,2142,888,2142,2534,888,888,888,285,888,888,1588,888,1588,888,888,888,888,3413,888,3413,888,888
3,3472,1962,455,2811,1148,1801,2707,665,2707,1672,1672,3312,1672,1672,133,1672,226,1672,1672,915,1672,915,3313,3313,1672,1672,875,875,3178,518,3421,1672
4,3472,4896,252,2118,6477,5127,2910,3292,2807,3292,791,1882,1882,1882,1882,791,1473,1882,1882,791,791,1903,3011,3011,680,3011,389,503,3011,1977,791,3011
5,3472,1962,455,3420,2530,2530,1715,458,2324,1919,1919,2840,3292,1919,1919,1919,2783,2191,2191,2783,1653,2191,2191,2811,2811,205,2811,3250,1962,1962,1962,205
6,3472,1962,2372,1888,2466,2466,2536,1410,430,430,1112,1317,174,174,174,174,174,174,174,2435,341,174,174,341,174,791,174,791,791,791,791,363
7,3472,1962,252,3393,370,370,370,1073,1073,370,1073,1073,1073,370,370,370,1073,1073,1073,1073,1073,1073,1073,1073,1073,2037,2233,2037,1073,2233,1073,2233
8,173,1962,4862,2212,2642,1100,1892,1892,1087,1087,1087,1087,1087,985,1087,927,4688,1087,1087,1983,635,985,1674,2403,4688,4688,4688,4688,4688,927,2403,2403
9,3472,487,1584,3291,3701,2138,2667,4700,3231,3231,1180,3231,3231,4228,3231,2666,1180,3231,3231,818,304,3231,304,3231,3231,3231,1890,3231,3231,3231,2562,2666
10,173,5201,2708,2580,6190,2269,1123,1123,1123,1123,5440,3761,1123,1123,1123,1120,3302,2834,6088,5366,643,5734,2411,1415,6941,2411,2411,6040,184,5366,4795,5507
11,3472,4896,967,2212,2834,2834,84,3231,1077,2185,1180,1272,2185,2666,2666,2666,2666,2834,2834,2834,2666,2834,2834,2834,2834,2834,3345,2834,2547,1411,2834,1272
12,173,133,1883,1460,3441,3441,3441,346,2408,2603,408,103,257,290,257,257,290,257,2388,473,2388,2388,2388,473,257,257,2388,741,257,2146,257,1734
13,173,1242,1242,3441,3441,3896,3896,3896,473,473,3896,3896,3896,3896,3896,3896,3896,3896,3896,3896,3896,3896,2334,3896,3896,782,3896,3896,2618,987,257,2334
14,173,2990,1883,1460,1311,3441,3441,862,1311,1311,1311,1311,1311,290,961,961,2961,1311,2961,473,2961,2388,257,257,1311,257,257,741,2041,257,257,257
15,173,1962,4862,396,6810,1004,3315,396,1004,3338,1883,1883,1004,1483,961,1004,1924,3441,3315,3315,1474,3315,3315,1231,1231,1231,3315,3315,1924,3315,3315,3315
16,173,133,497,396,2289,2289,988,1231,2289,3441,2289,2289,3441,2289,2289,2289,2289,3441,2289,2289,3111,3441,2289,2289,3441,3441,824,3441,2041,824,824,3441
17,173,1962,4862,396,1474,1734,824,2608,1734,3338,2608,3356,3356,3356,1318,1734,3356,3441,824,1474,2581,2608,3356,2608,2608,2289,2608,296,2608,2608,3338,2608
18,173,1962,543,2399,2288,138,1629,3451,524,1833,2476,2476,2476,2156,174,2933,3059,3028,2476,2476,2476,282,2476,3028,2476,2928,3028,1080,56,2476,56,1080
19,3472,1962,3256,3515,2288,3256,2934,2355,202,569,166,2934,569,2355,2479,2933,2479,2479,2089,1739,1914,2479,2288,83,3028,2479,2479,2479,2479,3224,2479,3224
20,3472,1962,455,1710,455,354,976,3133,166,2377,354,1843,354,354,970,354,909,3080,354,2122,5497,4926,354,354,606,4926,2479,354,521,3932,354,354
21,7031,3013,839,2332,3098,736,1234,5732,1188,1234,1234,839,5103,2682,2824,2941,3274,1513,3327,855,5103,3606,855,3191,4445,1513,2092,1500,3210,1500,2092,2092
22,3472,472,5966,6023,1786,2154,1881,3998,3289,3150,3150,3854,3150,3854,4637,1325,4637,3854,1325,3854,1325,3854,3854,3854,2162,3854,4679,4301,3854,3854,2162,2565
23,7031,6246,2602,5729,5334,3681,2691,5732,2723,1234,1524,1524,5103,1524,1524,1234,3210,1234,3399,1500,4961,1524,2226,1524,2346,4586,3173,2346,1014,3998,5127,6104
24,173,1962,3354,2366,3089,3025,1890,143,2568,787,1890,787,787,787,787,550,787,787,787,2111,787,787,550,787,6088,2524,589,2131,412,632,787,550
25,3472,1962,3354,3025,3089,787,787,787,787,787,787,3089,787,787,787,787,787,787,787,787,787,143,787,787,787,787,1064,2942,2942,2942,787,787
26,173,1962,2525,3025,3025,3025,1095,865,787,787,1890,1986,1986,787,6088,787,787,787,787,787,787,787,787,787,787,6088,787,1712,1831,1831,787,787
27,173,1962,4862,3070,1923,745,3413,227,1498,1699,2311,16,1062,1400,1341,1642,2285,1829,2285,2423,1829,3525,1400,2073,6154,1400,3207,2073,3525,1018,2014,2990
28,3472,1962,2783,2135,1196,252,3222,2437,2437,2437,2437,3246,1103,2437,3155,2437,2437,1477,2437,3246,3460,1477,2874,2437,3460,3460,1477,1477,2437,3460,3460,3207
29,173,1962,4862,52,1782,2756,2122,2298,2401,3256,6041,2401,2401,985,1289,1908,2513,2401,1380,1527,4676,1490,2736,1289,1289,2736,3143,1889,296,1289,490,2736
30,7031,2812,2783,1730,1477,2403,6,293,703,1142,2783,1739,2783,3278,174,795,174,1473,1842,1739,1473,2783,1842,2907,1842,1433,3477,3477,1476,1842,56,3099
31,3472,1962,3256,1304,3028,3309,2013,1309,2013,2377,2377,2156,3263,2377,2013,2522,3263,2013,1842,2377,2156,3263,2013,2013,2013,2013,2013,2013,2013,2230,2013,2230
32,1371,444,238,1554,1427,3215,165,1761,795,3205,2116,1760,1427,3294,2522,2522,3294,1760,1760,1760,3099,2783,1438,1760,1760,2907,1760,2783,783,1717,1760,2933
33,173,6999,4268,1963,6335,6335,3706,6041,6041,6041,3706,2401,6041,3706,2974,2138,1561,2401,1561,1561,2379,1432,851,2379,2379,1069,2574,5810,2642,722,1069,5274
34,173,2990,1883,1460,2588,2040,1978,2939,1135,2939,776,776,3153,1154,3153,1452,3153,696,3153,1744,1452,3153,1452,1452,3153,1744,3153,1452,1452,367,2253,2253
35,173,6999,1744,696,2724,5877,3423,1035,1135,1035,5087,6441,636,5708,1684,4708,636,3494,6043,3494,4708,4708,3478,1684,3753,6043,817,1684,3753,1684,2344,817
36,3472,1962,3353,3420,583,3288,1113,3288,50,50,50,50,50,50,1315,50,1113,50,50,50,1113,2307,461,50,1315,1987,1987,1987,1987,933,1987,1987
37,3472,5260,2502,605,307,1063,1157,605,1302,340,1843,1315,1315,605,2452,1315,1315,1727,1315,1315,1315,6082,1315,791,1315,461,791,6082,1229,791,1229,1229
