Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
ig_resnext101_32x8d	configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_CosFace_AdamW.yaml	222	0	0.0	1.964	17.261	0.654	0.0	1.637	17.87	0.543
ig_resnext101_32x8d	configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_CosFace_AdamW.yaml	222	1	0.0	4.911	17.078	2.516	0.0	3.248	18.173	2.132
ig_resnext101_32x8d	configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_CosFace_AdamW.yaml	222	2	0.0	13.279	19.283	7.468	0.0	8.015	19.722	5.998
ig_resnext101_32x8d	configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_CosFace_AdamW.yaml	222	3	0.0	27.724	25.027	14.9	0.0	17.234	23.988	11.591
ig_resnext101_32x8d	configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_CosFace_AdamW.yaml	222	4	0.0	36.446	28.99	20.261	0.0	25.393	27.335	16.416
ig_resnext101_32x8d	configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_CosFace_AdamW.yaml	222	5	0.0	43.151	29.592	22.41	0.0	32.386	29.777	19.84
ig_resnext101_32x8d	configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_CosFace_AdamW.yaml	222	6	0.0	52.855	29.212	24.388	0.0	39.89	31.372	23.152
ig_resnext101_32x8d	configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_CosFace_AdamW.yaml	222	7	0.0	57.059	29.427	25.472	0.0	43.072	30.453	23.184
ig_resnext101_32x8d	configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_CosFace_AdamW.yaml	222	8	0.0	63.135	29.821	27.636	0.0	48.127	30.798	24.444
ig_resnext101_32x8d	configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_CosFace_AdamW.yaml	222	9	0.0	65.61	26.496	24.681	0.0	52.855	27.855	22.616
ig_resnext101_32x8d	configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_CosFace_AdamW.yaml	222	10	0.0	68.387	30.297	29.491	0.0	54.859	30.829	26.192
