ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28
0,12,53,53,78,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
1,147,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
2,334,23,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
3,224,54,347,224,347,347,347,295,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347
4,228,381,295,35,270,35,270,35,40,106,347,40,40,245,24,24,178,24,24,40,30,178,24,24,24,377,108,24,178
5,68,270,30,111,290,308,308,111,347,347,347,347,347,347,347,30,347,347,347,347,347,347,347,347,347,347,347,347,347
6,366,65,245,264,170,275,245,65,275,275,275,65,275,65,275,65,275,65,65,275,65,275,65,65,334,65,65,65,65
7,290,130,6,208,132,132,132,132,295,132,295,205,295,255,205,205,205,205,205,205,205,205,205,205,387,187,95,187,395
8,179,148,23,0,385,208,248,248,275,248,366,248,385,366,19,385,366,19,19,295,19,19,295,202,19,366,366,366,19
9,717,710,125,492,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261
10,37,71,71,75,261,261,21,101,75,261,587,80,729,261,117,261,261,261,261,80,80,261,261,261,261,261,261,261,261
11,156,206,378,203,261,261,203,203,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261
12,390,139,15,15,15,15,15,15,51,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
13,143,390,87,15,273,273,139,51,15,125,15,15,51,51,15,15,15,15,125,51,15,15,80,15,80,80,15,15,15
14,264,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15,12,342,203,139,86,203,203,203,203,203,203,203,203,203,203,203,203,139,203,203,203,203,203,203,203,203,203,203,203
16,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203
17,318,312,312,225,53,203,203,225,203,203,203,203,225,203,203,225,203,203,203,225,225,225,203,225,225,225,225,225,225
18,335,202,191,148,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231
