Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
ig_resnext101_32x8d	configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	0	0.0	15.086	16.402	7.258	0.0	14.209	15.739	6.661
ig_resnext101_32x8d	configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	1	0.0	21.53	9.819	4.89	0.0	17.142	9.888	4.54
ig_resnext101_32x8d	configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	2	0.0	42.902	10.84	7.761	0.0	31.181	11.932	7.48
ig_resnext101_32x8d	configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	3	0.0	49.123	11.542	8.915	0.0	37.074	12.686	8.571
ig_resnext101_32x8d	configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	4	0.0	59.102	11.512	10.013	0.0	47.486	12.604	9.689
ig_resnext101_32x8d	configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	5	0.0	65.021	11.684	10.716	0.0	54.387	12.396	10.189
ig_resnext101_32x8d	configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	6	0.0	66.658	11.497	10.777	0.0	57.844	12.239	10.35
ig_resnext101_32x8d	configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	7	0.0	70.128	10.825	10.671	0.0	60.987	11.636	10.38
ig_resnext101_32x8d	configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	8	0.0	73.258	11.109	11.255	0.0	63.305	12.209	11.095
ig_resnext101_32x8d	configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	9	0.0	73.049	11.178	11.559	0.0	64.877	12.093	11.193
