Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_ArcFace_SGD.yaml	222	0	0.0	29.479	4.985	2.824	0.0	21.124	5.062	2.532
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_ArcFace_SGD.yaml	222	1	0.0	55.932	9.632	7.456	0.0	45.102	10.242	7.096
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_ArcFace_SGD.yaml	222	2	0.0	70.547	8.974	8.059	0.0	60.202	9.044	7.319
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_ArcFace_SGD.yaml	222	3	0.0	75.969	8.882	8.706	0.0	67.928	9.22	8.175
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_ArcFace_SGD.yaml	222	4	0.0	79.466	8.528	8.867	0.0	72.158	9.126	8.478
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_ArcFace_SGD.yaml	222	5	0.0	81.718	8.436	9.152	0.0	75.17	9.057	8.871
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_ArcFace_SGD.yaml	222	6	0.0	82.858	7.997	8.917	0.0	77.017	8.684	8.679
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_ArcFace_SGD.yaml	222	7	0.0	83.958	8.001	9.056	0.0	77.383	8.226	8.339
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_ArcFace_SGD.yaml	222	8	0.0	84.521	7.808	9.046	0.0	78.104	8.553	8.915
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_ArcFace_SGD.yaml	222	9	0.0	85.293	7.64	9.004	0.0	79.649	8.083	8.562
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_ArcFace_SGD.yaml	222	10	0.0	85.647	7.737	9.205	0.0	79.086	8.409	8.973
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_ArcFace_SGD.yaml	222	11	0.0	85.935	7.633	9.25	0.0	80.972	8.373	9.046
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_ArcFace_SGD.yaml	222	12	0.0	85.817	7.632	9.264	0.0	80.291	8.133	8.889
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_ArcFace_SGD.yaml	222	13	0.0	86.393	7.593	9.28	0.0	80.553	8.164	8.92
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_ArcFace_SGD.yaml	222	14	0.0	86.564	7.534	9.286	0.0	80.684	8.133	8.968
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_ArcFace_SGD.yaml	222	15	0.0	86.485	7.541	9.289	0.0	80.409	8.078	8.89
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_ArcFace_SGD.yaml	222	16	0.0	86.04	7.483	9.257	0.0	81.378	8.03	8.904
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_ArcFace_SGD.yaml	222	17	0.0	86.367	7.615	9.428	0.0	81.378	8.117	9.01
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_ArcFace_SGD.yaml	222	18	0.0	86.158	7.43	9.217	0.0	81.875	7.977	8.948
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_ArcFace_SGD.yaml	222	19	0.0	86.42	7.42	9.286	0.0	81.142	8.064	8.988
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_ArcFace_SGD.yaml	222	20	0.0	86.551	7.513	9.442	0.0	81.496	8.125	9.142
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_ArcFace_SGD.yaml	222	21	0.0	86.38	7.507	9.423	0.0	80.291	8.054	8.979
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_ArcFace_SGD.yaml	222	22	0.0	85.647	7.451	9.276	0.0	80.723	8.068	9.06
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_ArcFace_SGD.yaml	222	23	0.0	85.726	7.511	9.428	0.0	80.513	7.984	8.933
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_ArcFace_SGD.yaml	222	24	0.0	85.765	7.429	9.348	0.0	80.474	8.092	9.062
