ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14
0,6088,6388,109,497,769,285,3121,2560,2906,1734,396,1734,3052,123,769
1,2605,2550,362,3059,769,898,2409,2142,2906,1216,396,1782,3052,1782,769
2,6496,3013,3506,2507,769,2398,2756,2142,3209,2409,419,1734,3052,3209,2398
3,6496,3013,109,3313,1416,773,420,2740,2202,1126,3106,1156,3406,3421,3106
4,6496,3013,3506,1723,1518,2308,1298,389,1473,2043,680,1535,569,585,2034
5,6496,5149,3506,909,2142,2965,1275,455,1374,3211,2825,1919,1715,745,450
6,2448,3013,109,1723,1268,1780,1642,2377,1147,1264,2825,2026,19,395,927
7,6496,3013,3506,2507,2288,1780,2441,3271,3271,1526,2825,1999,1723,1633,5554
8,6496,3013,362,2469,2657,2398,2142,2811,354,3017,2825,3353,19,745,3106
9,6496,6178,109,2717,2879,819,1705,3998,5018,123,123,123,1705,3231,41
10,2605,5149,2871,3131,340,2155,973,2581,2339,2309,1200,704,3300,3462,1077
11,6496,3013,2871,2717,2943,2624,1705,2560,2906,832,123,123,1224,123,41
12,2605,3154,3121,408,2970,1522,3121,473,3527,2265,1004,961,824,473,1004
13,2605,3154,3121,408,325,2388,2747,3527,3441,1524,1524,346,3441,3441,1563
14,2605,128,4150,408,2970,1522,3121,473,3527,1524,1004,346,824,2245,1318
15,2605,3154,1744,1734,769,3052,2146,473,1705,832,1004,2804,824,123,1585
16,2605,3154,3053,497,2249,1522,1039,473,3527,473,1004,2804,824,473,1239
17,6496,5149,362,2507,769,3052,1705,2560,2906,77,824,3338,824,2608,2172
18,6496,3013,1744,909,2142,1780,2469,138,354,2627,2969,3477,1629,282,1751
19,6496,6178,6382,1734,2142,3112,2836,852,354,852,976,3477,976,976,976
20,2605,2550,1744,2507,769,2398,2142,2142,354,4408,4862,354,976,976,976
21,6496,2003,4145,1687,3127,1337,2723,653,3275,1624,1014,1731,1624,2558,3372
22,2605,3013,44,743,1182,648,3371,1881,790,1900,1881,1881,3021,3021,1881
23,6496,6178,163,3372,3127,1337,2723,2872,3275,198,3495,2558,198,3034,2250
24,2605,5149,362,2469,1518,2933,2146,131,787,550,3369,131,787,787,1890
25,6496,6178,109,1723,1518,2671,2146,131,787,2568,2603,131,787,787,1890
26,2605,3154,1462,1782,2943,145,2146,131,2359,3280,3495,2448,1480,143,1890
27,2379,5149,362,2507,1001,285,2730,1868,1593,407,2695,2624,2717,2707,1380
28,6496,3013,109,2717,1518,359,1298,389,3139,1264,359,3353,1709,2068,554
29,6496,5149,362,2507,769,285,2756,2618,354,530,1329,3353,3406,2479,886
30,6496,3013,163,1723,1518,1780,3164,3172,3271,1793,680,238,874,3172,1709
31,2605,5149,2871,3313,1268,1780,2441,389,1147,1739,680,238,1780,680,3353
32,6496,3013,44,3313,1518,1780,2441,3172,2441,398,1438,238,1848,3467,1399
33,6496,3013,1744,4481,1471,4057,1923,4528,6684,487,2986,4147,4927,5083,3425
34,2605,128,4150,3519,3519,1522,3121,3121,2408,2939,3121,346,3157,2939,1899
35,2605,3154,3121,1923,6080,6656,1923,5216,5119,2893,2986,1923,4229,4271,3869
36,2605,5149,2871,909,533,3112,1022,50,3006,2043,1715,399,2043,3006,2313
37,2605,3154,1462,36,6510,697,340,554,126,1269,605,2313,126,3006,2313
38,2605,3154,1462,3131,2953,145,634,2752,1768,2952,2270,609,3300,2952,112
39,2605,3661,44,2717,292,1780,3178,3440,819,1030,1395,2380,2189,395,3178
40,2448,3013,44,1723,1518,1780,2441,3243,1115,3321,1326,1459,976,2825,3178
41,6496,3013,163,1229,1518,370,2073,2596,1396,108,3442,3062,213,3939,4017
42,5659,3013,109,1674,997,2671,2266,3228,1396,1775,1595,144,2116,1011,1104
43,6496,3013,163,2716,1518,2671,235,2314,499,1217,1404,144,2856,108,1219
44,6496,6178,109,3826,819,2671,2730,2261,1396,814,911,1595,327,3291,3301
45,2448,3013,112,2305,1518,2077,1616,755,354,2627,921,1646,932,2511,932
46,2605,3013,1714,1229,252,1780,1616,3139,354,3459,3133,1646,2717,2335,2958
47,2605,5149,3506,2717,2142,1780,852,202,354,4408,921,1646,1852,566,2627
48,2605,3154,1462,3131,2970,2041,2970,3225,1651,1651,3225,1651,3374,901,124
49,2605,3154,1462,909,2598,954,1194,3225,1651,1651,3225,1925,901,901,3363
50,6496,5149,2871,909,2288,2965,2730,747,1935,2536,2536,1925,937,2431,3363
51,6496,5149,362,2507,1001,2965,2730,2830,1935,2536,2226,3124,3018,2226,2226
52,2605,5149,1462,909,2657,2965,2730,747,1935,2536,19,3124,3018,1090,1891
53,6496,3013,1744,2507,1001,1525,1847,2224,932,1216,1819,3367,1819,2275,1819
54,2605,3013,109,36,669,2308,2944,1238,126,677,1227,2369,1431,2127,2439
55,2605,3154,3121,36,669,2686,2457,2672,3462,362,2686,5700,462,4292,6440
56,2605,3154,1462,3131,2705,2686,95,2705,1724,2269,2501,1639,1442,471,1724
57,2605,5149,362,909,769,2398,2730,3334,1265,533,1723,2283,1852,2479,3152
58,2605,3154,4150,3519,3125,2186,2970,3370,551,841,3130,3129,1738,1466,568
59,2605,3154,1462,909,769,1374,1201,578,5810,781,2530,1415,1852,2741,1527
60,2605,3154,4150,6842,3073,583,4751,43,1931,3288,3073,43,43,43,43
61,2448,128,1744,408,2089,583,1201,50,2840,2043,2840,399,1715,585,2034
62,6496,128,6009,3773,5102,6247,2152,459,3073,2840,3073,583,1214,43,2620
63,2605,3154,2871,909,1001,2965,2469,3164,1018,530,3406,530,19,1495,3106
64,2605,5149,362,909,2142,1780,2836,3406,3139,3211,3406,3353,1629,3477,1124
65,6496,3013,109,3313,1001,1780,1616,2811,1413,1780,921,2153,976,1286,166
66,2605,5149,1744,909,3451,1644,2469,2832,2832,2559,3225,1861,1668,1838,2605
67,2605,3154,362,2717,2705,492,1194,579,1232,353,353,1792,2192,1838,2605
68,2605,3154,1462,3131,997,579,1194,3496,1067,3358,1691,2981,556,2981,2981
69,2605,3154,1462,3131,3131,1173,694,2050,1048,1774,480,5375,2192,1774,5141
70,2605,3154,362,1028,561,1173,2500,2050,694,1590,232,2262,2192,2215,3020
71,2605,3154,2871,2469,2516,1813,1813,948,1850,3131,2537,3347,548,418,435
72,6496,3013,44,2717,1518,2671,235,1476,2464,1793,1076,119,2962,2155,1139
73,6496,5149,2871,1229,1518,2308,2093,608,1106,1793,1282,608,547,2155,1139
74,2605,5149,109,2717,2516,2671,2146,1,2464,1,3244,3140,997,997,579
75,2605,5149,1462,3131,2516,2311,2146,997,1925,25,1,2431,997,275,1160
