ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14
0,162,100,147,53,53,53,53,53,53,53,53,53,53,53,53
1,79,303,53,53,53,53,53,53,53,53,53,53,53,53,53
2,362,89,53,53,53,53,53,53,53,53,53,53,53,53,53
3,224,213,347,347,347,347,347,347,347,347,347,347,347,347,347
4,7,364,250,448,179,347,347,347,347,347,347,347,347,347,347
5,213,213,213,347,347,347,347,347,347,347,347,347,347,347,347
6,339,395,360,245,208,245,65,245,170,370,322,353,370,360,370
7,12,364,395,395,110,12,110,110,110,325,577,110,325,325,325
8,187,323,22,19,281,385,385,366,366,385,385,385,395,385,385
9,223,261,261,261,261,261,261,261,261,261,261,261,261,261,261
10,776,462,261,229,229,647,647,647,391,647,632,261,647,647,647
11,283,158,225,139,261,261,261,261,261,261,261,261,261,261,261
12,222,390,15,15,15,15,15,15,15,378,15,15,15,15,15
13,87,87,5,45,757,139,45,595,74,595,595,595,45,595,595
14,134,177,15,15,15,15,15,15,15,15,15,15,15,15,15
15,342,412,203,203,569,203,203,203,225,203,203,569,203,203,429
16,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203
17,314,241,203,203,203,203,203,203,203,203,203,203,203,203,203
18,364,148,148,231,231,231,231,231,231,231,231,231,231,231,231
19,131,131,231,231,231,231,231,231,231,231,231,231,231,231,231
20,53,231,231,231,231,231,231,231,231,231,231,231,231,231,231
21,209,368,368,368,368,368,368,368,368,368,368,368,368,368,368
22,632,77,368,368,368,77,368,77,155,368,368,368,368,368,368
23,519,368,368,368,368,368,368,368,368,368,368,368,368,368,368
24,328,125,80,80,80,80,80,80,80,80,80,80,80,80,80
25,250,80,80,80,80,80,80,80,80,80,80,80,80,80,80
26,21,101,80,80,80,80,80,80,80,80,80,80,80,80,80
27,203,182,144,323,223,323,323,323,323,323,323,323,323,323,323
28,295,295,297,323,323,323,323,323,323,323,323,323,323,323,323
29,327,188,314,297,297,323,297,323,323,323,323,323,323,323,323
30,0,245,245,245,245,245,245,245,245,245,245,245,245,245,245
31,187,404,404,245,245,245,245,245,245,245,245,245,245,245,245
32,274,245,245,245,245,245,245,245,245,245,245,245,245,245,245
33,21,549,763,160,160,280,647,657,408,100,23,258,647,668,697
34,390,19,321,321,321,321,321,321,321,321,321,321,321,321,321
35,321,517,671,629,671,321,321,321,89,321,194,194,194,194,321
36,290,35,35,270,270,270,270,270,270,270,270,270,270,270,270
37,740,98,188,270,290,270,270,270,270,270,270,270,270,270,270
38,32,259,368,107,115,368,87,354,230,87,115,230,87,163,115
39,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166
40,135,237,166,166,166,166,166,166,166,166,166,166,166,166,166
41,641,166,360,632,723,166,166,632,166,166,166,166,166,166,166
42,132,46,28,132,28,28,28,28,28,28,28,28,28,28,28
43,389,79,28,28,28,28,28,28,28,28,28,28,28,28,28
44,385,135,28,28,28,28,28,28,28,28,28,28,28,28,28
45,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
46,130,20,200,70,70,130,130,130,130,130,130,102,130,130,130
47,476,347,93,121,130,130,130,223,303,130,237,364,130,130,130
48,99,161,103,161,161,161,161,161,161,161,161,161,161,161,161
49,168,126,301,161,47,161,161,161,207,207,161,207,161,207,161
50,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161
51,179,400,400,400,207,207,207,207,207,207,207,207,207,207,207
52,255,327,103,207,103,103,207,103,103,207,103,103,207,103,207
53,255,60,207,207,207,207,207,207,207,207,207,207,207,207,207
54,338,369,367,16,16,16,16,16,16,16,16,16,16,16,16
55,74,678,3,734,247,581,16,678,114,313,16,16,16,338,82
56,370,317,123,16,16,16,16,16,690,16,16,16,16,16,16
57,78,147,309,367,367,367,367,367,367,367,367,367,367,367,367
58,181,517,382,140,145,45,382,382,108,395,382,382,382,382,228
59,403,188,65,367,367,367,367,367,367,367,367,367,367,367,367
60,36,95,95,95,95,95,95,95,95,95,95,95,95,95,95
61,362,35,95,95,95,95,95,95,95,95,95,95,95,95,95
62,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
63,211,630,256,335,58,58,256,385,58,58,379,58,58,58,58
64,75,174,174,174,174,174,174,174,174,174,174,174,174,174,174
65,237,174,174,174,174,174,174,174,174,174,174,174,174,174,174
66,148,175,619,66,66,66,66,89,66,66,66,66,66,66,66
67,221,107,9,107,322,322,322,322,322,66,5,322,99,44,66
68,248,126,393,66,690,690,317,690,690,222,690,690,690,690,66
69,196,222,196,196,222,222,222,222,222,222,222,222,222,222,222
70,253,181,181,337,259,259,259,259,337,145,259,222,222,145,145
71,159,159,222,222,222,222,222,222,222,222,222,222,222,222,222
72,25,363,392,392,392,392,27,27,374,27,27,27,27,27,27
73,217,79,35,370,250,35,27,27,27,106,27,27,106,27,27
74,52,157,156,156,136,136,136,136,136,136,209,136,300,300,27
75,41,6,106,253,106,106,49,8,8,285,285,8,55,285,285
76,637,35,131,237,8,8,8,8,8,8,8,8,8,8,8
77,155,320,8,8,8,8,8,8,8,8,8,8,8,8,8
78,20,360,394,83,38,38,38,331,331,38,38,38,38,38,38
79,31,313,74,155,38,38,38,38,38,38,38,38,637,38,38
80,506,276,62,55,62,62,38,38,38,38,38,38,38,38,38
81,741,263,362,388,391,391,391,391,341,391,341,341,341,341,391
82,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
83,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
84,255,393,393,393,393,393,393,393,393,393,393,393,393,393,393
85,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393
86,125,393,393,393,393,393,393,393,393,393,393,393,393,393,393
87,317,126,376,376,376,376,376,376,376,376,376,376,376,376,376
88,66,355,376,376,376,376,376,376,376,376,376,376,376,376,376
89,374,2,343,57,376,376,376,376,376,376,376,376,376,376,376
90,13,361,133,44,44,99,99,99,99,99,99,99,99,99,99
91,99,393,403,99,99,99,99,99,99,99,99,99,99,99,99
92,317,345,159,159,181,222,99,159,99,181,133,181,181,402,196
93,618,86,86,86,86,86,86,86,86,86,86,86,86,86,86
94,607,722,576,751,86,86,86,86,86,86,86,86,86,86,86
95,53,86,86,86,86,86,86,86,86,86,86,86,86,86,86
96,550,203,273,273,273,273,273,273,273,273,273,273,273,273,273
97,805,177,273,273,273,548,273,273,273,273,273,273,273,273,273
98,569,660,273,273,273,273,273,273,273,273,273,273,273,273,273
99,353,179,384,224,398,398,398,398,398,398,398,398,398,398,398
100,408,398,174,630,777,630,762,777,777,174,148,649,762,353,762
101,647,674,401,647,398,398,398,398,48,398,398,398,398,398,398
102,382,87,353,353,353,338,353,353,353,353,353,353,353,353,353
103,229,255,255,255,255,255,140,140,140,140,140,140,140,140,140
104,469,307,291,371,208,208,31,187,187,187,545,545,187,31,31
105,221,153,154,154,154,365,365,365,359,365,365,177,359,365,45
106,129,9,85,324,176,176,176,176,176,176,176,176,176,176,176
107,723,155,155,176,176,176,176,176,176,176,176,176,176,176,176
108,293,293,293,67,67,67,67,67,67,67,67,67,67,67,67
109,153,160,66,676,676,67,67,67,67,67,67,67,67,67,67
110,221,67,67,67,67,67,67,67,67,67,67,67,67,67,67
111,168,378,286,286,286,286,286,286,286,286,286,286,286,286,286
112,12,351,158,351,286,286,286,286,286,286,286,478,286,286,286
113,651,472,22,286,286,286,351,286,286,286,351,286,286,286,286
114,323,102,131,131,131,131,131,131,131,131,131,131,131,131,131
115,309,98,367,341,341,131,131,22,268,131,6,440,131,131,131
116,100,100,131,131,131,131,131,131,131,131,131,131,131,131,131
117,229,71,80,776,559,71,71,372,71,71,372,595,595,365,372
118,217,14,217,32,365,365,365,365,365,365,365,365,365,365,365
119,379,168,310,365,365,365,365,365,365,365,365,365,365,365,365
120,3,320,652,295,690,678,690,383,678,678,678,384,269,245,269
121,206,111,384,384,384,384,384,384,384,384,384,384,384,384,384
122,14,111,111,779,779,779,583,583,654,111,583,583,483,654,531
123,382,270,3,227,341,341,341,341,341,341,341,341,341,341,341
124,330,306,306,79,147,187,394,216,47,268,147,216,20,231,268
125,263,100,100,100,341,341,341,341,341,341,341,341,341,341,341
126,182,251,251,241,362,241,318,367,241,241,241,19,251,285,285
127,237,88,88,88,88,88,88,88,88,88,88,88,88,88,88
128,312,312,88,88,88,88,88,88,88,88,88,88,88,88,88
129,132,166,171,171,171,171,171,171,171,171,171,171,171,171,171
130,130,298,92,171,171,171,171,171,171,171,171,171,171,171,171
131,111,340,171,171,171,171,171,171,171,171,171,171,171,171,171
132,640,72,72,72,165,160,355,355,343,259,94,259,259,259,259
133,421,24,112,259,259,259,259,259,259,259,259,259,259,259,259
134,159,99,259,259,540,376,376,259,259,376,259,259,259,259,222
135,295,738,232,314,314,314,314,314,314,314,314,314,314,314,314
136,252,319,319,319,319,319,319,319,133,319,319,148,148,319,248
137,244,314,314,314,338,314,314,314,314,314,314,314,232,314,232
138,252,370,90,90,90,90,90,90,90,90,90,90,90,90,90
139,69,371,90,90,90,90,90,90,90,90,90,90,90,90,90
140,370,33,90,90,90,90,90,193,90,193,90,193,193,90,90
141,294,102,102,102,102,102,102,102,102,102,102,102,102,102,102
142,70,20,102,102,102,102,102,102,102,102,102,102,102,102,102
143,53,22,295,102,102,102,102,102,102,102,102,102,102,102,102
144,19,241,241,241,203,342,342,342,342,342,342,342,342,342,342
145,78,139,203,139,342,342,342,342,342,342,342,342,342,342,342
146,342,342,139,203,203,139,78,139,342,273,342,342,342,342,342
147,310,237,237,237,237,237,237,237,237,237,237,237,237,237,237
148,131,354,237,237,237,237,237,237,237,237,237,237,237,237,237
149,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237
150,199,185,185,7,7,7,7,7,7,7,7,7,7,7,7
151,245,7,112,7,7,7,7,7,7,7,7,7,7,7,7
152,132,166,166,7,7,7,7,7,7,7,7,7,7,7,7
153,193,206,206,206,206,206,206,206,206,206,206,206,206,206,206
154,64,206,206,206,206,206,206,206,206,206,206,206,206,206,206
155,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206
156,745,214,369,369,276,276,244,352,352,352,352,352,352,352,352
157,534,352,173,352,352,352,352,352,352,352,352,352,352,352,352
158,171,352,352,352,352,352,352,352,352,352,352,352,352,352,352
159,5,357,357,357,357,357,357,357,357,357,357,357,357,357,357
160,194,357,357,357,357,357,357,357,357,357,357,357,357,357,357
161,6,309,78,357,357,357,357,357,357,357,357,357,357,357,357
162,334,46,46,46,46,46,46,46,46,46,46,46,46,46,46
163,71,183,160,180,194,194,322,71,194,194,194,153,284,194,194
164,173,173,209,209,46,46,46,46,46,46,46,46,46,46,46
165,9,156,156,345,156,515,345,196,156,345,345,345,345,345,345
166,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345
167,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345
168,99,333,333,285,285,285,285,285,285,285,285,285,285,285,285
169,68,348,285,285,285,285,285,285,285,285,285,285,285,285,285
170,82,307,385,385,285,285,285,285,285,19,285,285,285,285,285
171,558,310,9,180,180,180,110,111,343,343,343,343,343,343,343
172,374,299,343,343,343,343,343,343,343,343,343,343,343,343,343
173,337,324,343,343,343,343,343,343,343,343,343,343,343,343,343
174,208,255,359,2,1,2,2,2,1,359,359,359,359,359,359
175,43,229,1,173,167,359,359,359,221,359,1,359,359,1,1
176,151,204,678,138,215,217,406,383,406,491,406,406,209,217,406
177,321,258,36,100,100,100,100,100,100,100,100,100,100,100,100
178,241,100,100,100,100,100,100,100,100,100,100,100,100,100,100
179,148,162,100,100,100,100,100,100,100,100,100,100,100,100,100
180,284,284,284,283,283,283,283,283,283,283,283,283,283,283,283
181,158,276,356,356,356,356,356,335,356,356,203,342,356,356,342
182,136,283,283,283,283,283,283,283,283,283,283,283,283,283,283
183,196,444,196,356,356,356,356,123,356,288,356,356,356,205,205
184,403,356,196,356,356,356,356,356,356,356,356,356,356,356,356
185,86,196,218,196,356,356,196,356,356,356,356,356,356,356,356
186,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113
187,357,219,369,156,109,332,673,673,113,429,673,233,113,113,113
188,393,393,137,113,113,113,113,113,113,113,113,113,113,113,113
189,276,74,266,323,274,274,274,274,274,274,274,274,274,274,274
190,633,338,89,89,89,574,89,89,274,274,274,89,89,365,274
