ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23
0,1919,3421,894,74,3313,2906,459,2906,2906,2906,3178,1782,2594,3178,3178,3178,2550,2906,87,2906,2906,2906,2906,613
1,976,1674,3313,3313,2142,4992,2142,4992,4992,1782,4992,2734,2142,2547,2142,2547,1311,2547,2734,2142,1231,1231,2142,2717
2,1156,3506,455,3196,2142,2142,2142,2142,2906,2534,2534,769,2142,2142,2142,2142,769,2142,2142,2142,2142,2142,819,819
3,1674,3421,3421,121,1312,458,1593,239,1593,3205,3205,3205,3416,725,725,725,3416,3416,3416,3205,725,725,2534,725
4,1921,703,2620,2055,3059,4081,1252,4863,4081,4081,4081,4081,1761,2621,4081,4081,389,1752,1761,1761,1306,1761,1942,1057
5,1919,6451,2741,533,533,533,3444,239,533,533,2468,2468,2468,533,1032,3416,3416,3416,174,533,3416,539,3416,725
6,1156,2536,3459,3340,1473,1473,1473,791,341,165,165,165,791,566,566,791,791,791,174,791,791,791,791,363
7,1156,1196,1579,6316,4287,2586,2044,2044,2044,4287,2044,2044,2044,2044,2044,2044,2044,2044,2202,2202,2586,2586,2202,2044
8,3459,2657,2403,2261,2261,635,773,682,2523,2644,2403,2403,2657,2403,2044,2044,4688,2044,211,2970,2044,553,2173,2403
9,2880,2150,2667,123,2667,2524,2667,2667,2524,2667,2667,1732,2524,2834,7015,7015,7015,2834,1335,7015,2667,7015,2834,1398
10,604,2739,685,2127,5533,808,5376,850,5357,805,5357,5741,4529,5357,3252,5357,1095,808,5357,6941,6661,5357,3831,6917
11,1980,2560,2185,2804,1460,6664,2146,2834,550,2834,1460,1732,2146,2834,2146,1732,1732,2834,2834,2834,2834,2834,2834,2834
12,183,221,2388,2388,1311,3361,2146,2245,2603,2222,2603,2603,1585,840,2603,2603,2603,2603,2603,2146,2603,2146,2603,2603
13,330,5371,6842,6842,3441,987,5371,256,5371,3896,3896,3896,3896,256,3896,256,3441,3896,2334,3896,3896,3896,6088,3441
14,330,2168,2388,2961,1311,961,2771,1311,1311,4146,2146,3441,1311,2146,2771,1311,1311,3441,3441,3441,3231,2771,2771,1311
15,6525,2168,396,147,131,2804,632,2804,2608,6854,6854,1318,1077,4957,961,3231,1732,2608,3231,3231,3231,1732,1732,3231
16,961,2168,1004,2804,2804,2804,1930,3315,2289,1483,1483,2804,1483,1483,1483,1483,1483,1483,1483,1483,861,3315,1483,861
17,1980,2211,396,1734,2608,2608,2608,2608,2608,1483,2608,2608,2608,2608,2608,2608,2608,2608,2608,2608,2608,2608,2608,2608
18,569,291,3459,2453,3028,2619,3459,2619,3139,2619,3464,1780,3224,2614,2614,6005,1080,3224,1780,1780,2614,2479,2614,56
19,3325,2934,3459,2479,2089,2933,606,3224,606,2479,3224,3224,56,3224,3224,606,3224,3224,56,56,56,3224,3224,56
20,976,3417,2717,606,976,3224,606,354,606,3224,3224,3224,3224,3224,3224,3224,3224,3224,3224,3224,3080,3224,3224,3224
21,2880,1229,3495,1437,1886,3247,3247,1234,3247,3210,1288,1288,3210,3247,1288,2521,3247,2521,2521,3247,2521,1288,586,3274
22,213,1552,298,2250,4141,5084,5084,3399,2812,5468,5084,1046,5468,1046,5468,5468,192,5468,3064,5468,5468,5468,1046,1325
23,2880,3343,3495,913,1046,1569,2521,788,3247,1046,3234,1014,788,586,2521,788,3998,1685,586,1046,586,788,1046,248
24,2224,6515,2147,2603,1890,2603,2147,787,589,2245,2524,1890,1890,2147,1890,3253,92,1890,3253,92,92,1890,1890,1890
25,2880,6515,2147,2603,1213,787,787,787,787,787,3253,3253,3253,3253,3253,3253,3253,787,3253,787,3253,3253,787,276
