ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15
0,3647,242,2560,1705,1705,2560,2730,2695,2906,2906,1782,2758,2764,1782,1858,1233
1,3647,1959,2560,1782,1395,1840,3468,455,2717,2142,1782,1782,2764,1782,2172,1233
2,3647,242,2560,2714,2142,1858,2906,2695,2906,2142,1858,3133,2764,3313,2142,1233
3,3647,1959,2105,686,637,795,1298,2819,3526,1199,2378,2378,580,3182,3182,3182
4,3647,1959,2871,2422,1473,3271,3024,3172,3038,3490,2378,1269,1044,3011,3011,3011
5,330,1959,1715,2837,1715,795,1298,2530,1919,1269,1919,1919,580,3182,1919,2412
6,3647,1959,1127,2611,1882,795,1935,389,1709,165,3195,2783,580,1717,1164,3263
7,3647,1959,1127,6316,370,1073,868,1073,3340,2840,2840,62,1788,1073,2044,2044
8,3647,1959,1094,1723,915,1527,2256,776,2401,2403,359,2401,3379,2211,2211,1566
9,3647,1633,4330,2189,818,1480,961,123,1095,123,3351,2603,3351,3231,999,424
10,3647,1959,2147,3231,4637,2643,3371,656,3150,6970,1971,1383,2634,2634,1971,3150
11,3647,1959,3345,1705,1705,1883,961,1239,2906,4471,2834,987,2764,3231,961,424
12,330,2925,3527,473,1311,1883,961,1239,2408,2852,1460,987,2265,1311,2245,2265
13,330,2925,2548,457,5896,987,2622,656,2603,5384,1460,987,3441,290,3231,3102
14,330,2925,3392,408,1311,3441,961,1239,346,2852,346,987,346,1311,346,2265
15,330,1959,2185,1705,1705,1883,961,1239,832,3338,473,987,824,1705,473,2265
16,330,1959,3527,1705,1705,1883,961,1239,2289,1883,473,2804,824,1483,1077,3315
17,330,1959,2560,424,1705,3315,961,1239,832,3338,2608,1318,824,2608,2608,3315
18,3647,1959,1127,2955,2732,795,2230,389,3139,1739,1438,3464,1852,1852,1852,3263
19,330,242,3459,1738,2479,2933,2790,1852,1852,2355,3087,354,1852,1852,1852,2614
20,330,242,2399,2717,606,2933,2230,1279,1852,2939,3087,354,1852,1852,976,3263
21,5189,187,785,794,1515,924,316,3260,511,855,3210,281,3247,1234,1288,1611
