ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9
0,53,53,53,53,53,53,53,53,53,53
1,206,53,53,53,53,53,53,53,53,53
2,263,53,53,53,53,53,53,53,53,53
3,347,347,347,347,347,347,347,347,347,347
4,35,385,347,347,347,347,347,347,347,347
5,347,347,347,347,347,347,347,347,347,347
6,297,208,245,208,208,208,245,353,290,370
7,364,79,713,110,110,12,325,325,325,325
8,323,323,385,323,385,385,385,385,385,366
9,32,261,261,261,261,261,261,261,261,261
10,462,647,647,261,41,41,261,261,261,261
11,309,261,261,261,261,261,261,261,261,261
12,15,15,15,15,15,15,15,15,15,15
13,87,230,800,192,15,15,15,15,15,15
14,139,15,15,15,15,15,15,15,15,15
15,203,203,203,203,203,203,203,203,203,203
16,203,203,203,203,203,203,203,203,203,203
17,225,203,203,203,203,203,203,203,203,203
18,79,231,231,231,231,231,231,231,231,231
19,231,231,231,231,231,231,231,231,231,231
20,231,231,231,231,231,231,231,231,231,231
21,368,368,368,368,368,368,368,368,368,368
22,167,155,368,368,368,368,368,368,368,368
23,153,368,368,368,368,368,368,368,368,368
24,80,80,80,80,80,80,80,80,80,80
25,80,80,80,80,80,80,80,80,80,80
26,80,80,80,80,80,80,80,80,80,80
27,263,323,323,323,323,323,323,323,323,323
28,187,323,323,323,323,323,323,323,323,323
29,314,218,251,75,323,323,323,323,323,323
30,245,245,245,245,245,245,245,245,245,245
31,404,245,245,245,245,245,245,245,245,245
32,245,245,245,245,245,245,245,245,245,245
33,597,489,489,577,789,274,447,657,322,11
34,321,321,321,321,321,321,321,321,321,321
35,653,671,36,36,674,36,36,321,36,621
36,35,270,270,270,270,270,270,270,270,270
37,14,188,270,270,270,270,270,270,84,270
38,259,230,230,230,230,71,795,71,71,145
39,166,166,166,166,166,166,166,166,166,166
40,166,166,166,166,166,166,166,166,166,166
41,166,166,166,166,166,166,166,166,166,166
42,401,28,28,28,28,28,28,28,28,28
43,79,28,28,28,28,28,28,28,28,28
44,28,28,28,28,28,28,28,28,28,28
45,130,130,130,130,130,130,130,130,130,130
46,130,135,130,130,130,135,130,130,130,130
47,206,22,130,130,130,223,223,223,130,130
48,103,161,161,161,161,161,161,161,161,161
49,377,301,161,161,161,161,161,161,161,161
50,377,161,161,161,161,161,161,161,161,161
51,400,400,103,207,207,207,207,207,207,207
52,103,103,103,103,103,207,207,207,207,207
53,203,207,207,207,207,207,207,207,207,207
54,387,16,16,16,16,16,16,16,16,16
55,735,678,16,678,605,16,605,16,678,114
56,3,16,16,16,16,16,16,16,16,16
57,400,367,367,367,367,367,367,367,367,367
58,395,382,232,108,353,264,353,337,337,193
59,274,367,367,367,367,367,367,367,367,367
60,95,95,95,95,95,95,95,95,95,95
61,95,95,95,95,95,95,95,95,95,95
62,95,95,95,95,95,95,95,95,95,95
63,256,58,58,385,208,58,58,58,58,58
64,174,174,174,174,174,174,174,174,174,174
65,174,174,174,174,174,174,174,174,174,174
66,385,335,335,335,66,66,66,66,66,66
67,222,160,159,159,99,94,66,66,66,133
68,126,101,66,66,66,66,66,66,66,66
69,159,123,123,222,222,222,222,222,222,222
70,222,13,259,259,259,259,259,259,259,259
71,222,222,222,222,222,222,222,222,222,222
72,179,392,27,27,27,27,27,27,27,27
73,25,27,392,27,27,27,27,27,27,27
74,354,389,124,136,136,209,27,209,27,27
75,252,252,252,252,8,8,8,8,8,8
76,118,8,8,8,8,8,8,8,8,8
77,8,8,8,8,8,8,8,8,8,8
78,28,64,38,38,38,38,38,38,38,38
79,31,38,38,38,38,38,38,38,38,38
80,138,55,38,38,38,38,38,38,38,38
81,362,341,341,341,341,341,341,341,341,100
82,98,98,98,98,98,98,98,98,98,98
83,98,98,98,98,98,98,98,98,98,98
84,393,393,393,393,393,393,393,393,393,393
85,393,393,393,393,393,393,393,393,393,393
86,393,393,393,393,393,393,393,393,393,393
87,259,376,376,376,376,376,376,376,376,376
88,376,376,376,376,376,376,376,376,376,376
89,108,376,376,376,376,376,376,376,376,376
90,66,99,99,99,99,99,99,99,99,99
91,183,99,99,133,99,99,99,99,99,99
92,159,317,159,99,67,99,99,99,99,317
93,86,86,86,86,86,86,86,86,86,86
94,445,86,86,86,86,86,86,86,86,86
95,86,86,86,86,86,86,86,86,86,86
96,203,273,273,273,273,273,273,273,273,273
97,273,273,273,273,273,576,273,273,273,273
98,569,273,273,273,273,273,273,273,273,273
99,189,398,398,398,398,398,398,398,398,398
100,169,174,353,20,353,205,370,398,370,370
101,128,794,794,794,398,794,794,794,194,230
102,82,264,353,108,353,145,145,181,140,140
103,106,255,194,140,140,140,140,140,140,140
104,84,291,245,187,202,245,31,187,187,187
105,332,85,154,368,368,678,359,359,359,204
106,186,176,176,176,176,176,176,176,176,176
107,129,176,176,176,176,176,176,176,176,176
108,67,67,67,67,67,67,67,67,67,67
109,66,196,676,67,67,67,67,67,67,67
110,159,67,67,67,67,67,67,67,67,67
111,131,297,286,286,286,286,286,286,286,286
112,286,351,286,286,286,286,286,286,286,286
113,182,286,286,286,286,286,351,20,286,286
114,339,131,131,131,131,131,131,131,131,131
115,306,351,339,131,131,131,131,131,131,131
116,339,131,131,131,131,131,131,131,131,131
117,98,71,71,71,71,71,71,71,365,71
118,14,365,365,365,365,365,365,365,365,365
119,168,365,365,365,365,365,365,365,365,365
120,560,31,2,269,370,370,269,334,370,370
121,347,384,384,384,384,384,384,384,384,384
122,779,779,119,119,658,119,274,119,274,269
123,341,341,341,341,341,341,341,341,341,341
124,75,88,47,47,381,295,338,47,338,338
125,248,341,341,341,341,341,341,341,341,341
126,362,318,318,318,241,23,241,241,115,216
127,310,88,88,88,88,88,88,88,88,88
128,171,88,88,88,88,88,88,88,88,88
129,171,171,171,171,171,171,171,171,171,171
130,320,171,171,171,171,171,171,171,171,171
131,131,171,171,171,171,171,171,171,171,171
132,180,160,72,259,259,259,336,259,259,259
133,188,259,259,259,259,259,259,259,259,259
134,99,345,123,123,336,222,222,259,222,259
135,314,314,314,314,314,314,314,314,232,314
136,197,351,351,148,195,148,148,148,148,148
137,314,314,16,314,232,314,314,232,84,314
138,210,121,197,90,90,90,90,90,90,90
139,144,90,90,25,90,90,90,90,90,90
140,33,90,193,90,193,90,90,90,90,90
141,102,102,102,102,102,102,102,102,102,102
142,102,102,102,102,102,102,102,102,102,102
143,381,102,295,102,102,102,102,102,102,102
144,342,342,342,273,342,342,342,342,342,342
145,283,139,342,342,342,342,342,342,342,342
146,203,78,342,342,342,342,342,342,342,342
147,237,237,237,237,237,237,237,237,237,237
148,354,237,237,237,237,237,237,237,237,237
149,237,237,237,237,237,237,237,237,237,237
150,185,7,7,7,7,7,7,7,7,7
151,7,7,7,7,7,7,7,7,7,7
152,7,7,7,7,7,7,7,7,7,7
153,206,206,206,206,206,206,206,206,206,206
154,52,206,206,206,206,206,206,206,206,206
155,206,206,206,206,206,206,206,206,206,206
156,375,244,53,244,352,352,352,352,352,352
157,219,352,352,352,352,352,352,352,352,352
158,352,352,352,352,352,352,352,352,352,352
159,357,357,357,357,357,357,357,357,357,357
160,305,241,357,357,357,357,357,357,357,357
161,78,357,357,357,357,357,357,357,357,357
162,46,46,46,46,46,46,46,46,46,46
163,107,99,358,29,29,29,29,141,46,285
164,57,209,46,240,240,46,46,46,46,46
165,156,156,345,345,345,345,345,345,345,345
166,345,345,345,345,345,345,345,345,345,345
167,345,345,345,345,345,345,345,345,345,345
168,74,285,285,285,285,285,285,285,285,285
169,285,285,285,285,285,285,285,285,285,285
170,4,308,285,285,285,285,285,285,285,285
171,320,180,299,9,9,343,343,343,343,343
172,85,25,343,343,343,343,343,343,343,343
173,85,343,343,343,343,343,343,343,343,343
174,333,359,359,359,359,359,359,359,359,359
175,284,1,359,359,359,359,359,359,359,359
176,204,359,38,359,359,204,204,359,359,204
177,417,100,100,100,100,100,100,100,100,100
178,35,100,100,100,100,100,100,100,100,100
179,100,100,100,100,100,100,100,100,100,100
180,283,260,283,283,283,283,283,283,283,283
181,51,89,342,342,342,342,342,283,244,244
182,283,283,283,283,283,283,283,283,283,283
183,196,196,86,356,356,356,356,94,356,356
184,356,356,356,356,356,356,356,356,356,356
185,196,356,356,356,356,356,356,356,356,356
186,113,113,113,113,113,113,113,113,113,113
187,635,71,47,113,125,113,113,113,113,113
188,333,113,113,113,113,113,113,113,113,113
189,20,380,274,323,274,274,274,274,274,274
190,8,60,335,336,336,336,336,336,274,274
191,274,274,274,274,274,274,274,274,274,274
192,367,354,193,193,193,193,513,193,45,45
193,206,52,52,52,52,52,52,52,52,52
194,223,52,52,52,52,52,52,52,52,52
195,114,332,332,338,114,114,167,338,114,114
196,232,74,338,338,338,338,338,338,338,338
197,358,395,296,244,364,167,167,377,364,167
198,106,138,189,189,370,189,189,189,189,189
199,106,189,255,189,255,194,189,189,189,189
200,189,189,189,189,189,189,189,189,189,189
201,34,34,34,34,34,34,34,34,34,34
202,34,34,34,34,34,34,34,34,34,34
203,323,34,34,34,34,34,34,34,34,34
204,69,69,69,69,69,69,69,69,69,69
205,83,69,69,69,69,69,69,69,69,69
206,69,69,69,69,69,69,69,69,69,69
207,369,369,369,369,369,369,369,369,369,369
208,266,369,369,369,369,369,369,369,369,369
209,137,369,369,369,369,369,369,369,369,369
210,235,185,185,185,185,185,185,185,185,185
211,7,185,185,185,185,185,185,185,185,185
212,325,185,185,185,185,185,185,185,185,185
213,7,395,395,395,395,395,395,395,395,395
214,207,395,395,395,395,395,395,395,395,395
215,395,395,395,395,395,395,395,395,395,395
216,156,156,156,156,156,156,156,156,156,156
217,156,156,156,156,156,156,156,156,156,156
218,345,345,370,397,109,397,397,397,109,3
219,74,160,160,160,160,160,160,160,160,160
220,288,377,377,377,377,377,377,160,377,377
221,317,317,317,288,376,66,376,259,66,126
222,223,129,2,142,129,129,129,129,129,129
223,229,129,129,129,129,129,129,129,129,129
