Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_MagFace_SGD.yaml	222	0	0.0	38.358	30.736	21.637	0.0	28.431	32.278	20.472
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_MagFace_SGD.yaml	222	1	0.0	69.997	34.691	33.869	0.0	61.145	35.664	31.601
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_MagFace_SGD.yaml	222	2	0.0	81.05	37.935	42.308	0.0	75.17	39.07	39.618
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_MagFace_SGD.yaml	222	3	0.0	85.673	37.511	44.56	0.0	80.5	38.92	42.402
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_MagFace_SGD.yaml	222	4	0.0	87.978	38.25	47.598	0.0	83.866	39.61	45.446
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_MagFace_SGD.yaml	222	5	0.0	89.51	38.498	49.473	0.0	85.49	39.565	47.025
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_MagFace_SGD.yaml	222	6	0.0	90.558	38.115	50.233	0.0	86.957	39.79	48.319
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_MagFace_SGD.yaml	222	7	0.0	91.488	39.074	51.974	0.0	88.109	40.208	49.615
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_MagFace_SGD.yaml	222	8	0.0	91.344	39.009	52.38	0.0	88.476	40.345	50.325
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_MagFace_SGD.yaml	222	9	0.0	91.619	39.704	53.744	0.0	89.314	41.17	51.597
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_MagFace_SGD.yaml	222	10	0.0	92.051	39.972	54.535	0.0	89.576	41.492	52.656
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_MagFace_SGD.yaml	222	11	0.0	91.841	41.102	55.59	0.0	88.711	42.921	54.041
