Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
inception_v4	configs_multi/inception_v4/config_inception_v4_CosFace_SGD.yaml	222	0	0.0	4.151	21.322	2.203	0.0	1.598	20.305	1.931
inception_v4	configs_multi/inception_v4/config_inception_v4_CosFace_SGD.yaml	222	1	0.0	1.48	24.5	4.455	0.0	0.943	24.454	4.246
inception_v4	configs_multi/inception_v4/config_inception_v4_CosFace_SGD.yaml	222	2	0.0	3.195	26.99	6.579	0.0	1.86	27.162	6.105
inception_v4	configs_multi/inception_v4/config_inception_v4_CosFace_SGD.yaml	222	3	0.0	6.731	29.143	10.771	0.0	4.767	28.645	9.865
inception_v4	configs_multi/inception_v4/config_inception_v4_CosFace_SGD.yaml	222	4	0.0	11.393	29.205	13.843	0.0	7.36	28.357	11.944
inception_v4	configs_multi/inception_v4/config_inception_v4_CosFace_SGD.yaml	222	5	0.0	15.361	30.484	16.158	0.0	10.28	30.748	14.5
inception_v4	configs_multi/inception_v4/config_inception_v4_CosFace_SGD.yaml	222	6	0.0	22.878	31.1	18.472	0.0	14.864	32.523	17.278
inception_v4	configs_multi/inception_v4/config_inception_v4_CosFace_SGD.yaml	222	7	0.0	27.148	32.514	21.078	0.0	17.653	32.927	18.538
inception_v4	configs_multi/inception_v4/config_inception_v4_CosFace_SGD.yaml	222	8	0.0	29.544	33.23	21.951	0.0	20.141	34.46	20.29
inception_v4	configs_multi/inception_v4/config_inception_v4_CosFace_SGD.yaml	222	9	0.0	33.119	33.852	24.015	0.0	24.424	33.91	21.002
inception_v4	configs_multi/inception_v4/config_inception_v4_CosFace_SGD.yaml	222	10	0.0	36.852	34.541	25.609	0.0	27.292	35.702	23.516
inception_v4	configs_multi/inception_v4/config_inception_v4_CosFace_SGD.yaml	222	11	0.0	37.86	35.325	26.613	0.0	27.279	35.368	23.495
inception_v4	configs_multi/inception_v4/config_inception_v4_CosFace_SGD.yaml	222	12	0.0	33.394	37.515	26.388	0.0	24.254	37.76	23.69
inception_v4	configs_multi/inception_v4/config_inception_v4_CosFace_SGD.yaml	222	13	0.0	39.078	37.426	28.536	0.0	28.483	39.013	26.219
inception_v4	configs_multi/inception_v4/config_inception_v4_CosFace_SGD.yaml	222	14	0.0	43.282	36.137	28.869	0.0	31.797	36.891	25.579
inception_v4	configs_multi/inception_v4/config_inception_v4_CosFace_SGD.yaml	222	15	0.0	44.015	37.819	30.708	0.0	32.949	38.554	27.364
inception_v4	configs_multi/inception_v4/config_inception_v4_CosFace_SGD.yaml	222	16	0.0	44.133	37.341	30.379	0.0	33.342	38.96	27.892
inception_v4	configs_multi/inception_v4/config_inception_v4_CosFace_SGD.yaml	222	17	0.0	44.67	39.294	32.314	0.0	34.835	38.838	28.15
inception_v4	configs_multi/inception_v4/config_inception_v4_CosFace_SGD.yaml	222	18	0.0	44.997	39.524	31.285	0.0	33.172	40.981	29.221
inception_v4	configs_multi/inception_v4/config_inception_v4_CosFace_SGD.yaml	222	19	0.0	15.139	42.564	21.501	0.0	10.385	46.237	22.971
inception_v4	configs_multi/inception_v4/config_inception_v4_CosFace_SGD.yaml	222	20	0.0	30.605	42.743	29.858	0.0	24.83	43.341	28.434
inception_v4	configs_multi/inception_v4/config_inception_v4_CosFace_SGD.yaml	222	21	0.0	38.777	41.534	31.964	0.0	28.117	42.82	29.299
inception_v4	configs_multi/inception_v4/config_inception_v4_CosFace_SGD.yaml	222	22	0.0	45.024	42.07	34.827	0.0	32.596	44.075	32.283
inception_v4	configs_multi/inception_v4/config_inception_v4_CosFace_SGD.yaml	222	23	0.0	45.285	42.562	35.55	0.0	34.298	43.647	32.246
inception_v4	configs_multi/inception_v4/config_inception_v4_CosFace_SGD.yaml	222	24	0.0	47.158	42.521	36.16	0.0	35.568	42.595	31.663
inception_v4	configs_multi/inception_v4/config_inception_v4_CosFace_SGD.yaml	222	25	0.0	49.411	42.511	36.495	0.0	36.629	44.128	33.488
inception_v4	configs_multi/inception_v4/config_inception_v4_CosFace_SGD.yaml	222	26	0.0	49.882	43.844	38.32	0.0	38.109	45.37	35.273
inception_v4	configs_multi/inception_v4/config_inception_v4_CosFace_SGD.yaml	222	27	0.0	51.087	42.856	37.537	0.0	39.052	43.813	33.966
inception_v4	configs_multi/inception_v4/config_inception_v4_CosFace_SGD.yaml	222	28	0.0	8.408	49.28	23.254	0.0	7.478	49.658	23.11
inception_v4	configs_multi/inception_v4/config_inception_v4_CosFace_SGD.yaml	222	29	0.0	39.104	45.948	36.35	0.0	29.256	47.881	34.571
inception_v4	configs_multi/inception_v4/config_inception_v4_CosFace_SGD.yaml	222	30	0.0	39.864	46.378	36.894	0.0	30.251	47.883	33.809
inception_v4	configs_multi/inception_v4/config_inception_v4_CosFace_SGD.yaml	222	31	0.0	45.534	46.209	38.919	0.0	33.971	47.828	36.223
inception_v4	configs_multi/inception_v4/config_inception_v4_CosFace_SGD.yaml	222	32	0.0	48.271	46.279	40.342	0.0	36.289	48.107	37.166
inception_v4	configs_multi/inception_v4/config_inception_v4_CosFace_SGD.yaml	222	33	0.0	30.094	48.295	35.692	0.0	21.399	49.964	33.723
inception_v4	configs_multi/inception_v4/config_inception_v4_CosFace_SGD.yaml	222	34	0.0	46.228	47.346	40.204	0.0	34.219	49.161	37.338
