Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
inception_v4	configs_multi/inception_v4/config_inception_v4_MagFace_AdamW.yaml	222	0	0.013	2.776	13.548	3.025	0.0	2.331	13.736	2.884
inception_v4	configs_multi/inception_v4/config_inception_v4_MagFace_AdamW.yaml	222	1	0.0	9.141	14.561	5.839	0.0	6.43	17.047	6.284
inception_v4	configs_multi/inception_v4/config_inception_v4_MagFace_AdamW.yaml	222	2	0.0	16.841	16.485	8.62	0.0	11.38	15.238	6.699
inception_v4	configs_multi/inception_v4/config_inception_v4_MagFace_AdamW.yaml	222	3	0.0	23.979	14.853	8.981	0.0	15.676	15.764	8.154
inception_v4	configs_multi/inception_v4/config_inception_v4_MagFace_AdamW.yaml	222	4	0.0	29.597	14.904	9.828	0.0	20.77	14.577	8.257
inception_v4	configs_multi/inception_v4/config_inception_v4_MagFace_AdamW.yaml	222	5	0.0	36.655	14.53	10.278	0.0	26.166	15.806	9.789
inception_v4	configs_multi/inception_v4/config_inception_v4_MagFace_AdamW.yaml	222	6	0.0	43.858	13.94	10.783	0.0	32.019	15.57	10.435
inception_v4	configs_multi/inception_v4/config_inception_v4_MagFace_AdamW.yaml	222	7	0.0	48.546	13.657	11.15	0.0	38.594	15.307	11.205
inception_v4	configs_multi/inception_v4/config_inception_v4_MagFace_AdamW.yaml	222	8	0.0	53.156	13.743	11.696	0.0	42.732	15.121	11.569
inception_v4	configs_multi/inception_v4/config_inception_v4_MagFace_AdamW.yaml	222	9	0.0	56.378	13.283	11.691	0.0	46.517	14.62	11.514
inception_v4	configs_multi/inception_v4/config_inception_v4_MagFace_AdamW.yaml	222	10	0.0	58.997	12.993	11.917	0.0	48.468	14.191	11.564
inception_v4	configs_multi/inception_v4/config_inception_v4_MagFace_AdamW.yaml	222	11	0.013	61.446	13.087	12.27	0.0	50.616	14.177	11.951
inception_v4	configs_multi/inception_v4/config_inception_v4_MagFace_AdamW.yaml	222	12	0.0	63.318	12.935	12.395	0.0	53.274	14.204	12.134
inception_v4	configs_multi/inception_v4/config_inception_v4_MagFace_AdamW.yaml	222	13	0.0	66.134	12.983	12.77	0.0	56.207	14.168	12.481
inception_v4	configs_multi/inception_v4/config_inception_v4_MagFace_AdamW.yaml	222	14	0.0	66.527	12.977	13.077	0.0	58.159	13.875	12.44
inception_v4	configs_multi/inception_v4/config_inception_v4_MagFace_AdamW.yaml	222	15	0.0	67.863	12.8	12.94	0.0	59.206	13.891	12.548
inception_v4	configs_multi/inception_v4/config_inception_v4_MagFace_AdamW.yaml	222	16	0.0	69.487	12.807	13.225	0.0	60.686	13.843	12.799
inception_v4	configs_multi/inception_v4/config_inception_v4_MagFace_AdamW.yaml	222	17	0.0	70.469	12.724	13.213	0.0	60.961	13.839	12.829
inception_v4	configs_multi/inception_v4/config_inception_v4_MagFace_AdamW.yaml	222	18	0.0	71.019	12.669	13.292	0.0	62.952	13.784	13.032
inception_v4	configs_multi/inception_v4/config_inception_v4_MagFace_AdamW.yaml	222	19	0.0	72.42	12.658	13.429	0.0	63.397	13.899	13.171
inception_v4	configs_multi/inception_v4/config_inception_v4_MagFace_AdamW.yaml	222	20	0.026	72.067	12.608	13.443	0.0	64.144	13.856	13.255
inception_v4	configs_multi/inception_v4/config_inception_v4_MagFace_AdamW.yaml	222	21	0.026	73.428	12.366	13.354	0.0	64.471	13.72	13.26
inception_v4	configs_multi/inception_v4/config_inception_v4_MagFace_AdamW.yaml	222	22	0.013	73.625	12.458	13.474	0.0	65.676	13.755	13.361
inception_v4	configs_multi/inception_v4/config_inception_v4_MagFace_AdamW.yaml	222	23	0.0	74.267	12.473	13.6	0.0	65.597	13.568	13.279
inception_v4	configs_multi/inception_v4/config_inception_v4_MagFace_AdamW.yaml	222	24	0.065	74.463	12.395	13.566	0.0	65.676	13.499	13.376
inception_v4	configs_multi/inception_v4/config_inception_v4_MagFace_AdamW.yaml	222	25	0.013	74.358	12.569	13.715	0.0	66.71	13.624	13.606
inception_v4	configs_multi/inception_v4/config_inception_v4_MagFace_AdamW.yaml	222	26	0.013	76.035	12.547	13.874	0.0	66.632	13.595	13.47
inception_v4	configs_multi/inception_v4/config_inception_v4_MagFace_AdamW.yaml	222	27	0.0	75.458	12.372	13.769	0.0	66.658	13.757	13.695
inception_v4	configs_multi/inception_v4/config_inception_v4_MagFace_AdamW.yaml	222	28	0.0	75.445	12.367	13.675	0.0	67.391	13.657	13.684
inception_v4	configs_multi/inception_v4/config_inception_v4_MagFace_AdamW.yaml	222	29	0.052	76.205	12.436	13.887	0.0	66.632	13.702	13.667
inception_v4	configs_multi/inception_v4/config_inception_v4_MagFace_AdamW.yaml	222	30	0.0	76.074	12.421	14.022	0.0	67.863	13.648	13.764
inception_v4	configs_multi/inception_v4/config_inception_v4_MagFace_AdamW.yaml	222	31	0.026	76.506	12.484	14.042	0.0	68.609	13.482	13.691
inception_v4	configs_multi/inception_v4/config_inception_v4_MagFace_AdamW.yaml	222	32	0.013	76.768	12.419	14.108	0.0	68.622	13.618	13.892
inception_v4	configs_multi/inception_v4/config_inception_v4_MagFace_AdamW.yaml	222	33	0.013	76.65	12.503	14.197	0.0	68.321	13.597	13.906
