ids,epoch_99,epoch_100
0,53,53
1,53,53
2,53,53
3,347,347
4,308,308
5,347,347
6,245,245
7,132,132
8,366,366
9,261,261
10,21,21
11,261,261
12,15,15
13,87,87
14,15,15
15,203,203
16,203,203
17,225,225
18,231,231
19,231,231
20,231,231
21,368,368
22,368,368
23,368,368
24,80,80
25,80,80
26,80,80
27,323,323
28,323,323
29,323,323
30,245,245
31,245,245
32,245,245
33,321,321
34,321,321
35,321,321
36,270,270
37,367,367
38,338,348
39,166,166
40,166,166
41,166,166
42,28,28
43,28,28
44,28,28
45,130,130
46,130,130
47,130,130
48,161,161
49,161,161
50,161,161
51,207,207
52,207,207
53,103,103
54,16,16
55,16,16
56,16,16
57,367,367
58,394,394
59,367,367
60,95,95
61,95,95
62,95,95
63,295,295
64,174,174
65,174,174
66,66,66
67,133,133
68,66,66
69,222,222
70,181,181
71,222,222
72,392,392
73,278,278
74,209,209
75,8,8
76,8,8
77,8,8
78,38,38
79,38,38
80,38,38
81,213,213
82,98,98
83,98,98
84,393,393
85,393,393
86,259,259
87,376,376
88,376,376
89,376,376
90,99,99
91,99,99
92,159,159
93,86,86
94,86,86
95,86,86
96,273,273
97,86,86
98,273,273
99,398,398
100,370,370
101,211,211
102,145,145
103,140,140
104,385,385
105,17,17
106,176,176
107,176,176
108,67,67
109,222,222
110,67,67
111,286,286
112,20,20
113,286,286
114,131,131
115,131,131
116,131,131
117,71,71
118,365,365
119,365,365
120,197,197
121,384,384
122,269,269
123,341,341
124,338,338
125,100,100
126,241,241
127,88,88
128,88,88
129,171,171
130,171,171
131,171,171
132,305,305
133,259,259
134,222,222
135,314,314
136,121,121
137,314,314
138,90,90
139,90,90
140,197,197
141,102,102
142,102,102
143,115,115
144,342,342
145,342,342
146,342,342
147,237,237
148,237,237
149,237,237
150,7,7
151,7,7
152,7,7
153,206,206
154,206,206
155,206,206
156,352,352
157,352,352
158,352,352
159,357,357
160,357,357
161,357,357
162,46,46
163,46,46
164,46,46
165,345,345
166,345,345
167,345,345
168,285,285
169,285,285
170,30,30
171,343,343
172,343,343
173,343,343
174,359,2
175,74,74
176,359,359
177,100,100
178,100,100
179,100,100
180,283,283
181,283,342
182,283,283
183,356,356
184,356,356
185,356,356
186,113,113
187,254,254
188,21,21
189,340,340
190,388,388
191,274,274
192,304,304
193,52,52
194,52,52
195,114,114
196,338,338
197,12,12
198,29,29
199,234,234
200,189,189
201,34,34
202,34,34
203,34,34
204,69,69
205,69,69
206,69,69
207,369,369
208,369,369
209,369,369
210,185,185
211,185,185
212,166,166
213,395,395
214,395,395
215,395,395
216,156,156
217,156,156
218,109,109
219,160,160
220,377,377
221,66,66
222,129,129
223,96,96
224,129,129
225,241,241
226,241,241
227,241,241
228,264,264
229,145,145
230,264,264
231,170,170
232,170,170
233,60,60
234,184,184
235,184,184
236,184,184
237,124,124
238,124,124
239,124,124
240,71,71
241,71,71
242,71,71
243,263,263
244,263,263
245,263,263
246,191,191
247,191,191
248,191,191
249,59,59
250,256,256
251,256,256
252,293,293
253,293,293
254,293,293
255,56,56
256,56,56
257,56,56
258,399,399
259,399,399
260,399,399
261,331,331
262,331,331
263,331,331
264,400,400
265,400,400
266,400,400
267,128,128
268,128,128
269,230,230
270,248,248
271,248,248
272,248,248
273,118,118
274,118,118
275,118,118
276,96,96
277,96,96
278,334,334
279,377,377
280,377,377
281,152,152
282,92,92
283,246,510
284,180,180
285,84,338
286,84,84
287,248,248
288,339,339
289,339,339
290,339,339
291,158,158
292,158,158
293,158,158
294,78,78
295,78,78
296,78,78
297,262,262
298,262,262
299,262,262
300,179,179
301,179,179
302,179,179
303,55,55
304,29,29
305,29,29
306,294,294
307,294,294
308,294,294
309,74,74
310,284,284
311,74,74
312,389,389
313,389,389
314,389,389
315,404,404
316,404,404
317,404,404
318,308,308
319,308,308
320,347,347
321,292,292
322,292,292
323,678,678
324,77,77
325,77,77
326,77,77
327,250,250
328,250,250
329,250,250
330,317,317
331,37,37
332,160,160
333,233,233
334,233,233
335,266,233
336,361,361
337,274,274
338,361,361
339,59,59
340,318,318
341,59,59
342,145,145
343,145,145
344,145,145
345,135,135
346,135,135
347,135,135
348,57,57
349,57,57
350,229,229
351,309,309
352,309,309
353,79,79
354,35,35
355,35,35
356,35,35
357,220,220
358,220,220
359,220,220
360,127,127
361,127,127
362,127,127
363,216,216
364,216,216
365,216,216
366,321,321
367,185,185
368,321,321
369,149,149
370,149,149
371,149,149
372,150,150
373,150,150
374,150,150
375,377,377
376,353,353
377,109,109
378,358,358
379,77,77
380,358,358
381,300,300
382,300,300
383,300,300
384,41,41
385,41,263
386,41,41
387,53,91
388,375,375
389,91,91
390,337,337
391,337,337
392,337,337
393,351,351
394,351,351
395,351,351
396,62,62
397,180,180
398,180,180
399,383,383
400,383,383
401,383,383
402,154,154
403,154,154
404,154,154
405,105,205
406,105,105
407,105,105
408,24,24
409,141,141
410,158,158
411,215,215
412,215,215
413,215,215
414,252,252
415,252,252
416,252,252
417,239,239
418,239,239
419,239,239
420,193,193
421,193,193
422,193,193
423,19,19
424,19,19
425,19,19
426,397,397
427,397,397
428,397,397
429,303,303
430,303,303
431,303,303
432,28,28
433,102,102
434,148,148
435,121,121
436,121,121
437,135,135
438,296,99
439,296,296
440,421,421
441,380,380
442,380,380
443,380,380
444,201,201
445,201,201
446,311,311
447,334,334
448,379,379
449,84,84
450,332,332
451,332,332
452,332,332
453,125,125
454,125,125
455,125,125
456,255,255
457,255,255
458,255,255
459,40,40
460,40,40
461,40,40
462,1,1
463,1,1
464,1,1
465,363,363
466,363,363
467,363,363
468,177,177
469,362,362
470,177,177
471,183,183
472,183,183
473,393,393
474,311,311
475,311,311
476,311,311
477,362,362
478,362,362
479,362,362
480,51,51
481,139,139
482,51,51
483,272,272
484,272,272
485,272,272
486,249,249
487,249,249
488,249,249
489,213,213
490,213,213
491,213,213
492,312,312
493,312,312
494,312,312
495,244,244
496,244,244
497,244,244
498,181,181
499,181,181
500,181,181
501,335,335
502,335,335
503,335,335
504,153,153
505,153,153
506,153,153
507,65,65
508,65,65
509,65,65
510,238,238
511,238,238
512,238,238
513,328,328
514,328,328
515,239,239
516,382,382
517,382,382
518,382,382
519,284,284
520,284,284
521,284,284
522,328,328
523,353,353
524,114,353
525,6,6
526,6,6
527,6,6
528,318,140
529,318,318
530,318,318
531,235,235
532,235,235
533,235,235
534,327,327
535,327,327
536,327,327
537,85,85
538,85,85
539,85,85
540,388,388
541,388,388
542,388,388
543,129,129
544,33,33
545,33,33
546,377,377
547,377,377
548,152,152
549,325,325
550,325,325
551,325,325
