ids,epoch_99,epoch_100
0,1782,1782
1,1782,1782
2,1782,1782
3,2378,2378
4,2910,2910
5,560,560
6,3243,3243
7,1073,1073
8,3379,3379
9,3231,3231
10,2634,2634
11,123,123
12,473,473
13,3231,3231
14,473,473
15,961,961
16,824,824
17,2608,2608
18,2479,2479
19,2614,2614
20,354,354
21,2723,2723
22,3610,3610
23,2723,2723
24,1480,131
25,3369,3369
26,2603,2603
27,3143,3143
28,2437,2437
29,1289,1289
30,554,554
31,2732,2732
32,2783,2783
33,5034,5034
34,817,3376
35,4536,5085
36,933,933
37,2897,2897
38,1725,1894
39,1498,1498
40,1498,1498
41,1615,1615
42,2745,2745
43,2745,2745
44,1914,1914
45,354,354
46,2731,2731
47,2219,2219
48,2536,2536
49,2536,2536
50,2536,2536
51,3407,3407
52,3407,3407
53,3407,3119
54,471,471
55,1686,1686
56,779,779
57,1672,1672
58,206,206
59,2011,2011
60,94,94
61,1389,1389
62,1527,1527
63,1364,1364
64,3070,3070
65,3031,3031
66,965,965
67,1232,1232
68,3068,3068
69,2243,2243
70,2192,2192
71,435,435
72,1790,1790
73,2979,2163
74,997,997
75,1340,1540
76,25,25
77,82,82
78,1571,1571
79,1948,1948
80,496,496
81,3425,3425
82,2120,2120
83,3066,2709
84,2913,2913
85,2525,2525
86,1804,1804
87,67,67
88,1691,1691
89,67,67
90,1391,1391
91,884,884
92,1590,1590
93,2908,2908
94,2771,2771
95,988,1311
96,1180,1180
97,2908,2908
98,2277,2277
99,2339,2339
100,2301,2301
101,1949,1949
102,471,471
103,363,363
104,1535,1535
105,3236,3236
106,2895,3210
107,2723,2723
108,1173,1173
109,1740,1740
110,1173,1173
111,90,90
112,2134,2134
113,3175,3175
114,680,2479
115,1326,1999
116,2479,2479
117,1643,2422
118,2739,2739
119,1161,1161
120,313,313
121,64,64
122,3142,3142
123,3425,601
124,2441,2441
125,1129,1129
126,1661,1661
127,1416,3002
128,3080,3080
129,648,648
130,2309,2309
131,2311,2311
132,694,694
133,2035,2035
134,2346,2346
135,1940,1940
136,1466,1466
137,241,241
138,872,872
139,608,608
140,2629,2629
141,1395,1395
142,2736,2736
143,2507,2507
144,1474,1474
145,310,310
146,2388,2388
147,1413,1413
148,698,698
149,1275,1275
150,3487,3487
151,874,874
152,510,510
153,1681,1681
154,1681,1681
155,1681,1681
156,1058,1058
157,305,305
158,1874,1874
159,2583,2583
160,708,708
161,552,552
162,3368,3368
163,2055,2055
164,1685,1685
165,2774,2774
166,2547,2547
167,2547,2547
168,2214,2214
169,1540,1540
170,985,985
171,1107,1107
172,1107,1107
173,1624,1624
174,3,3
175,2929,1368
176,1832,1832
177,3425,3425
178,2636,2636
179,2811,2811
180,965,965
181,1474,1474
182,2774,2774
183,1693,1693
184,2084,2084
185,3300,3300
186,3369,3369
187,1924,1924
188,2634,2634
189,779,779
190,3222,3440
191,2164,2164
192,4149,4149
193,1361,1361
194,1058,1058
195,1598,2925
196,1598,1598
197,2953,1254
198,362,362
199,1684,1684
200,2205,2205
201,314,314
202,1384,820
203,1241,1241
204,337,337
205,423,423
206,1010,1010
207,550,550
208,920,920
209,1900,1900
210,94,94
211,2563,2563
212,2944,2944
213,1527,1527
214,2152,2152
215,1519,946
216,2943,2943
217,1146,1146
218,2943,2943
219,3068,3068
220,2924,2924
221,3068,3068
222,3317,3317
223,1473,3278
224,20,1717
225,888,888
226,419,419
227,888,1899
228,2335,2335
229,1603,1603
230,1903,1903
231,3440,1766
232,3037,3037
233,1027,1104
234,2911,2313
235,1000,1000
236,665,1130
237,1357,1357
238,25,3127
239,305,609
240,2103,2103
241,1238,1238
242,152,152
243,3413,2764
244,26,26
245,2423,2423
246,1352,1352
247,1275,2474
248,1380,1380
249,351,351
250,3164,3164
251,3017,3017
252,1794,1794
253,46,46
254,1794,1794
255,1687,1687
256,1687,1687
257,1624,1624
258,1651,1651
259,1153,1153
260,965,965
261,3368,3368
262,3368,3368
263,1874,1874
264,252,252
265,2843,2843
266,2386,2386
267,29,29
268,3125,3125
269,1949,1949
270,2281,2281
271,1701,1701
272,1877,1877
273,2583,2583
274,3506,3506
275,767,767
276,1000,1000
277,2959,2959
278,1016,1016
279,2526,2526
280,3215,2526
281,752,170
282,2356,2356
283,2698,2698
284,511,511
285,2522,2522
286,2776,2776
287,1617,941
288,1395,1395
289,3139,3139
290,1395,1395
291,858,3233
292,3368,3368
293,239,239
294,77,2758
295,77,77
296,1247,1247
297,1172,1172
298,2540,2540
299,163,163
300,252,252
301,518,518
302,252,252
303,1345,1345
304,1916,1916
305,2155,2155
306,3155,3067
307,1354,1354
308,3155,3155
309,2432,2432
310,1805,1805
311,1482,1482
312,1990,1990
313,2333,2333
314,3404,3404
315,2314,2314
316,1259,1259
317,2959,2959
318,359,359
319,2281,2281
320,1622,1622
321,2395,2395
322,2354,2354
323,6515,6515
324,3343,3343
325,2019,2019
326,3069,3069
327,1815,1815
328,2191,2266
329,2268,1032
330,481,481
331,948,948
332,1132,1683
333,1924,1924
334,3089,3089
335,3150,3150
336,518,518
337,518,2783
338,1629,1629
339,3418,3418
340,138,1329
341,3283,3283
342,2169,2169
343,2729,2729
344,2338,2338
345,814,814
346,1682,1682
347,698,698
348,2979,2979
349,1345,1345
350,209,209
351,2707,2707
352,2180,2180
353,3203,3203
354,1760,1760
355,2479,2479
356,2939,2939
357,2944,2944
358,2995,2422
359,1715,1715
360,2792,2792
361,1615,78
362,1211,1211
363,333,333
364,558,558
365,657,657
366,1212,1212
367,2502,2502
368,2742,2742
369,354,2294
370,737,737
371,3028,354
372,1686,1962
373,2518,2518
374,817,817
375,1768,1768
376,1177,1177
377,1034,1027
378,1916,1916
379,3050,3050
380,1516,1516
381,859,859
382,2681,2681
383,3056,3056
384,2764,2764
385,2764,2764
386,1977,1977
387,1782,1782
388,1463,1463
389,3133,1233
390,2540,2540
391,2777,2777
392,163,163
393,1432,1432
394,2736,2736
395,2736,2736
396,1998,1998
397,3311,3311
398,3311,3311
399,2643,804
400,804,804
401,2643,2643
402,2429,2429
403,2872,2872
404,2872,2872
405,222,222
406,2671,2671
407,2740,2740
408,2055,2055
409,3013,3013
410,3368,3368
411,675,675
412,785,785
413,1771,1771
414,2163,2163
415,3491,3491
416,1942,1942
417,1837,1837
418,1837,1837
419,2606,2606
420,423,423
421,36,36
422,474,474
423,598,598
424,3273,3273
425,3153,3153
426,1182,1182
427,2909,2909
428,1182,1182
429,1584,1584
430,1501,1501
431,3398,3398
432,1842,1842
433,853,853
434,2627,2627
435,2073,2680
436,1156,1156
437,814,814
438,1411,1411
439,1641,1641
440,3345,3345
441,1098,1098
442,44,44
443,44,44
444,5732,2723
445,2723,2723
446,2723,2723
447,1259,1259
448,1433,1433
449,2301,2301
450,836,836
451,1731,1731
452,1735,1735
453,2603,2603
454,2603,2603
455,2603,2603
456,109,109
457,3211,3211
458,1766,1766
459,3184,3184
460,1118,807
461,2586,2586
462,355,899
463,3013,3013
464,1191,1191
465,1867,1867
466,2419,2419
467,820,820
468,2792,2792
469,3077,3077
470,1978,3053
471,603,603
472,603,603
473,1637,1637
474,2723,2723
475,2723,2723
476,2723,2723
477,1978,1978
478,1710,1710
479,613,613
480,1524,1524
481,824,128
482,1524,1524
483,3151,3151
484,778,778
485,2044,2044
486,4412,4412
487,980,980
488,4923,4923
489,916,916
490,3484,3484
491,916,916
492,214,214
493,2534,2534
494,1366,1366
495,938,938
496,938,938
497,938,2581
498,1242,1242
499,1048,1048
500,2192,2192
501,543,543
502,965,965
503,2580,2580
504,758,758
505,112,112
506,112,112
507,3243,3243
508,1617,1617
509,908,908
510,2479,2479
511,165,165
512,2479,2479
513,2951,2951
514,2951,2951
515,1766,1766
516,2338,2338
517,1432,1432
518,3152,3152
519,609,609
520,1874,1874
521,3523,3523
522,146,146
523,2916,2916
524,1430,1430
525,3163,3163
526,3163,3163
527,3163,3163
528,182,182
529,2775,2775
530,1841,3451
531,1959,1959
532,1820,1820
533,1959,1959
534,3062,3062
535,833,833
536,656,2339
537,2356,3127
538,1017,1017
539,284,284
540,3440,3440
541,2646,2646
542,3057,3057
543,3341,3341
544,1596,2019
545,3341,3341
546,887,1464
547,3167,3167
548,2526,2526
549,292,292
550,471,1174
551,292,292
552,1084,1084
553,743,743
554,2084,2084
555,2736,2736
556,455,455
557,1933,1933
558,2309,2309
559,859,859
560,3135,3135
561,3486,3486
562,3143,3143
563,407,407
564,2131,2131
565,2131,2131
566,618,618
567,133,1715
568,3067,3067
569,3067,3067
570,2271,2271
