Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	0	0.0	7.163	14.06	4.914	0.0	5.042	14.556	4.562
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	1	0.0	30.592	17.272	10.673	0.0	22.04	18.033	9.852
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	2	0.0	58.735	24.744	20.562	0.0	45.299	24.052	17.385
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	3	0.0	72.643	34.013	32.954	0.0	60.752	33.988	28.611
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	4	0.0	80.186	38.031	40.072	0.0	69.893	37.92	34.89
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	5	0.0	84.586	41.538	47.272	0.0	77.122	43.388	44.144
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	6	0.0	86.852	42.956	50.913	0.0	81.378	44.267	47.617
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	7	0.0	89.248	42.675	52.17	0.0	83.735	44.851	49.881
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	8	0.0	90.073	43.591	54.602	0.0	85.254	45.478	51.786
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	9	0.0	90.519	44.649	57.015	0.0	86.236	46.312	54.136
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	10	0.0	91.396	44.921	57.878	0.0	86.97	46.476	55.147
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	11	0.0	91.461	45.526	58.557	0.0	86.917	47.328	56.289
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	12	0.0	91.566	45.678	58.956	0.0	87.205	47.752	57.05
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	13	0.0	91.959	45.959	59.95	0.0	88.043	47.803	58.128
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	14	0.0	91.632	46.616	60.852	0.0	87.415	48.413	58.577
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	15	0.0	91.632	46.627	60.654	0.0	87.232	49.061	59.295
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	16	0.0	91.317	46.972	60.729	0.0	86.655	48.92	58.929
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	17	0.0	91.37	47.27	61.168	0.0	86.878	49.635	60.47
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	18	0.0	90.44	47.413	61.042	0.0	86.223	49.873	60.125
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	19	0.0	90.453	47.621	61.805	0.0	86.537	49.643	59.672
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	20	0.0	90.702	48.043	62.347	0.0	86.367	50.219	60.893
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	21	0.0	90.597	48.181	62.334	0.0	85.621	50.645	61.19
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	22	0.0	90.401	48.529	62.264	0.0	85.595	50.48	60.516
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	23	0.0	89.471	48.716	62.107	0.0	85.084	51.322	61.57
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	24	0.0	90.165	48.748	62.684	0.0	85.608	50.743	61.235
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	25	0.0	90.126	48.842	62.666	0.0	84.874	50.956	61.142
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	26	0.0	89.89	48.869	62.401	0.0	84.39	51.231	61.578
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	27	0.0	89.68	49.053	62.756	0.0	83.46	51.441	61.37
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	28	0.0	89.419	49.127	62.773	0.0	83.971	51.443	61.612
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	29	0.0	88.882	49.341	63.05	0.0	83.342	52.105	62.294
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	30	0.0	88.358	49.304	62.858	0.0	83.879	51.795	61.658
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	31	0.0	88.554	49.593	62.974	0.0	83.552	51.917	61.593
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	32	0.0	88.79	49.484	63.031	0.0	83.093	52.321	62.301
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	33	0.0	88.305	49.846	63.533	0.0	83.748	51.867	62.187
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	34	0.0	88.41	49.975	63.256	0.0	83.643	52.263	62.596
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	35	0.0	87.651	50.339	63.697	0.0	83.84	52.26	62.605
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	36	0.0	87.546	50.53	64.063	0.0	82.858	52.612	62.609
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	37	0.0	87.598	49.956	63.177	0.0	82.635	52.515	62.381
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	38	0.0	87.664	50.257	63.112	0.0	82.255	52.245	61.783
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	39	0.0	87.428	49.905	62.963	0.0	83.08	52.458	62.374
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	40	0.0	88.07	49.911	63.301	0.0	82.347	52.68	62.476
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	41	0.0	86.721	50.706	64.031	0.0	81.247	53.321	62.967
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	42	0.0	86.996	50.586	63.775	0.0	81.443	52.954	62.481
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	43	0.0	86.891	50.313	62.704	0.0	81.771	52.381	60.764
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	44	0.0	87.087	50.739	64.371	0.0	80.801	53.261	63.067
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	45	0.0	87.441	50.551	63.917	0.0	82.032	53.279	63.419
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	46	0.0	87.533	50.235	63.23	0.0	80.382	53.141	62.927
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	47	0.0	86.996	50.641	64.151	0.0	81.129	53.325	62.971
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	48	0.0	86.734	50.593	63.988	0.0	81.076	53.444	63.388
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	49	0.0	86.315	51.313	64.608	0.0	80.657	53.608	63.371
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	50	0.0	86.878	51.189	64.549	0.0	80.605	53.781	63.429
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	51	0.0	85.804	51.258	64.801	0.0	80.081	54.06	64.219
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	52	0.0	86.393	50.936	64.3	0.0	81.234	53.406	63.337
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	53	0.0	86.891	50.763	64.021	0.0	79.282	53.975	63.59
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	54	0.0	86.066	51.111	64.507	0.0	79.715	53.887	63.773
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	55	0.0	86.158	51.299	64.353	0.0	79.309	54.069	64.157
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	56	0.0	86.158	51.02	63.907	0.0	80.513	53.813	63.653
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	57	0.0	85.451	51.265	64.611	0.0	79.4	54.294	64.504
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	58	0.0	85.804	51.57	64.857	0.0	78.994	54.116	63.975
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	59	0.0	85.856	51.925	65.131	0.0	78.876	54.45	64.353
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	60	0.0	85.686	51.438	64.677	0.0	78.929	54.191	63.775
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	61	0.0	85.686	51.628	65.132	0.0	79.597	54.209	64.107
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	62	0.0	85.202	51.757	65.234	0.0	79.531	54.401	64.423
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	63	0.0	82.753	43.492	45.574	0.0	75.616	46.207	44.453
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	64	0.0	85.359	51.861	65.332	0.0	78.955	54.466	64.149
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	65	0.0	85.686	51.977	65.298	0.0	79.282	54.656	64.82
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	66	0.0	85.516	51.761	65.266	0.0	79.439	54.61	64.767
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	67	0.0	84.756	52.185	65.62	0.0	78.392	55.127	65.198
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	68	0.0	84.966	51.33	62.938	0.0	79.374	53.684	61.452
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	69	0.0	85.752	52.052	65.452	0.0	78.431	55.001	64.979
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	70	0.0	85.516	51.891	65.298	0.0	79.4	54.723	64.932
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	71	0.0	85.608	51.994	65.512	0.0	79.688	54.647	65.074
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	72	0.0	85.948	51.882	65.322	0.0	79.4	54.878	64.961
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	73	0.0	86.145	52.025	65.555	0.0	78.824	54.873	65.136
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	74	0.0	85.634	52.192	65.883	0.0	79.164	54.939	65.346
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	75	0.0	85.333	52.17	65.562	0.0	79.387	55.029	65.207
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	76	0.0	85.686	52.152	65.975	0.0	80.003	54.823	65.083
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	77	0.0	86.145	52.281	66.046	0.0	79.806	54.94	65.082
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	78	0.0	85.856	52.128	66.038	0.0	80.134	54.82	65.11
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	79	0.0	85.974	52.038	65.825	0.0	80.343	54.728	64.865
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	80	0.0	85.477	52.142	65.851	0.0	79.217	55.077	65.185
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	81	0.0	85.372	51.945	65.258	0.0	79.387	54.948	64.408
legacy_senet154	configs/legacy_senet154/config_legacy_senet154_CosFace_SGD.yaml	222	82	0.0	86.236	51.864	65.516	0.0	80.186	54.793	64.832
