Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
mobilenetv3_large_100	configs_multi/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_AdamW.yaml	222	0	0.0	9.966	0.833	0.038	0.0	0.589	0.834	0.028
mobilenetv3_large_100	configs_multi/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_AdamW.yaml	222	1	0.0	2.554	0.371	0.003	0.0	0.301	0.377	0.004
mobilenetv3_large_100	configs_multi/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_AdamW.yaml	222	2	0.0	5.749	1.627	0.009	0.0	0.458	1.668	0.01
mobilenetv3_large_100	configs_multi/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_AdamW.yaml	222	3	0.0	14.772	nan	0.103	0.0	3.235	nan	0.083
mobilenetv3_large_100	configs_multi/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_AdamW.yaml	222	4	0.0	16.016	2.751	0.179	0.0	2.763	nan	0.116
mobilenetv3_large_100	configs_multi/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_AdamW.yaml	222	5	0.0	1.585	8.486	0.782	0.0	1.192	9.274	0.783
mobilenetv3_large_100	configs_multi/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_AdamW.yaml	222	6	0.0	1.283	10.732	1.425	0.0	1.179	11.804	1.312
mobilenetv3_large_100	configs_multi/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_AdamW.yaml	222	7	0.0	1.689	12.263	2.081	0.0	1.702	12.774	1.939
mobilenetv3_large_100	configs_multi/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_AdamW.yaml	222	8	0.0	3.379	12.259	3.027	0.0	2.095	15.875	3.491
mobilenetv3_large_100	configs_multi/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_AdamW.yaml	222	9	0.0	6.155	18.549	6.391	0.0	4.649	19.61	5.938
mobilenetv3_large_100	configs_multi/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_AdamW.yaml	222	10	0.0	9.665	23.834	9.686	0.0	6.234	23.583	8.698
mobilenetv3_large_100	configs_multi/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_AdamW.yaml	222	11	0.0	14.68	25.214	12.518	0.0	9.979	26.462	11.646
mobilenetv3_large_100	configs_multi/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_AdamW.yaml	222	12	0.0	19.801	26.452	14.936	0.0	13.816	27.706	13.957
mobilenetv3_large_100	configs_multi/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_AdamW.yaml	222	13	0.0	24.254	28.633	17.853	0.0	17.588	28.555	15.398
mobilenetv3_large_100	configs_multi/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_AdamW.yaml	222	14	0.0	29.715	27.745	18.712	0.0	21.176	29.724	17.628
mobilenetv3_large_100	configs_multi/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_AdamW.yaml	222	15	0.0	34.848	28.983	21.287	0.0	23.821	31.851	20.386
mobilenetv3_large_100	configs_multi/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_AdamW.yaml	222	16	0.0	38.266	29.873	22.945	0.0	27.017	30.736	20.353
mobilenetv3_large_100	configs_multi/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_AdamW.yaml	222	17	0.0	41.147	29.778	23.591	0.0	29.937	33.199	23.039
