Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
resnetrs101	configs/resnetrs101/config_resnetrs101_CosFace_SGD.yaml	222	0	0.0	15.126	15.286	6.601	0.0	10.568	15.759	6.06
resnetrs101	configs/resnetrs101/config_resnetrs101_CosFace_SGD.yaml	222	1	0.0	42.169	20.013	13.552	0.0	30.959	20.203	12.183
resnetrs101	configs/resnetrs101/config_resnetrs101_CosFace_SGD.yaml	222	2	0.0	59.652	30.303	24.26	0.0	46.713	29.702	20.762
resnetrs101	configs/resnetrs101/config_resnetrs101_CosFace_SGD.yaml	222	3	0.0	71.778	39.864	37.229	0.0	59.992	39.881	32.936
resnetrs101	configs/resnetrs101/config_resnetrs101_CosFace_SGD.yaml	222	4	0.0	75.668	42.971	42.126	0.0	64.144	44.462	39.079
resnetrs101	configs/resnetrs101/config_resnetrs101_CosFace_SGD.yaml	222	5	0.0	78.85	44.951	46.047	0.0	68.74	46.977	43.618
resnetrs101	configs/resnetrs101/config_resnetrs101_CosFace_SGD.yaml	222	6	0.0	80.972	45.125	47.528	0.0	72.42	45.993	43.857
resnetrs101	configs/resnetrs101/config_resnetrs101_CosFace_SGD.yaml	222	7	0.0	84.429	45.479	50.138	0.0	76.938	47.278	47.499
resnetrs101	configs/resnetrs101/config_resnetrs101_CosFace_SGD.yaml	222	8	0.0	85.608	45.898	51.238	0.0	78.248	47.816	49.122
resnetrs101	configs/resnetrs101/config_resnetrs101_CosFace_SGD.yaml	222	9	0.0	86.014	46.812	52.976	0.0	78.51	47.803	49.518
resnetrs101	configs/resnetrs101/config_resnetrs101_CosFace_SGD.yaml	222	10	0.0	87.114	46.191	52.899	0.0	80.081	47.299	49.59
resnetrs101	configs/resnetrs101/config_resnetrs101_CosFace_SGD.yaml	222	11	0.0	87.939	46.396	54.258	0.0	82.032	47.893	51.868
resnetrs101	configs/resnetrs101/config_resnetrs101_CosFace_SGD.yaml	222	12	0.0	88.594	46.149	54.824	0.0	83.054	47.063	51.621
resnetrs101	configs/resnetrs101/config_resnetrs101_CosFace_SGD.yaml	222	13	0.0	88.266	46.103	54.805	0.0	83.329	48.088	53.05
resnetrs101	configs/resnetrs101/config_resnetrs101_CosFace_SGD.yaml	222	14	0.0	89.811	46.837	57.194	0.0	84.534	47.97	53.899
resnetrs101	configs/resnetrs101/config_resnetrs101_CosFace_SGD.yaml	222	15	0.0	89.955	46.163	56.666	0.0	85.464	47.487	54.132
resnetrs101	configs/resnetrs101/config_resnetrs101_CosFace_SGD.yaml	222	16	0.0	89.72	46.176	56.851	0.0	86.014	47.507	54.867
resnetrs101	configs/resnetrs101/config_resnetrs101_CosFace_SGD.yaml	222	17	0.0	90.283	46.17	57.395	0.0	85.49	47.434	54.544
resnetrs101	configs/resnetrs101/config_resnetrs101_CosFace_SGD.yaml	222	18	0.0	90.715	45.843	57.415	0.0	86.957	47.31	54.818
resnetrs101	configs/resnetrs101/config_resnetrs101_CosFace_SGD.yaml	222	19	0.0	90.728	45.511	56.377	0.0	85.922	46.836	53.917
resnetrs101	configs/resnetrs101/config_resnetrs101_CosFace_SGD.yaml	222	20	0.0	90.715	45.635	57.074	0.0	87.009	47.364	55.593
resnetrs101	configs/resnetrs101/config_resnetrs101_CosFace_SGD.yaml	222	21	0.0	90.964	46.053	57.604	0.0	87.218	47.711	56.19
resnetrs101	configs/resnetrs101/config_resnetrs101_CosFace_SGD.yaml	222	22	0.0	90.938	46.151	57.817	0.0	86.38	47.29	55.2
resnetrs101	configs/resnetrs101/config_resnetrs101_CosFace_SGD.yaml	222	23	0.0	90.414	46.246	58.33	0.0	87.153	47.742	56.067
resnetrs101	configs/resnetrs101/config_resnetrs101_CosFace_SGD.yaml	222	24	0.0	89.707	46.065	56.891	0.0	86.053	47.106	54.394
resnetrs101	configs/resnetrs101/config_resnetrs101_CosFace_SGD.yaml	222	25	0.0	90.217	45.938	57.326	0.0	86.014	46.759	53.784
resnetrs101	configs/resnetrs101/config_resnetrs101_CosFace_SGD.yaml	222	26	0.0	90.807	46.592	59.17	0.0	87.546	47.812	56.693
resnetrs101	configs/resnetrs101/config_resnetrs101_CosFace_SGD.yaml	222	27	0.0	91.213	47.111	60.301	0.0	87.651	48.231	57.866
resnetrs101	configs/resnetrs101/config_resnetrs101_CosFace_SGD.yaml	222	28	0.0	90.833	46.696	59.702	0.0	87.598	48.412	57.926
resnetrs101	configs/resnetrs101/config_resnetrs101_CosFace_SGD.yaml	222	29	0.0	91.082	46.93	60.338	0.0	87.847	48.616	58.673
resnetrs101	configs/resnetrs101/config_resnetrs101_CosFace_SGD.yaml	222	30	0.0	89.811	46.66	58.116	0.0	85.883	47.831	55.79
resnetrs101	configs/resnetrs101/config_resnetrs101_CosFace_SGD.yaml	222	31	0.0	91.566	46.645	60.158	0.0	87.651	48.134	57.88
resnetrs101	configs/resnetrs101/config_resnetrs101_CosFace_SGD.yaml	222	32	0.0	90.898	45.72	58.171	0.0	86.655	47.201	55.766
resnetrs101	configs/resnetrs101/config_resnetrs101_CosFace_SGD.yaml	222	33	0.0	90.925	46.795	60.298	0.0	87.664	48.618	58.721
resnetrs101	configs/resnetrs101/config_resnetrs101_CosFace_SGD.yaml	222	34	0.0	90.65	46.591	59.837	0.0	87.86	47.863	57.458
resnetrs101	configs/resnetrs101/config_resnetrs101_CosFace_SGD.yaml	222	35	0.0	91.514	46.909	60.675	0.0	87.546	48.395	58.073
resnetrs101	configs/resnetrs101/config_resnetrs101_CosFace_SGD.yaml	222	36	0.0	91.383	47.586	61.571	0.0	87.533	48.808	59.187
resnetrs101	configs/resnetrs101/config_resnetrs101_CosFace_SGD.yaml	222	37	0.0	90.885	47.196	60.534	0.0	86.773	48.951	59.042
resnetrs101	configs/resnetrs101/config_resnetrs101_CosFace_SGD.yaml	222	38	0.0	90.584	47.062	60.894	0.0	87.493	49.207	59.64
resnetrs101	configs/resnetrs101/config_resnetrs101_CosFace_SGD.yaml	222	39	0.0	91.435	47.176	61.081	0.0	88.292	48.466	58.91
resnetrs101	configs/resnetrs101/config_resnetrs101_CosFace_SGD.yaml	222	40	0.0	90.859	47.533	61.777	0.0	87.768	49.11	59.844
