ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10
0,628,12,17,773,658,398,256,162,43,65,339
1,132,245,23,110,156,312,280,148,484,778,581
2,325,764,463,384,495,348,193,339,456,746,32
3,50,485,191,761,662,364,507,23,495,148,810
4,179,175,746,131,418,347,798,660,596,444,129
5,555,753,803,518,811,578,435,668,488,192,458
6,59,277,32,85,348,376,149,84,701,108,244
7,470,411,238,547,368,549,633,3,485,720,342
8,457,60,345,130,758,413,17,70,165,385,402
9,253,717,456,156,4,322,93,518,671,714,364
10,773,776,78,769,111,168,526,777,148,493,778
11,651,391,396,282,169,116,388,245,186,237,312
12,572,177,273,177,736,351,230,710,245,399,410
13,688,182,782,492,197,632,469,285,45,356,809
14,134,433,123,134,456,809,382,789,416,539,134
15,791,427,168,561,501,241,464,675,663,139,184
16,203,184,203,4,351,789,644,24,800,119,492
17,671,504,23,225,472,360,372,334,255,269,524
18,195,572,454,339,371,22,597,129,545,590,343
19,590,680,669,669,759,101,810,162,28,615,775
20,725,699,474,625,407,170,554,53,770,153,411
21,215,31,129,98,250,480,33,269,262,533,105
22,107,252,740,370,523,290,168,225,659,333,749
23,215,29,158,96,507,509,111,340,759,85,295
24,715,355,693,347,418,31,293,627,159,159,388
25,224,49,383,7,647,793,64,490,287,111,319
26,293,206,804,447,177,796,125,290,391,494,608
27,805,486,621,540,669,608,784,132,351,754,444
28,549,360,137,340,303,657,184,290,374,166,244
29,626,776,484,658,464,257,206,22,541,472,383
30,72,1,747,229,432,420,599,112,337,418,26
31,84,53,478,136,336,269,207,456,456,613,101
32,229,590,169,32,728,448,614,220,219,72,255
33,245,396,381,523,269,651,527,725,242,106,779
34,773,575,493,584,701,243,316,321,139,699,584
35,488,200,115,157,712,730,253,708,517,495,479
36,283,185,482,95,674,103,213,179,80,346,310
37,483,117,286,71,293,411,66,66,259,301,32
38,288,288,16,330,109,679,782,376,376,676,619
39,24,764,19,661,255,250,764,597,187,463,154
40,220,105,720,213,387,210,137,93,452,10,298
41,229,210,17,136,66,325,172,84,659,98,276
42,518,432,590,165,78,16,233,545,781,707,400
43,432,684,389,577,593,237,389,599,735,713,92
44,773,173,174,383,66,1,771,689,401,229,295
45,278,402,369,130,295,326,209,276,229,215,622
46,651,167,60,659,735,684,206,246,353,353,130
47,84,339,292,423,678,605,162,205,91,295,257
48,588,168,533,301,245,98,296,647,110,368,354
49,363,269,713,255,47,253,308,161,161,678,392
50,103,9,179,361,652,121,18,312,392,292,400
51,413,190,313,806,447,109,691,148,723,313,216
52,725,587,287,53,291,192,721,806,480,397,581
53,387,3,322,274,8,276,348,197,256,334,727
54,519,563,108,374,16,219,56,108,55,396,32
55,632,641,382,66,778,668,499,469,501,439,678
56,676,321,270,156,321,196,183,222,18,623,168
57,775,573,764,174,707,367,195,491,733,712,106
58,347,134,134,45,808,448,211,231,667,620,231
59,752,536,184,356,253,367,387,393,636,719,476
60,390,601,789,594,644,528,250,811,474,36,400
61,372,501,802,501,462,29,726,431,601,42,443
62,741,709,698,329,410,439,431,128,638,449,501
63,421,380,351,380,251,41,130,786,383,605,217
64,700,409,570,367,27,174,391,703,223,78,23
65,206,408,169,603,43,521,77,792,556,727,214
66,367,88,786,211,379,695,500,310,634,137,129
67,726,179,30,205,647,66,439,733,667,255,463
68,643,555,162,353,368,263,229,251,34,541,800
69,476,313,335,447,737,382,84,208,410,251,107
70,317,794,548,682,787,682,133,618,407,19,123
71,763,703,576,792,638,630,345,575,232,162,194
72,599,810,358,439,318,423,761,439,2,86,229
73,417,111,256,208,135,27,783,216,49,380,7
74,358,464,695,764,174,185,451,237,28,376,636
75,132,96,118,506,505,247,148,206,555,256,472
76,11,793,46,368,374,471,808,684,406,245,185
77,397,134,557,320,697,299,468,275,466,211,194
78,55,309,592,521,121,124,26,599,784,775,299
79,457,234,618,234,493,437,464,571,224,224,545
80,229,602,638,506,98,308,334,506,334,358,88
81,95,312,510,78,717,603,401,179,321,793,104
82,84,65,325,643,798,255,692,52,663,624,281
83,179,49,570,797,389,467,776,245,411,174,675
84,248,504,111,517,389,214,776,75,231,274,293
85,393,393,356,730,698,393,44,390,399,600,134
86,363,41,318,314,380,142,708,107,184,241,790
87,208,570,159,229,565,175,275,259,102,99,476
88,807,211,259,167,175,711,367,259,752,183,44
89,348,497,452,374,362,427,748,404,55,154,68
90,255,293,133,284,137,545,111,316,143,476,113
91,3,119,160,260,274,108,124,317,284,752,206
92,183,689,690,338,338,690,595,516,422,376,253
93,560,619,607,793,273,720,177,275,560,620,589
94,471,555,169,263,554,86,665,168,492,547,489
95,724,75,104,807,458,311,571,184,65,591,387
96,175,127,24,685,134,228,607,607,79,19,619
97,342,273,342,228,674,523,524,456,805,273,773
98,423,760,757,510,572,108,685,629,231,337,248
99,809,323,803,12,378,396,806,677,345,495,336
100,385,435,276,167,102,764,199,439,439,439,796
101,75,195,123,293,149,426,179,44,137,555,625
102,687,407,560,620,697,748,713,629,177,128,728
103,292,562,132,66,681,189,509,694,551,403,166
104,268,553,255,138,161,650,322,574,469,224,284
105,74,695,402,133,154,174,3,85,731,158,246
106,246,160,173,347,676,673,176,71,16,14,310
107,9,396,204,201,133,320,262,197,141,14,129
108,66,132,286,115,476,253,548,712,285,102,145
109,295,369,651,221,157,782,4,551,355,551,72
110,302,103,152,88,171,187,322,306,365,379,89
111,168,593,748,148,519,754,259,216,784,342,364
112,142,303,400,224,104,407,131,472,263,334,70
113,89,367,791,214,484,314,771,20,630,778,156
114,297,773,347,167,788,274,1,49,560,479,179
115,724,346,274,487,123,390,494,174,80,346,309
116,705,669,65,721,96,309,683,170,643,334,383
117,377,221,791,728,446,809,383,714,677,225,797
118,781,397,33,781,573,654,383,397,688,64,380
119,595,293,338,76,28,778,506,387,363,347,174
120,662,130,37,41,225,311,296,421,283,618,804
121,360,54,28,155,703,211,224,695,170,490,457
122,34,748,269,7,347,167,417,47,335,555,339
123,501,247,660,741,584,234,671,787,168,308,356
124,673,613,148,293,159,724,766,388,102,187,186
125,251,798,520,82,110,381,395,740,555,3,222
126,31,6,275,109,372,769,29,492,31,139,104
127,549,247,0,268,387,721,429,560,278,88,33
128,673,503,786,480,673,249,41,489,207,540,676
129,142,180,751,193,608,74,652,295,368,158,406
130,521,549,465,458,580,247,240,31,389,571,634
131,735,363,387,754,368,347,747,663,238,679,155
132,666,389,20,799,9,66,641,188,9,285,737
133,222,177,459,351,499,126,234,347,133,377,84
134,275,476,789,168,345,356,690,211,82,163,103
135,92,559,684,153,788,652,300,129,777,385,489
136,421,651,194,380,241,783,67,393,22,183,126
137,778,354,374,89,115,338,138,630,630,118,181
138,586,96,209,278,282,571,176,198,253,581,388
139,266,299,560,10,316,9,808,221,233,197,343
140,507,779,29,374,759,609,638,369,155,240,370
141,189,142,610,280,361,106,638,730,341,403,404
142,682,202,809,809,381,177,421,704,312,347,255
143,147,257,182,584,209,759,208,787,314,746,538
144,134,757,698,145,321,19,584,58,664,350,285
145,550,656,412,626,496,231,284,274,339,412,491
146,273,255,127,249,308,459,550,547,258,539,664
147,464,758,661,66,323,758,9,198,383,692,506
148,83,210,176,477,592,745,147,747,457,810,77
149,334,92,799,28,717,513,472,135,64,365,100
150,633,661,46,77,371,782,571,370,695,666,129
151,513,786,76,800,293,650,315,569,337,310,301
152,233,391,348,540,53,505,74,413,600,7,138
153,474,780,631,493,748,665,24,495,121,547,303
154,454,131,223,169,766,133,255,88,253,366,323
155,269,791,309,224,562,173,592,322,240,602,93
156,164,60,132,421,476,352,131,156,317,259,259
157,673,35,788,591,347,129,150,651,93,83,187
158,148,674,754,589,249,705,167,384,275,274,197
159,357,41,364,709,661,30,597,366,384,243,464
160,376,794,590,270,390,662,441,619,159,195,339
161,435,468,53,206,6,250,640,472,724,185,149
162,33,334,28,669,758,756,121,737,213,220,518
163,748,517,382,673,207,536,86,762,108,188,162
164,684,755,9,249,705,77,545,417,394,300,652
165,39,476,616,659,296,653,259,70,382,351,575
166,736,782,695,792,776,665,705,345,345,77,437
167,192,495,648,780,274,33,166,323,682,495,17
168,72,317,3,493,219,285,148,790,160,379,280
169,339,139,464,14,366,363,389,98,345,791,321
170,800,687,555,729,356,761,645,524,356,321,259
171,659,320,347,552,374,274,651,783,504,373,142
172,153,217,343,172,343,202,406,69,69,252,491
173,750,475,135,295,32,754,402,2,589,323,323
174,2,574,78,165,187,253,74,246,233,697,732
175,322,60,436,180,344,140,412,655,290,209,176
176,150,740,545,233,55,770,311,37,315,447,197
177,36,212,776,308,362,248,551,142,789,241,399
178,80,182,578,196,334,512,203,207,709,742,328
179,653,250,559,269,147,292,303,241,557,602,92
180,285,351,530,174,47,74,113,28,196,96,596
181,35,551,289,316,371,669,373,309,356,195,346
182,273,339,74,391,257,367,388,190,285,256,318
183,789,368,341,230,548,561,790,313,353,295,212
184,576,133,222,619,195,80,399,314,701,230,742
185,729,177,665,382,36,139,350,616,230,578,769
186,696,491,255,533,155,568,189,257,187,807,174
187,426,610,447,240,82,173,748,301,136,416,691
188,489,12,333,735,308,111,156,65,646,393,99
189,37,167,632,402,82,195,488,375,116,402,205
190,338,129,385,195,440,711,142,383,749,320,739
191,454,494,115,141,75,521,389,33,684,0,33
192,253,390,793,36,378,375,173,710,569,128,523
193,216,416,809,724,411,208,369,290,211,50,359
194,219,512,417,557,765,657,643,482,782,765,630
195,286,477,378,541,20,345,698,162,53,572,688
196,166,262,662,484,394,204,711,159,311,141,276
197,58,161,689,102,284,798,255,59,238,114,196
198,91,752,94,403,313,345,181,356,333,23,579
199,757,644,274,508,673,10,570,510,293,73,293
200,189,346,264,801,285,109,689,373,615,741,318
201,175,624,66,551,284,613,266,319,306,14,247
202,171,116,20,28,464,394,679,432,252,384,274
203,505,578,707,754,418,14,674,676,800,60,576
204,215,71,197,609,602,586,213,171,31,262,172
205,466,17,506,641,136,770,271,247,371,796,401
206,513,9,10,247,56,432,1,278,201,9,204
207,369,369,221,32,377,194,52,335,297,126,551
208,535,1,570,210,365,103,343,79,274,74,107
209,282,249,31,284,268,139,108,193,271,55,287
210,21,203,136,53,588,713,236,427,464,357,236
211,502,513,719,215,404,83,368,299,108,77,563
212,185,431,233,450,385,210,719,226,154,406,244
213,679,270,366,623,777,162,507,182,190,708,631
214,507,218,32,91,604,346,369,698,190,257,637
215,409,561,75,67,699,74,211,674,723,506,329
216,489,517,142,517,53,156,222,517,75,433,476
217,572,511,100,484,29,610,224,26,179,582,418
218,704,351,495,595,58,322,388,89,704,380,20
219,732,259,229,380,195,269,671,195,182,588,333
220,241,195,403,596,243,82,335,196,249,196,196
221,730,387,776,790,131,653,345,800,182,30,625
222,28,31,520,435,566,715,172,31,155,479,79
223,499,658,111,650,775,303,60,452,106,28,197
224,121,354,110,707,530,65,223,236,484,193,549
225,222,139,19,766,631,382,561,82,139,756,248
226,283,157,459,381,647,604,407,157,722,403,264
227,306,456,218,189,141,241,595,184,682,540,588
228,104,630,503,149,418,371,514,683,473,295,633
229,19,19,686,443,252,366,100,123,789,222,203
230,443,520,594,651,567,549,321,183,115,58,95
231,423,155,43,371,272,288,0,509,802,55,504
232,54,610,298,121,578,492,648,174,786,464,131
233,109,106,763,241,730,53,248,447,428,7,800
234,713,326,508,351,505,635,176,80,403,476,143
235,194,265,528,534,125,216,57,86,322,106,464
236,366,653,771,364,529,256,0,502,659,371,179
237,668,704,244,697,345,411,263,14,515,291,244
238,749,732,124,447,394,219,138,89,574,211,761
239,333,135,771,654,416,560,791,14,137,533,48
240,669,558,140,585,275,773,719,209,602,209,467
241,121,590,778,499,129,284,608,654,109,71,691
242,485,319,382,526,227,150,644,479,150,123,285
243,147,21,290,292,247,351,250,250,42,11,260
244,714,366,446,342,741,719,653,273,524,769,775
245,374,260,744,588,332,764,409,534,100,615,145
246,695,420,765,159,636,617,147,801,721,445,785
247,651,705,758,195,243,285,599,200,638,736,771
248,412,462,23,236,247,285,145,93,308,561,753
249,630,32,240,92,799,710,781,164,141,320,169
250,342,680,256,398,603,383,29,520,131,77,295
251,281,294,221,33,253,312,388,74,317,131,400
252,69,90,215,244,123,348,168,608,354,704,217
253,630,317,690,20,690,387,690,345,194,283,720
254,683,219,248,755,159,425,645,780,287,159,491
255,402,666,452,600,244,113,9,754,55,291,136
256,563,151,154,215,178,355,754,469,9,271,377
257,299,574,151,204,347,285,233,197,402,77,56
258,224,256,34,400,723,714,314,593,591,245,195
259,3,159,361,143,604,273,385,141,247,143,259
260,399,125,239,239,574,126,356,535,229,250,347
261,659,276,181,394,9,31,118,133,771,320,498
262,718,129,545,705,450,54,98,1,116,758,268
263,468,33,69,7,3,104,180,299,217,233,740
264,711,493,117,115,353,680,25,29,166,192,191
265,41,630,158,195,358,147,77,335,207,287,161
266,162,603,109,194,150,308,575,132,493,570,309
267,196,310,666,520,526,250,575,157,253,257,769
268,395,769,768,211,561,667,671,650,474,607,596
269,449,708,247,730,651,134,580,442,600,492,753
270,4,308,103,14,446,351,307,681,239,183,40
271,553,382,446,576,778,248,174,78,807,313,264
272,157,257,184,398,795,234,25,241,196,543,285
273,385,156,1,672,79,578,571,62,180,284,530
274,9,639,439,108,420,538,671,380,527,404,25
275,472,406,472,72,506,41,129,380,156,262,370
276,775,661,320,651,117,485,64,389,777,482,28
277,512,210,533,387,482,581,437,98,595,220,504
278,563,90,276,153,46,700,470,461,155,37,117
279,744,685,6,634,510,500,100,659,30,263,170
280,706,431,247,798,22,695,463,754,28,593,292
281,256,268,580,268,354,349,169,381,317,467,284
282,41,635,365,259,382,145,742,408,417,310,654
283,124,317,181,373,394,84,17,181,108,583,181
284,317,351,807,219,85,421,659,130,85,56,348
285,586,351,93,21,309,226,472,292,318,454,171
286,393,183,99,195,376,203,104,98,22,183,355
287,142,217,167,373,108,246,183,363,562,336,167
288,303,555,166,420,611,388,150,50,148,334,562
289,714,225,6,609,22,510,192,736,656,680,117
290,22,170,192,269,793,634,340,797,705,623,138
291,759,747,526,148,787,409,194,204,199,234,397
292,440,396,26,340,282,182,787,506,10,108,389
293,43,334,223,26,383,658,213,493,673,26,440
294,751,714,645,14,504,608,462,543,572,381,253
295,23,250,136,755,588,699,485,481,550,723,548
296,492,722,631,219,811,53,40,471,446,575,354
297,31,292,31,773,180,383,692,250,388,10,131
298,411,485,274,279,248,123,540,109,59,729,406
299,204,323,345,560,424,659,400,155,262,678,148
300,667,251,491,481,333,45,456,693,653,283,301
301,245,106,539,203,274,547,206,634,78,339,154
302,106,692,400,740,763,402,701,260,583,559,768
303,417,128,78,381,288,341,520,87,308,356,508
304,250,77,90,519,662,43,269,361,447,340,260
305,105,254,179,591,337,751,10,539,220,54,120
306,781,256,357,423,243,332,317,313,22,70,192
307,458,782,720,41,720,389,559,533,611,811,62
