Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
rexnet_200	configs/rexnet_200/config_rexnet_200_CosFace_SGD.yaml	222	0	0.0	1.742	27.998	4.064	0.0	1.1	27.817	3.589
rexnet_200	configs/rexnet_200/config_rexnet_200_CosFace_SGD.yaml	222	1	0.0	4.623	31.888	8.509	0.0	4.047	28.919	7.367
rexnet_200	configs/rexnet_200/config_rexnet_200_CosFace_SGD.yaml	222	2	0.0	23.206	30.68	17.747	0.0	16.409	30.368	15.58
rexnet_200	configs/rexnet_200/config_rexnet_200_CosFace_SGD.yaml	222	3	0.0	43.4	32.693	24.88	0.0	32.137	33.883	23.193
rexnet_200	configs/rexnet_200/config_rexnet_200_CosFace_SGD.yaml	222	4	0.0	60.739	37.285	33.878	0.0	48.586	39.023	32.106
rexnet_200	configs/rexnet_200/config_rexnet_200_CosFace_SGD.yaml	222	5	0.0	71.438	39.633	40.341	0.0	61.262	40.839	37.041
rexnet_200	configs/rexnet_200/config_rexnet_200_CosFace_SGD.yaml	222	6	0.0	79.374	41.177	45.126	0.0	69.133	42.204	41.389
rexnet_200	configs/rexnet_200/config_rexnet_200_CosFace_SGD.yaml	222	7	0.0	83.46	42.705	49.532	0.0	75.589	44.267	46.542
rexnet_200	configs/rexnet_200/config_rexnet_200_CosFace_SGD.yaml	222	8	0.0	86.682	44.618	55.435	0.0	81.221	44.791	50.182
rexnet_200	configs/rexnet_200/config_rexnet_200_CosFace_SGD.yaml	222	9	0.0	89.982	45.114	58.486	0.0	84.743	47.132	56.371
rexnet_200	configs/rexnet_200/config_rexnet_200_CosFace_SGD.yaml	222	10	0.0	90.361	45.408	59.783	0.0	85.699	46.976	56.888
rexnet_200	configs/rexnet_200/config_rexnet_200_CosFace_SGD.yaml	222	11	0.0	92.352	45.074	61.814	0.0	87.821	47.067	59.339
rexnet_200	configs/rexnet_200/config_rexnet_200_CosFace_SGD.yaml	222	12	0.0	93.256	45.072	63.677	0.0	89.589	47.488	62.202
rexnet_200	configs/rexnet_200/config_rexnet_200_CosFace_SGD.yaml	222	13	0.0	94.12	44.84	63.944	0.0	90.348	47.156	62.583
rexnet_200	configs/rexnet_200/config_rexnet_200_CosFace_SGD.yaml	222	14	0.0	94.107	44.426	63.735	0.0	91.016	47.25	63.341
rexnet_200	configs/rexnet_200/config_rexnet_200_CosFace_SGD.yaml	222	15	0.0	94.513	44.651	65.249	0.0	91.488	46.927	63.617
rexnet_200	configs/rexnet_200/config_rexnet_200_CosFace_SGD.yaml	222	16	0.0	95.115	44.472	65.48	0.0	92.548	46.893	64.555
rexnet_200	configs/rexnet_200/config_rexnet_200_CosFace_SGD.yaml	222	17	0.0	95.089	44.636	65.624	0.0	92.339	46.693	63.625
rexnet_200	configs/rexnet_200/config_rexnet_200_CosFace_SGD.yaml	222	18	0.0	95.403	44.51	66.435	0.0	92.941	46.853	64.882
rexnet_200	configs/rexnet_200/config_rexnet_200_CosFace_SGD.yaml	222	19	0.0	95.574	44.186	65.345	0.0	92.745	46.449	63.314
rexnet_200	configs/rexnet_200/config_rexnet_200_CosFace_SGD.yaml	222	20	0.0	96.019	44.277	66.786	0.0	93.387	46.562	65.244
rexnet_200	configs/rexnet_200/config_rexnet_200_CosFace_SGD.yaml	222	21	0.0	95.901	44.268	66.389	0.0	93.151	46.351	64.026
rexnet_200	configs/rexnet_200/config_rexnet_200_CosFace_SGD.yaml	222	22	0.0	96.189	44.849	68.296	0.0	93.884	47.345	67.553
rexnet_200	configs/rexnet_200/config_rexnet_200_CosFace_SGD.yaml	222	23	0.0	96.241	44.445	67.861	0.0	93.609	47.076	66.987
rexnet_200	configs/rexnet_200/config_rexnet_200_CosFace_SGD.yaml	222	24	0.0	96.228	44.885	68.93	0.0	93.649	47.615	67.715
rexnet_200	configs/rexnet_200/config_rexnet_200_CosFace_SGD.yaml	222	25	0.0	96.255	44.487	68.045	0.0	93.609	46.995	67.152
rexnet_200	configs/rexnet_200/config_rexnet_200_CosFace_SGD.yaml	222	26	0.0	96.543	44.194	68.414	0.0	94.12	47.224	68.456
rexnet_200	configs/rexnet_200/config_rexnet_200_CosFace_SGD.yaml	222	27	0.0	96.556	44.51	68.744	0.0	93.897	47.469	68.046
rexnet_200	configs/rexnet_200/config_rexnet_200_CosFace_SGD.yaml	222	28	0.0	96.503	44.884	69.651	0.0	94.199	47.329	68.427
rexnet_200	configs/rexnet_200/config_rexnet_200_CosFace_SGD.yaml	222	29	0.0	96.49	44.593	69.079	0.0	94.618	47.392	68.09
rexnet_200	configs/rexnet_200/config_rexnet_200_CosFace_SGD.yaml	222	30	0.0	96.582	44.971	69.564	0.0	94.264	47.309	68.145
rexnet_200	configs/rexnet_200/config_rexnet_200_CosFace_SGD.yaml	222	31	0.0	96.831	44.868	70.068	0.0	94.421	47.78	69.637
rexnet_200	configs/rexnet_200/config_rexnet_200_CosFace_SGD.yaml	222	32	0.0	96.647	44.832	69.247	0.0	94.277	47.566	68.505
rexnet_200	configs/rexnet_200/config_rexnet_200_CosFace_SGD.yaml	222	33	0.0	96.765	44.973	70.127	0.0	94.29	47.814	69.578
rexnet_200	configs/rexnet_200/config_rexnet_200_CosFace_SGD.yaml	222	34	0.0	96.792	44.977	70.033	0.0	94.735	47.953	69.947
rexnet_200	configs/rexnet_200/config_rexnet_200_CosFace_SGD.yaml	222	35	0.0	97.027	44.993	70.137	0.0	94.749	47.908	69.973
rexnet_200	configs/rexnet_200/config_rexnet_200_CosFace_SGD.yaml	222	36	0.0	96.687	45.081	70.279	0.0	94.369	48.114	70.226
rexnet_200	configs/rexnet_200/config_rexnet_200_CosFace_SGD.yaml	222	37	0.0	96.962	44.825	69.781	0.0	94.631	48.221	70.392
rexnet_200	configs/rexnet_200/config_rexnet_200_CosFace_SGD.yaml	222	38	0.0	96.844	45.142	70.08	0.0	94.932	48.005	69.749
rexnet_200	configs/rexnet_200/config_rexnet_200_CosFace_SGD.yaml	222	39	0.0	96.792	45.556	71.414	0.0	94.788	48.305	70.405
rexnet_200	configs/rexnet_200/config_rexnet_200_CosFace_SGD.yaml	222	40	0.0	96.936	45.438	70.852	0.0	94.539	48.295	70.308
rexnet_200	configs/rexnet_200/config_rexnet_200_CosFace_SGD.yaml	222	41	0.0	97.093	45.238	71.009	0.0	94.591	48.389	71.026
rexnet_200	configs/rexnet_200/config_rexnet_200_CosFace_SGD.yaml	222	42	0.0	96.975	45.643	71.281	0.0	95.024	48.422	70.896
rexnet_200	configs/rexnet_200/config_rexnet_200_CosFace_SGD.yaml	222	43	0.0	96.922	45.297	70.199	0.0	94.565	48.514	70.221
rexnet_200	configs/rexnet_200/config_rexnet_200_CosFace_SGD.yaml	222	44	0.0	96.975	45.724	71.191	0.0	94.631	48.52	70.613
