ids,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23
0,23,70,147,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
1,206,131,206,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
2,53,257,147,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
3,366,367,166,166,367,347,12,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347
4,347,208,270,24,187,301,184,308,270,73,30,347,308,308,347,308,308,14,308,308,30,30,308
5,347,179,308,385,308,385,366,366,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347
6,84,256,328,6,339,208,208,295,49,295,49,49,49,49,245,245,245,245,245,245,245,245,245
7,364,228,295,22,339,295,295,295,360,360,208,295,205,295,132,366,325,132,16,325,295,366,325
8,121,322,251,275,78,248,248,248,248,248,19,366,366,366,366,366,366,366,366,366,366,366,366
9,192,710,243,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261
10,218,261,292,261,289,101,292,292,113,101,50,261,186,729,197,236,50,50,261,50,534,233,261
11,159,3,60,60,86,261,86,261,261,261,261,261,261,261,261,261,261,261,261,261,139,261,261
12,87,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
13,222,125,87,87,87,87,87,87,125,87,125,87,87,125,87,87,87,125,125,125,125,125,125
14,45,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15,524,113,283,203,203,203,203,203,139,203,139,203,139,203,203,203,203,139,203,203,203,203,203
16,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203
17,182,225,203,203,203,225,203,225,203,225,203,225,225,203,203,203,203,203,203,203,225,203,203
18,318,148,148,148,231,231,231,347,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231
19,23,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231
20,362,102,149,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231
21,155,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368
22,389,681,681,137,155,155,155,368,155,155,155,368,368,155,368,368,155,368,368,368,368,368,368
23,271,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368
24,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
25,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
26,80,80,80,101,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
27,263,323,20,223,223,260,162,223,162,223,323,323,323,323,323,323,323,323,323,323,323,323,323
28,68,14,14,14,136,323,323,323,323,323,323,323,323,323,323,14,323,323,323,323,323,323,323
29,86,723,78,339,208,208,182,375,182,182,97,339,182,323,75,323,323,323,218,75,323,323,323
30,360,245,84,347,347,347,245,334,334,84,334,245,290,334,334,84,245,334,84,245,245,245,245
31,7,93,245,144,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245
32,268,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245
33,486,760,701,794,802,710,760,710,274,110,321,36,321,36,110,765,576,321,702,765,321,794,321
34,19,362,177,100,321,177,177,321,177,143,321,321,321,127,321,321,321,321,36,321,321,127,36
35,216,478,776,321,611,321,321,321,36,321,321,321,321,321,321,321,321,321,321,321,321,321,321
36,42,35,270,35,178,35,178,270,184,270,184,270,270,270,270,270,270,270,270,270,270,270,270
37,740,184,14,184,184,184,184,132,184,184,14,14,184,14,224,224,224,224,224,224,224,224,224
38,99,681,230,45,3,3,116,271,45,45,45,114,45,45,114,163,163,45,45,45,45,338,45
39,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166
40,396,166,347,347,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166
41,291,32,166,185,605,367,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166
42,323,166,28,28,268,130,65,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
43,28,28,28,370,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
44,158,148,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
45,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
46,590,20,20,135,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
47,148,91,162,162,130,130,20,130,223,206,130,206,130,162,206,162,130,162,140,130,130,223,162
48,103,161,103,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161
49,103,161,103,103,161,161,161,161,161,161,161,161,161,161,207,161,161,161,161,161,161,161,161
50,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161
51,402,103,103,207,207,207,103,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207
52,301,3,3,207,3,207,207,207,207,207,103,207,207,207,207,207,207,207,207,207,207,207,207
53,207,207,225,207,225,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207
54,138,189,374,374,16,386,31,16,16,16,31,16,16,16,16,16,16,145,16,16,16,16,16
55,114,735,622,605,469,605,678,605,734,605,16,734,16,16,734,734,16,16,16,16,16,16,16
56,421,16,703,196,16,16,612,16,16,16,16,16,16,16,16,16,16,16,170,16,16,16,16
57,26,400,366,330,347,400,28,28,327,327,28,28,28,327,327,367,367,327,367,327,327,327,327
58,45,82,245,88,145,79,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145
59,261,388,150,366,366,232,388,388,388,388,367,367,388,184,184,367,184,184,367,28,184,184,184
60,36,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
61,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
62,95,95,95,140,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
63,385,60,58,58,379,385,385,328,58,58,58,58,295,385,295,170,295,295,53,224,295,353,224
64,139,347,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174
65,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174
66,256,319,66,3,66,66,66,66,66,335,66,66,335,66,66,66,335,66,66,335,66,66,66
67,393,393,107,66,66,66,66,66,66,66,66,66,66,66,66,133,66,66,66,37,66,66,66
68,393,99,66,376,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,376,66,393
69,66,222,222,222,222,222,222,222,222,222,222,159,222,222,222,222,159,159,159,222,159,222,222
70,375,222,222,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
71,159,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,183,222,222,222,222,222,376
72,290,341,8,14,8,363,108,392,8,8,8,108,8,392,392,392,108,392,392,392,392,392,392
73,287,229,252,358,112,252,252,250,252,252,252,278,252,278,278,278,278,278,278,278,278,278,278
74,111,171,171,171,171,8,723,8,8,8,8,124,124,124,124,124,124,171,124,209,209,124,124
75,106,27,156,156,8,3,252,8,285,8,252,8,8,8,8,8,8,8,8,8,8,8,8
76,166,184,93,93,3,3,156,27,27,27,118,8,27,8,118,8,8,8,118,8,8,8,8
77,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
78,28,28,330,46,46,46,46,46,46,46,38,46,38,38,38,38,38,38,38,38,124,38,38
79,158,46,129,1,298,285,1,38,1,38,38,38,38,38,38,38,38,38,38,38,38,38,38
80,739,394,217,217,167,167,381,167,62,62,38,38,38,38,38,38,38,3,38,38,38,38,38
81,241,213,362,200,362,147,362,147,91,147,147,147,147,391,100,134,147,100,100,391,100,100,391
82,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
83,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
84,393,242,117,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393
85,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393
86,393,99,317,259,259,393,99,259,393,393,259,259,99,393,393,393,393,393,393,393,393,393,393
87,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376
88,66,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376
89,365,154,1,126,376,259,376,376,376,376,376,376,376,259,376,376,376,376,376,376,376,376,376
90,288,99,330,330,37,44,37,133,44,99,44,99,133,99,99,133,99,393,99,99,99,99,99
91,288,376,393,66,66,393,99,393,421,393,393,99,393,99,99,99,99,296,196,393,99,99,296
92,345,690,376,222,376,355,13,13,355,159,159,13,355,159,159,355,159,159,159,196,159,159,159
93,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86
94,722,728,629,86,673,86,86,524,576,86,524,86,86,86,86,86,86,86,86,86,86,86,86
95,323,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86
96,429,321,342,342,342,342,342,273,342,342,273,342,273,273,273,273,273,273,273,273,273,273,273
97,127,19,273,273,273,139,134,139,134,134,134,134,273,273,273,273,273,273,273,273,134,273,86
98,177,143,273,342,273,273,342,273,342,273,273,342,273,273,273,273,273,273,273,273,273,273,273
99,105,192,398,398,264,264,398,264,310,398,398,398,398,48,400,398,398,398,58,398,398,189,400
100,110,325,660,370,371,370,353,370,387,371,384,334,370,3,371,371,313,148,370,370,285,74,384
101,319,48,48,398,794,48,94,794,794,794,48,794,794,48,794,94,48,48,794,794,794,794,48
102,632,353,194,194,145,145,145,145,145,145,145,145,145,145,145,145,145,145,140,145,145,140,140
103,255,256,274,140,255,274,255,255,290,255,255,140,140,140,140,255,140,140,140,140,140,140,140
104,33,195,185,371,384,7,31,31,291,187,291,291,291,291,274,384,274,187,187,291,274,274,291
105,25,271,276,276,276,173,85,74,56,246,17,311,359,359,85,85,74,85,74,85,359,359,85
106,9,299,129,176,176,377,176,176,176,282,377,176,176,176,176,176,176,176,176,176,176,176,176
107,167,176,176,176,383,176,176,176,176,326,326,176,176,377,176,176,377,377,176,377,176,176,377
108,221,293,293,259,159,159,259,259,67,67,259,67,67,67,259,67,67,67,67,67,67,67,67
109,376,355,376,355,393,293,99,676,13,196,196,196,393,293,196,196,196,196,196,690,196,196,196
110,293,293,293,67,67,67,259,67,67,67,67,259,67,67,67,67,67,67,67,67,67,67,67
111,86,78,156,147,20,162,102,156,162,244,244,20,20,351,351,286,130,20,286,286,20,83,286
112,713,70,136,335,286,323,286,195,286,286,286,20,20,286,286,286,286,286,286,286,22,286,286
113,136,53,375,286,286,53,286,20,297,286,286,20,286,351,286,286,286,297,286,286,286,297,286
