ids,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23
0,539,1710,2398,692,2608,3313,2811,3313,2263,2906,2560,1782,451,2758,3209,3209,2695,2695,1858,451,1782,1858,2707
1,1380,1829,87,692,2142,3313,2695,427,1788,3133,2560,1782,451,2758,722,1782,1782,2758,1233,451,1782,1782,2906
2,539,1710,3209,692,3297,3313,606,3313,2717,2249,1782,3313,3313,2717,2142,3209,2717,164,3313,888,2717,1782,2142
3,3038,1448,3472,692,2311,1502,1044,2707,11,2378,1761,2378,3379,271,533,533,533,2223,745,533,277,533,2378
4,539,1486,2252,1554,1264,2920,3271,1160,3011,1837,1761,2191,2191,1937,1622,2223,2223,1837,503,563,563,3353,563
5,539,1710,3017,1554,286,3431,1044,2707,1164,1919,1118,169,2783,1937,1164,533,560,1868,205,3416,533,2383,1164
6,3038,1448,2653,1554,807,680,2578,531,165,3195,2434,165,165,1554,1164,3243,3243,1164,2783,165,1164,165,1164
7,3038,1710,3017,1686,2212,2473,1579,1073,1412,1566,2816,2256,3340,1579,778,3184,2840,2571,2571,2816,1044,2816,2571
8,2843,2279,3382,3468,286,286,56,560,1983,2378,2211,2256,560,927,2074,407,2318,1664,1222,2211,2986,2211,2211
9,431,5550,6768,2642,1224,5027,2846,123,2667,4825,2185,3231,123,961,123,123,123,3231,3231,3231,3231,3231,3231
10,216,432,1991,6579,2295,2269,3609,2295,2295,3351,789,2269,2634,2269,2269,2182,2269,2269,1095,1095,6941,1480,6280
11,3038,2550,2804,2642,123,5027,5119,123,123,123,123,123,123,961,123,1460,1474,3231,123,1705,3231,123,3231
12,1460,3519,408,1004,128,128,473,1004,473,346,128,346,473,961,473,2961,346,2408,2961,1705,2265,1311,2265
13,1242,3519,3289,1004,2952,7019,858,1004,473,3896,2406,3231,473,3231,987,2961,987,2603,3025,3231,3231,3231,3231
14,1460,3519,408,41,408,1311,473,1311,473,346,473,473,473,961,473,2961,346,1311,2961,1705,2408,1705,2961
