Model	config_file	seed	epoch
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	1
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	2
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	3
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	4
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	5
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	6
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	7
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	8
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	9
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	10
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	11
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	12
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	13
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	14
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	15
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	16
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	17
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	18
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	19
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	20
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	21
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	22
selecsls60b	configs_multi/selecsls60b/config_selecsls60b_MagFace_AdamW.yaml	222	23
