ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5
0,78,395,174,149,556,741
1,550,241,591,635,366,173
2,59,431,132,429,131,489
3,584,470,677,362,650,691
4,737,465,250,340,281,133
5,179,131,256,542,800,724
6,195,64,674,492,389,410
7,308,766,303,100,306,678
8,764,250,281,327,594,759
9,295,322,515,702,258,455
10,446,583,583,160,507,680
11,610,447,256,784,509,505
12,805,275,321,333,569,114
13,251,99,45,321,656,447
14,342,601,205,342,86,677
15,326,244,6,187,595,342
16,381,203,594,420,809,605
17,366,385,280,170,207,647
18,254,73,256,168,297,673
19,104,458,440,267,365,759
20,30,358,303,323,712,674
21,440,71,383,471,224,295
22,725,3,5,416,151,576
23,320,537,135,47,449,26
24,613,613,691,751,810,674
25,325,9,360,663,536,0
26,313,313,768,797,625,368
27,84,784,203,264,687,637
28,156,50,706,233,170,610
29,547,155,675,539,366,104
30,666,422,599,704,449,318
31,243,800,325,269,326,293
32,208,626,468,117,299,599
33,789,448,548,361,142,127
34,698,698,390,390,182,722
35,273,558,671,309,581,218
36,224,245,422,190,717,285
37,354,698,30,687,594,762
38,259,317,1,336,154,385
39,184,476,406,589,782,506
40,242,576,697,723,566,536
41,717,132,739,553,561,299
42,784,708,683,170,487,262
43,340,106,206,391,28,137
44,263,553,69,256,401,388
45,221,347,130,734,338,2
46,145,547,454,132,259,143
47,805,190,7,547,50,569
48,243,787,789,123,364,285
49,359,746,173,472,645,135
50,42,283,763,601,293,662
51,139,45,234,702,434,354
52,698,163,260,284,195,192
53,86,225,187,601,161,643
54,311,603,199,136,777,494
55,447,82,306,297,114,407
56,382,39,643,107,3,524
57,138,329,257,179,260,742
58,645,19,402,690,752,468
59,293,757,687,119,376,800
60,4,443,793,512,286,432
61,251,141,86,550,345,448
62,779,292,594,100,323,770
63,255,751,693,88,709,378
64,159,149,241,378,258,417
65,7,342,174,651,603,672
66,412,675,751,390,374,624
67,691,601,280,620,225,540
68,41,809,713,145,362,671
69,160,473,161,336,307,585
70,181,403,613,345,118,336
71,643,23,6,162,292,168
72,385,721,460,132,277,108
73,343,726,638,689,799,632
74,602,357,329,49,329,794
75,763,722,303,202,800,419
76,487,714,688,316,467,627
77,394,184,62,98,199,3
78,306,272,714,276,780,551
79,125,520,157,339,88,328
80,605,559,653,494,433,501
81,21,475,550,127,285,467
82,377,31,719,436,494,53
83,313,293,789,778,468,490
84,105,109,476,714,186,547
85,393,19,493,207,398,259
86,222,657,285,161,635,434
87,293,126,654,380,383,319
88,44,133,752,523,495,123
89,776,753,387,5,25,682
90,317,400,400,273,381,157
91,757,336,37,715,228,506
92,605,605,16,159,361,376
93,86,403,177,86,115,666
94,656,10,40,730,287,741
95,162,713,790,569,462,741
96,650,273,342,594,423,9
97,487,103,205,391,175,802
98,60,763,416,780,447,71
99,511,777,100,492,518,17
100,649,197,135,31,771,547
101,230,230,768,273,572,620
102,752,412,263,114,376,314
103,110,543,724,136,752,369
104,111,608,95,287,447,195
105,467,129,234,108,484,690
106,718,696,1,732,57,602
107,32,30,130,293,74,668
108,632,258,705,317,336,692
109,157,255,715,768,283,278
110,632,0,189,754,106,363
111,113,328,255,615,393,106
112,779,6,664,269,590,752
113,588,194,651,34,203,306
114,106,26,520,762,192,487
115,334,366,239,179,385,642
116,93,645,804,447,752,575
117,64,440,801,459,800,101
118,186,780,440,586,556,730
119,382,105,292,214,257,496
120,376,758,713,338,496,28
121,723,113,807,213,43,741
122,257,782,365,435,327,713
123,84,242,115,325,371,681
124,281,573,257,73,259,491
125,109,36,86,380,608,519
126,202,45,346,342,667,138
127,798,736,786,58,667,536
128,140,78,54,174,305,665
129,374,237,309,427,650,362
130,303,115,593,320,99,704
131,458,360,340,325,713,385
132,800,661,306,465,108,66
133,800,137,96,561,401,11
134,163,293,735,394,562,400
135,598,419,711,126,750,712
136,183,123,647,112,107,433
137,782,472,115,338,134,485
138,210,209,189,69,387,768
139,652,72,320,749,553,451
140,154,440,166,657,800,427
141,257,188,47,129,345,334
142,280,424,721,156,381,402
143,708,406,361,66,562,23
144,543,685,290,722,523,25
145,459,794,783,728,216,575
146,416,255,96,130,131,12
147,88,64,219,379,66,38
