ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5
0,122,122,773,773,104,806
1,551,533,533,381,173,557
2,149,149,149,773,247,459
3,281,281,347,810,119,71
4,303,404,802,577,464,309
5,425,511,224,214,510,744
6,449,692,805,335,12,301
7,86,312,247,351,169,335
8,79,290,427,764,486,256
9,677,515,712,414,206,221
10,533,792,792,179,708,645
11,320,320,210,402,294,581
12,251,251,189,99,613,66
13,297,115,569,313,288,805
14,770,103,674,594,241,239
15,695,633,472,178,654,762
16,203,203,203,203,594,806
17,514,514,598,721,323,665
18,517,406,101,59,12,334
19,208,119,747,747,807,106
20,701,457,237,255,485,656
21,370,370,689,233,440,171
22,109,776,290,577,784,515
23,464,464,466,108,545,234
24,205,692,644,644,257,60
25,419,419,527,9,512,129
26,763,763,740,391,393,35
27,157,695,257,411,691,479
28,553,604,604,342,149,130
29,528,578,88,486,420,306
30,705,26,705,284,337,104
31,783,783,593,318,675,33
32,308,260,84,149,711,273
33,633,58,58,211,58,256
34,109,728,390,194,321,390
35,657,657,651,594,363,681
36,418,77,77,11,274,603
37,706,706,706,293,314,555
38,230,230,259,316,317,356
39,383,8,224,190,646,515
40,433,535,535,536,522,306
41,165,165,517,247,138,325
42,46,477,363,445,748,384
43,237,237,237,337,509,249
44,749,1,1,494,136,618
45,130,130,130,764,747,123
46,320,269,284,721,545,658
47,159,159,221,66,197,23
48,508,182,182,259,44,218
49,385,113,113,373,319,681
50,691,379,30,213,800,5
51,30,725,306,792,584,161
52,157,0,462,440,14,492
53,706,509,41,416,159,255
54,154,154,14,14,298,56
55,304,560,617,447,285,162
56,351,181,682,296,39,794
57,391,391,138,789,293,284
58,669,715,621,627,655,314
59,387,387,107,293,159,763
60,492,492,757,580,443,443
61,264,264,251,677,213,29
62,675,495,792,607,765,416
63,382,481,410,635,115,190
64,264,264,371,400,691,691
65,761,761,19,19,19,326
66,252,510,651,493,708,134
67,550,757,78,22,613,714
68,216,270,355,338,139,15
69,551,230,336,66,183,89
70,335,335,143,776,560,159
71,698,35,192,196,725,380
72,433,92,309,684,266,322
73,750,313,726,633,427,79
74,474,474,7,328,517,354
75,800,800,145,222,752,630
76,79,521,723,589,498,389
77,370,370,808,360,394,394
78,409,409,106,83,645,388
79,510,437,416,489,347,475
80,296,9,9,365,448,490
81,256,256,309,290,140,254
82,512,608,332,92,385,269
83,413,413,413,527,619,340
84,688,272,272,363,221,193
85,393,393,393,393,393,393
86,583,181,59,376,690,800
87,181,181,181,126,367,182
88,800,794,333,301,227,126
89,370,370,370,213,56,373
90,259,259,403,321,87,293
91,89,89,89,195,32,89
92,297,297,66,394,114,355
93,589,589,89,86,86,86
94,609,95,388,804,792,287
95,592,526,644,514,724,340
96,218,218,218,472,86,423
97,205,539,798,468,287,513
98,203,95,797,351,650,647
99,336,336,137,36,650,809
100,466,466,466,466,506,276
101,230,230,230,51,259,259
102,293,356,356,208,87,177
103,752,413,413,766,414,753
104,379,156,379,387,713,521
105,108,467,69,180,55,408
106,439,439,439,450,387,156
107,217,217,351,392,274,260
108,411,411,125,551,437,632
109,421,421,181,407,4,807
110,753,155,576,252,117,800
111,555,555,555,390,40,297
112,83,83,715,83,669,105
113,407,725,0,800,522,255
114,106,106,106,515,366,6
115,225,225,225,746,366,244
116,263,589,295,806,34,371
117,455,455,42,8,416,581
118,353,353,643,661,180,185
119,429,429,78,353,578,648
120,132,132,183,595,313,99
121,776,214,214,154,686,281
122,68,68,68,222,800,396
123,521,346,323,641,32,541
124,102,248,102,413,578,366
125,692,692,132,790,730,19
126,377,377,647,115,203,742
127,130,130,749,430,665,360
128,255,118,118,518,22,506
129,166,320,343,337,337,337
130,553,311,209,312,681,111
131,589,775,374,807,618,595
132,133,133,107,99,605,168
133,480,275,420,14,742,485
134,293,293,53,181,353,45
135,282,282,282,597,370,394
136,555,730,794,133,345,147
137,8,8,334,476,17,344
138,553,553,397,737,135,74
139,603,465,351,74,394,83
140,253,110,190,110,545,204
141,515,801,801,694,257,217
142,253,253,120,612,762,16
143,414,414,218,480,49,275
144,792,86,543,446,86,572
145,763,763,745,463,329,114
146,23,484,484,484,342,329
147,568,568,568,633,9,746
148,105,105,98,176,688,602
149,268,470,594,360,806,791
150,129,563,789,563,737,779
151,653,653,49,602,454,485
152,560,560,765,803,458,714
153,520,71,278,431,566,758
154,187,406,111,145,206,425
155,137,117,231,499,337,220
156,493,38,493,194,20,714
157,366,268,610,515,26,383
158,760,749,398,510,221,136
159,219,219,551,435,320,206
160,22,759,168,600,310,159
161,665,665,372,326,326,396
162,60,60,11,28,11,240
163,553,511,505,88,366,94
164,325,325,749,686,408,593
165,403,403,403,133,285,764
166,611,611,280,592,232,345
167,611,630,281,496,386,780
168,456,483,157,285,65,110
169,347,754,569,779,540,613
170,126,317,175,126,256,704
171,721,721,798,569,57,440
172,394,394,56,234,234,172
173,397,397,562,379,740,314
174,747,511,511,102,191,640
175,53,489,489,255,607,781
176,450,450,217,755,560,95
177,793,722,760,722,584,399
178,636,100,448,377,809,491
179,758,758,542,805,30,809
180,171,173,276,31,220,457
181,712,20,771,581,474,62
182,23,23,132,618,409,250
183,366,366,321,335,496,181
184,22,181,181,126,127,366
185,434,434,594,203,667,116
186,414,571,620,668,281,216
187,583,583,583,648,19,599
188,293,66,66,376,196,339
189,10,10,408,408,149,601
190,88,400,345,748,592,134
191,312,568,788,561,514,753
192,194,728,443,657,592,313
193,163,101,211,240,481,783
194,765,798,765,428,428,528
195,259,1,259,293,161,735
196,754,427,5,259,32,652
197,66,195,289,364,123,214
198,333,15,278,333,234,277
199,688,602,688,60,534,534
200,189,189,189,189,189,189
201,219,676,676,692,301,769
202,34,34,689,577,553,130
203,159,159,159,251,741,162
204,221,281,256,758,507,638
205,789,789,789,340,711,535
206,610,663,11,10,406,606
207,369,369,369,369,369,369
208,168,168,331,737,217,369
209,108,108,129,563,171,233
210,185,185,185,688,413,435
211,563,563,439,697,526,418
212,535,513,595,595,652,652
213,223,17,232,603,488,756
214,615,615,545,454,784,417
215,714,714,292,36,362,699
216,619,619,259,126,221,285
217,29,29,303,810,250,49
218,168,482,293,534,742,110
219,376,376,434,780,65,110
220,316,142,142,678,16,587
221,463,259,582,183,376,551
222,776,693,588,588,560,458
223,568,297,136,365,292,293
224,602,493,799,493,10,43
225,115,275,636,379,15,140
226,451,409,364,53,147,501
227,231,327,327,580,182,709
228,141,170,213,10,437,10
229,423,752,556,667,337,115
230,410,362,784,423,709,73
231,384,384,583,310,808,458
232,98,98,248,303,206,191
233,248,153,153,248,13,94
234,555,555,555,309,405,405
235,774,774,682,272,310,627
236,112,262,154,599,130,287
237,337,389,187,522,324,274
238,571,571,711,711,710,215
239,807,496,496,419,408,427
240,205,205,134,197,257,669
241,664,78,664,806,467,388
242,699,677,677,631,575,723
243,306,131,306,346,148,800
244,589,589,23,187,518,800
245,695,474,105,580,213,499
246,685,396,806,806,620,588
247,185,309,334,206,53,187
248,590,590,545,603,58,58
249,471,51,472,650,273,273
250,308,329,329,656,213,712
251,762,762,558,295,665,19
252,66,347,610,232,224,654
253,296,99,314,805,251,480
254,688,103,103,103,293,156
255,324,262,262,659,537,494
256,271,737,271,111,376,209
257,269,269,283,467,466,672
258,523,523,375,570,347,495
259,251,251,251,251,308,339
260,450,301,0,790,768,385
261,298,298,639,761,526,684
262,688,688,695,735,85,229
263,740,295,427,385,326,105
264,102,620,187,476,260,764
265,806,806,395,620,115,556
266,611,281,6,736,23,366
267,480,480,480,560,698,551
268,709,489,565,742,36,36
269,195,577,88,203,627,708
270,752,752,709,716,410,143
271,227,431,87,778,721,170
272,793,793,380,219,758,723
273,220,220,220,167,320,344
274,653,185,713,808,688,639
275,787,787,418,418,17,332
276,83,83,83,371,17,289
277,311,311,102,93,467,578
278,262,154,206,598,397,5
279,550,550,41,30,150,308
280,109,87,307,656,656,541
281,187,308,366,233,665,724
282,591,591,301,253,479,521
283,89,89,89,695,110,117
284,424,424,424,547,424,662
285,137,137,285,519,3,135
286,320,501,196,794,701,667
287,351,351,329,418,623,167
288,257,257,591,591,328,701
289,726,726,726,352,559,165
290,423,423,423,691,607,321
291,498,498,610,544,111,806
292,174,653,755,467,272,136
293,753,753,753,686,797,348
294,372,152,492,752,682,35
295,411,208,420,281,248,675
296,470,470,327,356,560,399
297,252,332,33,520,93,0
298,170,170,76,564,265,220
299,343,343,433,135,500,106
300,742,742,157,386,356,356
301,553,553,454,736,303,416
302,439,804,49,804,63,803
303,753,753,701,290,757,686
304,662,788,64,111,309,111
305,237,237,54,250,737,132
306,308,308,308,566,96,41
307,511,334,710,80,216,342
308,600,766,175,417,400,682
309,31,287,1,771,440,16
310,745,745,495,211,31,401
311,321,587,321,321,620,636
312,710,596,449,481,355,119
313,244,755,10,26,10,269
314,313,313,123,582,507,750
315,121,236,92,670,326,608
316,509,325,379,450,781,343
317,469,469,383,729,414,137
318,539,303,31,310,182,264
319,710,236,691,45,203,86
320,168,168,168,393,293,657
321,769,757,3,72,243,243
322,472,426,150,327,23,551
323,130,553,69,653,479,142
324,145,603,639,145,77,498
325,688,263,158,418,719,422
326,224,270,270,484,84,184
327,435,435,435,204,129,325
328,250,250,559,661,95,677
