Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
tnt_s_patch16_224	configs_multi/tnt_s_patch16_224/config_tnt_s_patch16_224_CosFace_SGD.yaml	222	0	0.0	3.353	3.254	0.318	0.0	3.3	2.934	0.298
tnt_s_patch16_224	configs_multi/tnt_s_patch16_224/config_tnt_s_patch16_224_CosFace_SGD.yaml	222	1	0.0	2.161	9.225	0.808	0.0	2.37	8.795	0.777
tnt_s_patch16_224	configs_multi/tnt_s_patch16_224/config_tnt_s_patch16_224_CosFace_SGD.yaml	222	2	0.0	3.51	13.492	2.447	0.0	3.405	13.0	2.356
tnt_s_patch16_224	configs_multi/tnt_s_patch16_224/config_tnt_s_patch16_224_CosFace_SGD.yaml	222	3	0.0	3.51	8.744	1.575	0.0	3.3	8.044	1.327
tnt_s_patch16_224	configs_multi/tnt_s_patch16_224/config_tnt_s_patch16_224_CosFace_SGD.yaml	222	4	0.0	3.614	6.167	1.133	0.0	3.497	5.879	1.002
tnt_s_patch16_224	configs_multi/tnt_s_patch16_224/config_tnt_s_patch16_224_CosFace_SGD.yaml	222	5	0.0	3.248	5.42	0.867	0.0	3.195	5.082	0.74
tnt_s_patch16_224	configs_multi/tnt_s_patch16_224/config_tnt_s_patch16_224_CosFace_SGD.yaml	222	6	0.0	3.824	7.303	1.314	0.0	3.51	6.923	1.17
tnt_s_patch16_224	configs_multi/tnt_s_patch16_224/config_tnt_s_patch16_224_CosFace_SGD.yaml	222	7	0.0	3.889	5.577	1.041	0.0	3.536	5.215	0.944
tnt_s_patch16_224	configs_multi/tnt_s_patch16_224/config_tnt_s_patch16_224_CosFace_SGD.yaml	222	8	0.0	3.614	6.47	1.086	0.0	3.379	6.348	1.001
tnt_s_patch16_224	configs_multi/tnt_s_patch16_224/config_tnt_s_patch16_224_CosFace_SGD.yaml	222	9	0.0	4.348	5.859	1.206	0.0	4.112	5.644	1.12
tnt_s_patch16_224	configs_multi/tnt_s_patch16_224/config_tnt_s_patch16_224_CosFace_SGD.yaml	222	10	0.0	3.824	6.494	1.278	0.0	3.667	6.084	1.127
tnt_s_patch16_224	configs_multi/tnt_s_patch16_224/config_tnt_s_patch16_224_CosFace_SGD.yaml	222	11	0.0	4.138	6.591	1.343	0.0	3.981	6.278	1.235
tnt_s_patch16_224	configs_multi/tnt_s_patch16_224/config_tnt_s_patch16_224_CosFace_SGD.yaml	222	12	0.0	4.374	8.817	1.918	0.0	4.282	8.189	1.687
tnt_s_patch16_224	configs_multi/tnt_s_patch16_224/config_tnt_s_patch16_224_CosFace_SGD.yaml	222	13	0.0	4.295	7.793	1.778	0.0	4.518	7.259	1.559
tnt_s_patch16_224	configs_multi/tnt_s_patch16_224/config_tnt_s_patch16_224_CosFace_SGD.yaml	222	14	0.0	4.806	7.743	1.863	0.0	4.832	7.537	1.726
tnt_s_patch16_224	configs_multi/tnt_s_patch16_224/config_tnt_s_patch16_224_CosFace_SGD.yaml	222	15	0.0	4.728	6.134	1.471	0.0	5.029	5.84	1.346
tnt_s_patch16_224	configs_multi/tnt_s_patch16_224/config_tnt_s_patch16_224_CosFace_SGD.yaml	222	16	0.0	5.042	7.902	1.954	0.0	4.885	7.746	1.826
tnt_s_patch16_224	configs_multi/tnt_s_patch16_224/config_tnt_s_patch16_224_CosFace_SGD.yaml	222	17	0.0	5.526	7.677	2.034	0.0	5.513	7.837	2.023
