ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11
0,6690,1459,1666,2717,2172,230,3143,2382,2906,2734,1782,2695
1,6690,3970,1666,625,2793,230,3143,2382,455,775,1782,2695
2,6690,2802,1666,2142,2172,1899,26,2382,455,3220,1782,419
3,6690,1459,1306,2134,3421,395,3099,3114,3421,3400,2199,3263
4,6690,99,1306,2677,6515,1032,928,3379,2982,1603,2135,2907
5,6690,99,1666,487,2430,2135,928,3379,2135,3444,1901,349
6,6690,822,1666,1554,1032,39,3099,2202,3263,773,1674,359
7,6690,1459,1666,2542,2882,1824,3099,1073,2044,1887,700,467
8,6690,99,1666,1088,1456,560,911,911,286,2657,1901,2047
9,6690,99,5018,6559,3915,1224,4431,6534,1480,1180,2804,5431
10,6690,99,6743,2677,2625,634,2269,3619,2269,5371,5384,5366
11,6690,2180,1666,6559,5117,4600,6184,3985,1480,2734,2804,123
12,6690,1215,3046,2423,1180,3153,1558,41,473,961,2245,1239
13,6690,3339,3702,1351,2747,2742,2742,2616,6842,3896,1772,590
14,6690,1215,3046,1883,1180,3153,1558,41,473,961,2245,1239
15,6690,2802,1239,3045,1180,1311,1558,41,3315,2289,2804,1239
16,6690,6114,1239,1883,1180,3153,1558,41,1311,2289,3527,1239
17,6690,2802,1239,2423,77,1311,424,41,3315,961,961,769
18,6690,2802,1666,3334,539,3222,1666,1124,635,2196,2479,359
19,6690,3970,1666,3045,539,976,56,2355,3420,1519,2479,100
20,6690,3970,1666,2479,1456,395,56,11,2717,3370,2479,606
21,6690,5966,1017,355,1221,2984,1213,1731,112,278,501,1830
22,6690,1991,1802,5262,5729,3098,6047,5254,3854,7019,3150,1830
23,6690,7053,500,2984,1221,2984,1213,1731,112,278,1451,1830
24,6690,3970,1666,3182,2430,3098,2603,2185,1480,1360,3089,2359
25,6690,99,1715,2677,2430,3098,2603,2185,1480,1360,3089,2359
26,6690,99,6743,2677,2625,3098,2269,1480,1480,1360,3089,2359
27,6690,847,1666,2479,1456,395,2073,3114,3421,1395,1561,3301
28,6690,99,1666,2677,1032,1824,3099,1994,499,1603,507,535
29,6690,2802,1239,2479,560,2281,1018,11,1403,2657,1236,1110
30,6690,99,1306,2677,453,1032,1404,3379,2910,1535,2135,359
31,6690,99,1666,1554,1032,1824,3099,3379,398,39,2135,3263
32,6690,99,1306,2542,1032,1824,3099,2202,1139,2783,3263,3263
33,6690,2802,5018,4364,4308,4600,5446,6143,4955,5518,5269,4976
34,6690,1215,3425,1883,1180,3153,1527,3376,696,775,1772,2102
35,6690,6521,3568,4364,2625,2724,6755,2616,2742,5617,3208,2724
36,6690,99,1715,933,2430,2135,928,3379,2043,583,2135,43
37,6690,99,6743,2866,2711,639,2313,3379,1280,2430,2428,3490
38,6690,3339,3046,2677,2141,2174,2952,1372,741,1215,501,1225
39,6690,822,323,5262,2690,395,2073,3114,1803,646,2563,3282
40,6690,822,5333,5262,487,395,1887,3114,1615,646,1602,3282
41,6690,99,323,5262,2690,395,5134,1974,2375,646,1035,3282
42,6690,822,2943,1305,3150,295,1104,2202,3467,2462,2574,535
43,6690,99,1666,2816,2103,295,108,1487,2968,1603,2807,535
44,6690,1595,1666,2816,3150,395,1757,3114,3467,3400,3400,3263
45,6690,2490,1666,625,2107,1681,1056,3114,2928,3370,1674,1751
46,6690,99,1666,472,2690,395,166,1776,2928,90,2736,938
47,6690,99,1666,1326,2690,395,277,3114,344,2714,2736,3282
48,6690,3339,1306,3093,2131,352,2820,2820,2871,1149,63,2041
49,6690,3339,3451,2612,2448,352,1644,638,215,1406,63,2041
50,6690,99,1306,1554,1872,352,1644,1149,2871,1149,63,2041
51,6690,99,1666,1780,1809,352,1644,1149,2871,2514,63,2871
52,6690,99,1666,2543,1809,352,1018,1149,215,2514,1236,2832
53,6690,3970,1666,1780,1616,273,3518,1411,1132,1822,1478,1478
54,6690,99,126,2866,2711,2174,507,2677,1280,1215,1054,2127
55,6690,3339,760,6559,2625,6708,4002,6029,6708,640,5039,4688
56,6690,4630,760,6743,2625,2174,2269,3114,206,3400,2519,132
57,6690,99,3425,2879,4214,916,5480,205,3421,205,1561,1260
58,6690,3339,3046,1608,2625,1511,640,3004,741,1940,1617,1747
59,6690,99,3425,6995,2848,916,2073,11,1280,2848,1300,3282
60,6690,6114,4368,529,6515,2840,3006,94,2044,3359,1901,324
61,6690,99,1715,529,6515,916,3006,3379,2044,2644,1901,2389
62,6690,6114,4368,529,194,916,56,3376,2930,833,1901,467
63,6690,7053,1666,2543,2793,598,2559,875,2559,93,2283,359
64,6690,99,1666,2479,539,395,2223,11,1268,2196,1236,3353
65,6690,5623,1666,2441,1102,395,166,3114,3263,2903,2903,3263
66,6690,7053,1666,65,2793,273,1861,3154,2213,3347,1861,3347
67,6690,3339,6743,3093,2131,2525,3300,3154,172,320,63,1478
68,6690,7053,6743,2612,1910,768,34,2292,172,17,2292,3068
69,6690,3339,3046,3093,5896,768,2063,2751,2774,542,5384,2215
70,6690,3339,3046,2612,1910,768,2063,2751,2590,3347,1910,2084
71,6690,7053,1168,1813,1910,273,34,3154,172,548,1861,172
72,6690,99,1137,2677,453,2447,1862,1888,2464,997,997,2431
73,6690,99,1064,2677,1076,639,608,738,1139,3433,997,2319
74,6690,99,1137,2134,2690,404,1052,1357,546,1571,2402,1685
75,6690,7053,1306,2677,1076,2447,3268,738,1139,1137,2815,2319
76,6690,99,1666,2765,2690,395,275,1357,25,3356,997,2431
77,6690,7053,760,2677,1437,2447,3268,3268,82,1571,1745,2319
78,6690,822,2943,1305,1221,404,1052,1357,942,1571,255,1685
79,6690,822,1354,1305,3150,1440,1052,1948,942,1119,734,1816
80,6690,99,2015,1305,3275,540,3051,715,942,3082,734,1816
81,6690,5541,3568,1883,3073,916,1148,2089,6146,775,5269,2908
82,6690,99,4926,5262,2120,2120,5344,4534,2375,1157,1412,2120
83,6690,99,5333,5262,4214,2120,5344,4534,2044,1157,1412,2571
84,6690,7053,1137,1813,1910,989,34,1065,172,17,1910,2215
85,6690,3339,3046,3093,5896,634,3496,1590,2774,542,3265,2215
86,6690,7053,6743,2612,1910,768,3496,3154,1804,17,1910,3068
87,6690,7053,1335,3942,1910,768,3496,3358,2590,17,1910,3358
88,6690,7053,6743,2612,1910,989,34,2292,172,17,1910,379
89,6690,5966,500,2984,1910,768,3496,2228,2590,17,1910,3358
90,6690,7053,3451,1813,2793,273,2612,3154,2605,3154,1861,3154
91,6690,7053,3451,1813,1910,634,3496,3154,172,17,3265,3068
92,6690,3339,579,2612,1910,768,3496,2751,2774,542,2524,2215
93,6690,1215,3568,1351,7010,2742,4334,6624,6842,2277,1772,590
94,6690,6521,3568,4188,4398,3552,4431,6534,6842,2734,330,590
