ids,epoch_77,epoch_78,epoch_79,epoch_80,epoch_81,epoch_82,epoch_83,epoch_84,epoch_85,epoch_86,epoch_87,epoch_88,epoch_89,epoch_90,epoch_91,epoch_92,epoch_93,epoch_94,epoch_95,epoch_96,epoch_97,epoch_98,epoch_99,epoch_100
0,1782,888,1799,2758,2199,2000,1799,2172,722,2550,2550,2717,2560,1782,1323,1799,2758,2199,2560,1799,346,2006,310,1782
1,1782,888,1826,2764,2199,888,1799,2172,3413,2550,888,2717,2000,1782,2852,1799,2758,1615,888,1799,346,459,2734,1782
2,1782,888,386,2764,2172,888,2000,2172,1522,2401,2172,2717,2000,1782,2717,1471,65,2172,888,1898,2398,459,1233,2172
3,1427,1156,1906,560,915,2281,277,3353,251,2266,1868,3284,580,1427,2223,1887,2677,2412,1301,1919,3353,2613,2223,2281
4,2046,772,1032,2309,1215,2281,2638,3353,1142,1142,2312,3353,1761,2494,772,2638,2677,1119,1032,1142,3353,1142,772,3029
5,1901,2935,560,560,2412,2281,277,3353,2737,2223,533,3353,205,1427,2223,560,2230,2412,1301,2223,3353,2613,2223,2281
6,1270,2783,1906,2156,3243,554,1709,2783,1653,1603,3099,3284,3204,1270,2783,165,1653,286,1554,3099,2783,1653,1603,2783
7,2241,1115,1444,38,1765,2,728,7,3394,1930,93,50,1503,3008,1115,1244,3024,3005,1301,370,2202,3394,3024,3438
8,2917,1115,1930,307,2261,2530,467,467,307,1930,2211,1930,2523,1901,1115,292,761,1126,1301,1930,3353,499,1535,208
9,396,988,1924,473,3231,1077,988,2185,3441,3021,2289,1483,256,143,550,3089,473,5371,290,4825,1705,1077,3231,3231
10,74,2098,1239,789,328,748,6184,2185,4558,3021,6775,152,5167,74,5972,6029,6859,2245,2098,6247,6768,2848,5440,1971
11,396,988,1239,473,5371,2334,2265,1924,3025,3021,4531,123,473,396,318,590,473,5397,1311,988,2185,1077,3231,3231
12,396,988,1239,589,2245,1311,2265,1924,1924,3021,2245,396,1705,396,1732,1239,589,2245,1311,988,1705,1924,2408,2408
13,396,988,590,589,2245,1311,988,1924,1924,3021,2245,396,424,396,1732,590,589,5371,2408,988,346,1924,3231,3231
14,396,473,1239,1883,2245,1311,2265,1924,1311,3021,1311,3121,1705,396,550,1239,589,2245,1311,2265,346,1311,1311,1231
15,5431,988,1239,473,5371,1311,988,1924,3315,3021,2289,1483,473,1311,473,5018,473,5371,1077,988,346,1077,3231,3231
16,2388,473,1239,473,5371,1077,988,3102,1077,3021,2289,1483,473,1311,473,473,473,3231,1077,988,346,1077,2804,3231
17,1782,2852,1239,473,77,1311,988,473,1311,2608,2289,1318,473,1782,473,1239,473,2245,1311,988,346,1311,1318,1231
