ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33
0,387,81,351,231,59,59,384,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
1,59,590,231,435,59,270,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
2,59,220,474,322,34,363,113,273,59,17,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
3,432,795,294,313,81,99,197,197,197,99,197,197,99,197,99,197,197,197,197,99,99,99,99,99,99,99,99,293,99,99,197,99,99,99
4,59,793,6,269,343,197,197,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
5,99,324,247,98,212,418,99,233,204,233,233,99,99,204,397,204,99,99,99,321,99,99,99,99,99,321,99,99,99,99,99,99,99,99
6,59,859,514,397,9,61,216,216,216,162,356,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162
7,59,144,22,287,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162
8,59,763,540,257,306,66,266,643,643,643,116,116,814,162,391,162,162,162,162,33,162,162,162,162,162,162,162,162,162,820,181,162,820,250
9,59,59,313,370,144,370,43,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144
10,59,121,684,43,370,210,290,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144
11,59,251,20,163,144,144,251,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144
12,54,26,101,383,128,294,183,72,183,183,183,183,296,208,128,59,59,132,59,296,59,358,59,183,59,132,258,59,296,54,54,54,54,54
13,273,771,349,420,296,137,54,137,137,295,295,435,282,137,54,137,435,87,10,379,379,50,50,379,379,158,137,379,358,258,137,105,324,390
14,99,229,164,260,155,402,258,258,258,275,423,258,423,70,70,54,70,335,867,132,132,70,54,132,54,359,132,70,54,54,54,54,54,54
15,162,357,316,360,178,3,3,383,383,300,3,300,3,3,11,300,300,300,300,235,300,235,300,420,300,300,14,300,300,300,300,3,300,300
16,59,144,256,300,133,254,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
17,59,295,70,139,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
18,162,626,515,386,18,382,126,126,126,303,303,337,382,165,126,382,382,382,126,126,126,338,427,101,303,126,338,338,338,165,338,381,848,303
19,59,94,682,41,748,333,333,333,333,333,333,333,333,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272
20,59,777,81,421,272,272,287,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272
21,129,672,591,202,158,324,424,324,324,357,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,136,324,324,324,324
22,80,776,127,641,323,406,324,151,273,430,324,358,54,50,324,323,324,282,323,323,323,282,74,323,323,323,323,74,323,74,107,323,323,74
23,260,467,687,426,355,349,72,258,165,165,165,258,435,165,324,324,324,324,324,324,324,324,324,324,324,324,324,258,258,324,324,324,324,258
24,59,798,758,119,225,36,90,350,350,75,145,350,171,857,353,335,211,54,40,211,211,714,389,430,40,251,40,430,40,163,430,251,430,402
25,162,128,36,36,89,385,385,430,385,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,332,430,430
26,430,296,338,196,200,291,430,230,430,430,430,430,430,230,430,430,359,430,430,430,430,430,183,430,430,430,430,748,430,130,430,430,430,430
27,396,613,554,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306
28,306,425,154,31,435,282,94,353,353,386,306,80,228,306,306,105,105,105,306,328,105,306,306,105,306,306,74,306,306,74,306,306,306,74
29,59,306,872,246,190,185,185,185,185,185,185,185,185,185,49,229,185,85,185,185,185,185,185,185,185,185,185,185,185,185,185,185,363,185
30,59,115,449,393,98,286,178,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166
31,59,762,727,385,214,84,45,84,84,362,181,8,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166
32,99,166,438,92,286,98,114,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166
33,59,84,783,365,178,14,14,14,45,335,45,230,293,45,72,72,421,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
34,361,720,350,128,257,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
35,59,842,355,142,395,48,48,324,72,73,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,405,72,72,72,72,72,72
36,59,238,251,204,238,238,238,37,238,238,37,238,37,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,399
37,59,348,178,400,70,238,237,237,237,237,237,237,237,237,237,237,237,793,237,370,238,237,436,237,172,436,164,238,238,62,172,237,238,237
38,59,436,335,339,394,399,92,6,238,6,238,238,238,238,238,238,238,238,238,238,238,238,238,226,238,238,238,238,238,238,238,238,238,238
39,59,366,424,424,294,297,264,351,278,278,97,278,10,137,97,253,265,253,10,374,374,382,351,382,804,351,46,382,46,382,278,281,326,150
40,162,78,327,55,292,30,55,55,55,55,193,214,376,129,240,129,129,129,78,78,78,78,78,78,78,129,78,78,78,78,78,78,331,78
41,59,351,5,333,32,278,265,264,264,367,264,240,264,78,78,79,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78
42,59,49,215,119,48,48,335,316,48,48,128,49,49,340,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
43,59,260,87,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
44,59,622,802,266,128,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
45,7,264,73,402,395,202,135,37,202,37,37,273,37,31,31,251,31,7,628,7,146,7,7,7,198,7,7,7,7,7,7,7,7,7
46,59,282,132,643,422,181,7,252,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
47,99,741,430,294,64,354,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
48,59,234,609,62,51,139,406,406,406,406,68,68,68,68,68,68,68,68,68,313,204,68,68,313,68,65,68,313,65,313,65,313,313,313
49,225,353,128,21,64,47,302,154,47,21,154,391,154,378,154,400,378,154,154,221,400,551,378,262,378,391,154,378,405,313,378,65,405,313
50,59,210,515,51,214,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
51,59,735,36,15,203,414,243,172,172,308,172,210,172,210,172,308,318,15,198,243,243,260,422,260,308,308,260,219,308,308,308,308,308,308
52,278,595,25,407,210,433,55,433,308,308,279,279,308,308,279,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308
53,59,308,238,42,369,166,156,156,725,175,18,452,105,105,376,788,42,664,42,664,664,110,237,399,476,308,399,290,308,172,382,308,308,289
54,59,380,677,316,178,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218
