Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	0	0.0	3.051	9.279	0.864	0.0	3.326	6.016	0.647
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	1	0.0	4.426	1.26	0.184	0.0	3.745	0.941	0.13
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	2	0.0	13.607	10.043	4.496	0.0	8.539	10.807	3.96
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	3	0.0	34.665	11.947	8.395	0.0	22.381	12.615	7.511
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	4	0.0	45.076	12.576	9.704	0.0	33.656	13.191	9.046
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	5	0.0	52.698	12.714	10.696	0.0	41.959	13.941	10.443
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	6	0.0	58.879	12.899	11.68	0.0	48.376	13.677	11.098
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	7	0.0	64.026	12.7	12.289	0.0	54.282	14.05	11.924
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	8	0.0	67.025	12.802	12.741	0.0	56.129	13.755	12.06
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	9	0.0	70.351	12.773	13.132	0.0	59.429	13.579	12.411
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	10	0.0	72.158	12.336	13.121	0.0	60.555	13.518	12.439
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	11	0.0	72.787	12.713	13.525	0.0	62.978	13.652	12.845
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	12	0.0	75.327	12.616	13.666	0.0	63.489	13.569	12.726
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	13	0.0	75.707	12.302	13.368	0.0	64.274	13.326	12.789
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	14	0.0	77.619	12.634	14.105	0.0	65.911	13.816	13.497
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	15	0.0	77.331	12.359	13.727	0.0	68.046	13.576	13.399
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	16	0.0	77.213	12.682	14.215	0.0	67.889	13.809	13.808
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	17	0.0	78.156	12.375	13.875	0.0	70.089	13.276	13.327
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	18	0.0	79.204	12.484	14.349	0.0	70.705	13.225	13.436
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	19	0.0	77.449	9.959	11.129	0.0	69.172	11.075	11.191
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	20	0.0	78.562	9.967	11.148	0.0	69.539	11.311	11.476
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	21	0.0	78.169	10.6	11.924	0.0	68.452	11.972	12.021
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	22	0.0	78.182	10.079	11.34	0.0	69.343	10.832	10.871
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	23	0.0	78.208	9.988	11.237	0.0	69.421	11.299	11.47
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	24	0.0	78.339	9.733	10.912	0.0	69.709	10.865	10.96
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	25	0.0	78.104	10.287	11.387	0.0	69.539	10.69	10.653
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	26	0.0	77.999	10.176	11.454	0.0	70.102	11.13	11.324
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	27	0.0	78.929	10.277	11.666	0.0	70.155	11.148	11.248
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	28	0.0	78.182	9.838	11.163	0.0	71.307	11.085	11.329
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	29	0.0	79.164	9.993	11.378	0.0	70.168	11.137	11.422
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	30	0.0	79.047	10.063	11.5	0.0	70.128	11.299	11.462
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	31	0.0	79.295	10.06	11.44	0.0	71.019	11.118	11.481
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	32	0.0	79.557	10.2	11.822	0.0	70.495	11.224	11.806
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	33	0.0	79.924	9.968	11.509	0.0	71.87	11.272	11.706
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	34	0.0	79.047	10.089	11.633	0.0	71.386	10.956	11.401
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	35	0.0	79.02	9.895	11.274	0.0	70.757	11.021	11.506
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	36	0.0	79.741	10.033	11.471	0.0	71.857	11.308	11.736
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	37	0.0	80.291	9.848	11.314	0.0	71.647	10.843	11.186
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	38	0.0	79.518	9.878	11.292	0.0	72.381	10.987	11.364
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	39	0.0	80.487	10.149	11.891	0.0	72.158	11.194	11.731
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	40	0.0	80.697	10.202	11.831	0.0	72.368	11.261	11.772
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	41	0.0	80.081	10.142	11.682	0.0	72.97	11.078	11.66
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	42	0.0	79.636	9.54	11.053	0.0	72.25	10.721	11.33
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	43	0.0	80.33	10.016	11.636	0.0	72.197	11.366	11.871
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	44	0.0	79.976	10.051	11.622	0.0	72.368	11.087	11.513
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	45	0.0	80.749	9.884	11.447	0.0	71.503	11.13	11.596
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	46	0.0	80.736	10.089	11.737	0.0	72.237	11.089	11.602
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	47	0.0	79.649	10.077	11.507	0.0	71.019	11.157	11.462
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	48	0.0	80.147	10.025	11.857	0.0	71.569	11.363	11.811
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	49	0.0	80.199	9.956	11.399	0.0	71.451	11.096	11.292
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	50	0.0	80.12	10.469	12.235	0.0	73.442	11.194	11.772
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	51	0.0	80.238	9.976	11.398	0.0	72.42	11.371	11.934
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	52	0.0	80.618	10.269	11.976	0.0	71.765	11.365	11.825
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	53	0.0	80.225	9.796	11.253	0.0	72.63	10.882	11.305
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	54	0.0	80.474	10.142	11.834	0.0	71.674	11.205	11.67
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	55	0.0	80.605	9.767	11.446	0.0	73.036	10.988	11.495
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	56	0.0	80.029	9.929	11.538	0.0	72.617	11.027	11.547
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	57	0.0	81.024	9.768	11.486	0.0	72.97	10.786	11.294
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	58	0.0	81.26	9.847	11.439	0.0	71.988	10.969	11.565
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	59	0.0	79.78	9.88	11.359	0.0	72.158	11.17	11.521
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	60	0.0	80.618	10.166	11.801	0.0	72.617	11.153	11.588
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	61	0.0	80.173	10.006	11.605	0.0	72.617	10.753	11.333
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	62	0.0	80.199	9.813	11.455	0.0	72.761	11.194	11.841
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	63	0.0	80.382	10.16	11.791	0.0	72.355	11.046	11.609
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	64	0.0	80.959	9.668	11.501	0.0	72.8	11.021	11.604
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	65	0.0	80.972	9.547	11.14	0.0	73.402	10.915	11.598
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	66	0.0	80.723	10.317	12.052	0.0	73.271	11.491	12.202
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	67	0.0	80.566	9.851	11.404	0.0	73.298	11.04	11.648
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	68	0.0	80.448	10.252	12.025	0.0	72.983	10.703	11.359
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	69	0.0	80.186	9.828	11.327	0.0	73.153	10.765	11.388
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	70	0.0	80.238	10.058	11.535	0.0	72.748	10.703	11.142
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	71	0.0	81.207	9.878	11.695	0.0	73.625	11.222	11.864
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	72	0.0	80.972	9.73	11.404	0.0	73.599	10.964	11.618
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	73	0.0	80.697	10.133	11.805	0.0	73.599	11.131	11.738
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	74	0.0	80.422	10.272	11.925	0.0	73.153	11.104	11.681
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	75	0.0	80.906	10.068	11.639	0.0	72.643	10.996	11.531
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	76	0.0	80.919	10.268	11.939	0.0	72.865	11.144	11.698
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	77	0.0	79.715	10.063	11.631	0.0	72.381	10.597	11.031
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	78	0.0	81.286	10.019	11.763	0.0	72.97	10.834	11.323
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	79	0.0	81.194	9.975	11.841	0.0	73.69	10.927	11.498
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	80	0.0	80.723	10.176	12.026	0.0	74.162	10.899	11.576
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	81	0.0	81.26	9.956	11.66	0.0	73.415	11.169	11.727
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	82	0.0	81.076	9.916	11.743	0.0	73.848	11.058	11.693
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	83	0.0	80.317	10.162	11.885	0.0	74.044	11.149	11.928
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	84	0.0	80.173	10.073	11.612	0.0	73.428	11.177	11.76
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	85	0.0	80.671	10.31	12.106	0.0	73.861	11.08	11.719
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	86	0.0	80.487	10.203	11.897	0.0	73.73	11.25	12.057
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	87	0.0	80.042	10.004	11.572	0.0	73.507	10.808	11.404
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	88	0.0	80.422	10.117	11.578	0.0	73.756	10.896	11.433
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	89	0.0	82.006	9.852	11.784	0.0	73.206	10.709	11.327
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	90	0.0	80.841	10.135	11.916	0.0	73.756	11.039	11.681
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	91	0.0	80.932	10.408	12.19	0.0	73.52	11.126	11.752
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	92	0.0	79.728	10.382	12.038	0.0	73.402	11.091	11.737
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	93	0.0	80.657	10.046	11.782	0.0	73.913	11.002	11.567
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	94	0.0	81.443	9.902	11.585	0.0	73.965	10.878	11.591
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	95	0.0	80.697	9.752	11.424	0.0	74.175	10.773	11.343
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	96	0.0	80.998	10.306	11.886	0.0	73.769	11.308	11.969
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	97	0.0	80.526	9.806	11.398	0.0	72.878	10.736	11.315
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	98	0.0	81.679	10.493	12.341	0.0	73.717	10.923	11.654
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	99	0.039	84.56	10.157	12.863	0.0	78.248	11.342	12.827
vgg19_bn	configs_multi/vgg19_bn/config_vgg19_bn_MagFace_SGD.yaml	222	100	0.0	85.228	9.42	12.223	0.0	79.02	10.456	12.088
