ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9
0,603,413,686,686,132,340,53,53,53,53
1,573,742,682,626,35,811,53,53,53,53
2,109,86,86,86,413,626,53,53,53,53
3,739,392,60,60,142,42,53,53,53,53
4,229,591,197,24,565,287,53,53,53,53
5,26,462,102,601,487,551,53,53,53,53
6,472,472,179,366,314,454,53,53,53,53
7,257,257,547,281,40,352,53,53,53,53
8,712,156,60,149,440,766,53,53,53,53
9,206,753,26,560,792,618,53,53,53,53
10,463,669,669,463,386,572,53,53,53,53
11,557,33,132,506,634,366,53,53,53,53
12,804,87,709,551,758,428,53,53,53,53
13,607,521,316,87,567,637,53,53,53,53
14,665,207,337,660,194,617,53,53,53,53
15,472,297,339,191,591,220,53,53,53,53
16,203,203,203,203,203,110,53,53,53,53
17,680,434,613,613,762,658,53,53,53,53
18,470,59,156,495,131,589,53,53,53,53
19,40,736,774,208,610,326,53,53,53,53
20,372,310,362,260,185,427,53,53,53,53
21,418,464,368,404,171,389,53,53,53,53
22,700,700,700,554,424,730,53,53,53,53
23,718,299,299,199,563,385,53,53,53,53
24,73,115,75,52,318,699,53,53,53,53
25,86,265,265,129,419,807,53,53,53,53
26,728,712,364,714,274,607,53,53,53,53
27,380,129,689,682,680,312,53,53,53,53
28,297,698,6,137,506,552,53,53,53,53
29,35,224,539,218,487,381,53,53,53,53
30,454,437,592,132,479,697,53,53,53,53
31,269,23,714,714,689,17,53,53,53,53
32,623,35,711,23,619,472,53,53,53,53
33,572,388,388,335,408,801,53,53,53,53
34,677,572,7,390,319,776,53,53,53,53
35,508,572,653,572,651,613,53,53,53,53
36,234,12,224,50,197,121,53,53,53,53
37,137,221,221,247,113,400,53,53,53,53
38,159,99,379,622,159,403,53,53,53,53
39,789,590,689,599,186,453,53,53,53,53
40,3,802,693,693,310,409,53,53,53,53
41,38,74,74,545,514,110,53,53,53,53
42,485,764,238,665,168,558,53,53,53,53
43,224,238,240,250,440,469,53,53,53,53
44,297,401,401,401,135,737,53,53,53,53
45,370,130,130,130,394,198,53,53,53,53
46,713,221,506,713,340,440,53,53,53,53
47,490,419,419,12,106,474,53,53,53,53
48,578,375,391,385,146,712,53,53,53,53
49,492,66,181,697,780,37,53,53,53,53
50,150,41,517,202,292,7,53,53,53,53
51,715,356,241,356,477,480,53,53,53,53
52,723,194,723,714,689,559,53,53,53,53
53,623,361,161,339,756,206,53,53,53,53
54,229,32,338,338,221,754,53,53,53,53
55,161,15,632,541,700,78,53,53,53,53
56,421,317,126,527,230,133,53,53,53,53
57,287,138,328,293,157,420,53,53,53,53
58,775,747,657,323,504,521,53,53,53,53
59,403,421,212,363,259,750,53,53,53,53
60,480,36,36,492,768,709,53,53,53,53
61,437,144,809,251,58,216,53,53,53,53
62,799,503,250,764,784,319,53,53,53,53
63,143,790,205,763,41,752,53,53,53,53
64,75,75,400,400,159,280,53,53,53,53
65,35,7,360,11,298,625,53,53,53,53
66,723,581,105,744,390,334,53,53,53,53
