Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
visformer_small	configs/visformer_small/config_visformer_small_CosFace_AdamW.yaml	222	0	0.0	0.799	49.701	5.749	0.0	0.825	44.102	3.912
visformer_small	configs/visformer_small/config_visformer_small_CosFace_AdamW.yaml	222	1	0.0	2.082	27.983	1.691	0.0	1.336	27.95	1.57
visformer_small	configs/visformer_small/config_visformer_small_CosFace_AdamW.yaml	222	2	0.0	2.75	60.454	6.192	0.0	1.231	49.277	3.839
visformer_small	configs/visformer_small/config_visformer_small_CosFace_AdamW.yaml	222	3	0.0	1.179	60.883	6.777	0.0	0.602	53.607	5.067
visformer_small	configs/visformer_small/config_visformer_small_CosFace_AdamW.yaml	222	4	0.0	6.482	56.508	4.977	0.0	4.086	45.01	3.031
visformer_small	configs/visformer_small/config_visformer_small_CosFace_AdamW.yaml	222	5	0.0	3.837	55.395	5.279	0.0	1.833	44.748	3.278
visformer_small	configs/visformer_small/config_visformer_small_CosFace_AdamW.yaml	222	6	0.0	3.025	54.349	6.395	0.0	1.964	45.505	4.214
visformer_small	configs/visformer_small/config_visformer_small_CosFace_AdamW.yaml	222	7	0.0	2.331	37.748	2.751	0.0	1.362	31.24	1.701
visformer_small	configs/visformer_small/config_visformer_small_CosFace_AdamW.yaml	222	8	0.0	1.991	41.062	2.782	0.0	1.794	36.672	2.262
visformer_small	configs/visformer_small/config_visformer_small_CosFace_AdamW.yaml	222	9	0.0	1.113	42.399	5.597	0.0	0.773	40.48	5.212
visformer_small	configs/visformer_small/config_visformer_small_CosFace_AdamW.yaml	222	10	0.0	0.616	38.63	4.304	0.0	0.707	36.401	3.89
visformer_small	configs/visformer_small/config_visformer_small_CosFace_AdamW.yaml	222	11	0.0	0.786	40.283	3.868	0.0	0.681	37.45	3.634
visformer_small	configs/visformer_small/config_visformer_small_CosFace_AdamW.yaml	222	12	0.0	0.93	32.569	3.268	0.0	0.786	30.668	3.032
visformer_small	configs/visformer_small/config_visformer_small_CosFace_AdamW.yaml	222	13	0.0	1.572	40.682	5.283	0.0	0.825	38.779	4.933
visformer_small	configs/visformer_small/config_visformer_small_CosFace_AdamW.yaml	222	14	0.0	1.506	46.891	6.689	0.0	1.048	41.072	5.578
visformer_small	configs/visformer_small/config_visformer_small_CosFace_AdamW.yaml	222	15	0.0	0.904	37.845	4.691	0.0	0.694	34.806	4.268
visformer_small	configs/visformer_small/config_visformer_small_CosFace_AdamW.yaml	222	16	0.0	1.349	43.538	7.044	0.0	1.205	37.919	5.674
visformer_small	configs/visformer_small/config_visformer_small_CosFace_AdamW.yaml	222	17	0.0	1.873	41.774	6.908	0.0	1.283	36.355	5.661
visformer_small	configs/visformer_small/config_visformer_small_CosFace_AdamW.yaml	222	18	0.0	1.847	37.686	5.825	0.0	1.676	33.602	4.679
visformer_small	configs/visformer_small/config_visformer_small_CosFace_AdamW.yaml	222	19	0.0	2.122	37.29	6.302	0.0	1.663	33.24	5.26
visformer_small	configs/visformer_small/config_visformer_small_CosFace_AdamW.yaml	222	20	0.0	0.76	34.916	3.194	0.0	0.642	30.822	2.607
