Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
visformer_small	configs_multi/visformer_small/config_visformer_small_MagFace_SGD.yaml	222	0	0.0	6.731	54.667	22.294	0.0	6.063	50.368	18.887
visformer_small	configs_multi/visformer_small/config_visformer_small_MagFace_SGD.yaml	222	1	0.0	6.155	51.458	18.152	0.0	5.513	48.614	16.369
visformer_small	configs_multi/visformer_small/config_visformer_small_MagFace_SGD.yaml	222	2	0.0	6.103	49.628	18.457	0.0	5.657	49.553	17.892
visformer_small	configs_multi/visformer_small/config_visformer_small_MagFace_SGD.yaml	222	3	0.0	6.469	44.025	16.557	0.0	6.351	49.08	19.155
visformer_small	configs_multi/visformer_small/config_visformer_small_MagFace_SGD.yaml	222	4	0.0	8.224	52.336	25.771	0.0	8.263	48.682	21.72
visformer_small	configs_multi/visformer_small/config_visformer_small_MagFace_SGD.yaml	222	5	0.0	9.979	45.4	21.294	0.0	8.931	45.46	20.74
visformer_small	configs_multi/visformer_small/config_visformer_small_MagFace_SGD.yaml	222	6	0.0	9.481	48.562	23.461	0.0	9.429	46.96	21.315
visformer_small	configs_multi/visformer_small/config_visformer_small_MagFace_SGD.yaml	222	7	0.0	10.778	48.704	25.406	0.0	10.359	48.182	23.877
visformer_small	configs_multi/visformer_small/config_visformer_small_MagFace_SGD.yaml	222	8	0.0	10.359	44.927	20.858	0.0	9.927	43.933	19.304
visformer_small	configs_multi/visformer_small/config_visformer_small_MagFace_SGD.yaml	222	9	0.0	11.433	49.986	25.949	0.0	10.699	48.892	24.051
visformer_small	configs_multi/visformer_small/config_visformer_small_MagFace_SGD.yaml	222	10	0.0	9.783	50.329	23.305	0.0	9.612	50.59	22.677
visformer_small	configs_multi/visformer_small/config_visformer_small_MagFace_SGD.yaml	222	11	0.0	11.027	50.102	24.531	0.0	10.398	47.198	21.103
visformer_small	configs_multi/visformer_small/config_visformer_small_MagFace_SGD.yaml	222	12	0.0	11.276	47.905	23.993	0.0	10.464	45.707	21.015
visformer_small	configs_multi/visformer_small/config_visformer_small_MagFace_SGD.yaml	222	13	0.0	11.262	48.361	24.248	0.0	10.568	46.482	21.99
visformer_small	configs_multi/visformer_small/config_visformer_small_MagFace_SGD.yaml	222	14	0.0	12.009	49.333	26.417	0.0	11.459	47.199	23.747
visformer_small	configs_multi/visformer_small/config_visformer_small_MagFace_SGD.yaml	222	15	0.0	12.245	48.851	26.157	0.0	11.629	47.699	24.187
visformer_small	configs_multi/visformer_small/config_visformer_small_MagFace_SGD.yaml	222	16	0.0	13.096	48.864	26.289	0.0	11.983	47.497	23.93
visformer_small	configs_multi/visformer_small/config_visformer_small_MagFace_SGD.yaml	222	17	0.0	12.533	47.172	24.945	0.0	11.917	44.607	21.754
visformer_small	configs_multi/visformer_small/config_visformer_small_MagFace_SGD.yaml	222	18	0.0	12.821	47.971	25.08	0.0	11.852	48.733	24.64
visformer_small	configs_multi/visformer_small/config_visformer_small_MagFace_SGD.yaml	222	19	0.0	13.855	49.685	28.936	0.0	13.109	45.795	24.169
visformer_small	configs_multi/visformer_small/config_visformer_small_MagFace_SGD.yaml	222	20	0.0	12.873	46.319	23.243	0.0	12.297	46.129	21.992
visformer_small	configs_multi/visformer_small/config_visformer_small_MagFace_SGD.yaml	222	21	0.0	13.842	46.442	24.119	0.0	12.454	48.581	24.576
visformer_small	configs_multi/visformer_small/config_visformer_small_MagFace_SGD.yaml	222	22	0.0	11.485	47.967	24.507	0.0	11.197	42.069	18.878
visformer_small	configs_multi/visformer_small/config_visformer_small_MagFace_SGD.yaml	222	23	0.0	14.576	45.937	25.229	0.0	13.816	47.1	24.769
visformer_small	configs_multi/visformer_small/config_visformer_small_MagFace_SGD.yaml	222	24	0.0	14.654	47.431	26.048	0.0	13.332	49.359	26.705
visformer_small	configs_multi/visformer_small/config_visformer_small_MagFace_SGD.yaml	222	25	0.0	13.711	47.249	24.588	0.0	12.572	45.83	22.684
visformer_small	configs_multi/visformer_small/config_visformer_small_MagFace_SGD.yaml	222	26	0.0	15.833	49.445	29.359	0.0	14.667	47.593	26.097
visformer_small	configs_multi/visformer_small/config_visformer_small_MagFace_SGD.yaml	222	27	0.0	14.261	45.489	24.722	0.0	14.563	43.563	22.168
visformer_small	configs_multi/visformer_small/config_visformer_small_MagFace_SGD.yaml	222	28	0.0	14.51	43.505	23.383	0.0	14.17	42.408	21.586
