ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8
0,6768,2935,296,2210,2836,3407,1001,2764,2469
1,6768,2935,296,2210,1935,1233,3518,2764,1289
2,6768,2935,296,3417,2559,1985,3518,1927,2469
3,6768,2146,2444,355,836,935,2396,2977,3063
4,6768,2146,2444,1378,1437,1251,2396,2977,1107
5,6768,1538,3,1894,836,1948,2319,3251,3404
6,6768,2699,3,1894,5270,1798,2025,3369,3034
7,6768,2621,1656,3091,1913,1472,2025,143,3034
8,6768,258,2952,153,1913,1472,1612,1500,3034
9,1261,837,2545,3254,3132,3287,1878,442,2031
10,6768,33,2571,3254,2369,3287,1878,442,2031
11,6768,837,2891,3254,235,3287,1878,3029,1793
12,2335,3347,296,2210,921,1833,1833,1380,1833
13,6768,221,1025,2953,321,604,2924,2616,1701
14,6768,258,296,2210,598,1268,3059,1380,2469
15,6768,33,2891,917,735,220,2303,877,327
16,1261,1286,2891,239,735,220,1119,1953,1052
17,6462,898,2891,239,1091,220,2303,2087,327
18,6768,3613,475,2479,1842,1022,1878,324,1315
19,6462,59,898,2914,2037,3589,2037,279,1877
20,6815,898,1148,2914,2122,467,1428,1377,1527
21,6462,59,296,917,598,182,3022,2616,1933
22,6768,3347,1651,2953,2978,3407,1878,1130,1664
23,6768,1975,1651,2210,1443,671,3022,2304,1933
24,6768,2772,1676,2932,921,2696,3093,1681,2275
25,6768,2772,3419,1442,1848,360,2350,3439,1165
26,6768,3289,3419,1055,2839,3472,2350,3190,3404
27,6815,1776,1340,2413,3891,1633,875,1212,1212
28,6099,258,724,2953,2406,70,986,1066,2339
29,1261,33,2444,2370,3172,2055,2303,2379,1502
30,1261,1538,3,917,249,1726,1199,245,249
31,1261,1538,3,239,2839,1322,3443,1764,649
32,1261,1538,475,917,249,360,1878,1845,360
33,6768,2772,393,930,568,2199,2550,2581,2715
34,6768,2862,1681,1390,921,3472,2550,420,1668
35,6768,2930,2616,2649,1443,1233,2236,2257,1668
36,6768,2910,3019,3019,1842,3287,807,3029,1793
37,6768,2910,363,1433,3397,2234,3244,3397,3397
38,6768,837,2444,3254,2237,3287,807,442,2031
39,6462,2222,3492,1514,1555,1985,2222,1927,291
40,6462,2938,3163,2210,249,1238,1199,2100,1063
41,6815,1558,1923,2210,2100,2434,2917,2100,286
42,1261,743,2996,2649,2236,3328,2236,65,1525
43,6768,2862,2996,172,172,2346,2236,156,1525
44,6768,59,2996,714,2060,3328,2236,156,1525
45,6768,33,1466,3254,2873,1985,1878,3101,3227
46,6768,2431,1977,2210,1298,2434,1878,3101,1315
47,6768,2431,1477,2210,1298,2470,1878,3101,1315
48,6768,1538,2891,1894,1052,1948,2319,3251,1107
49,6768,1608,716,3360,2833,1745,2319,3251,1107
50,6768,1538,2444,830,506,2055,152,3251,2864
51,6768,3613,2571,3254,2237,3287,2222,442,1686
52,6768,1975,2444,2444,2301,415,2222,2572,72
53,1261,1076,475,1369,2812,3287,2028,2266,2031
54,6768,3289,999,1442,3233,2055,152,3251,1191
55,6768,3289,2891,239,3233,220,1612,3251,1052
56,6768,59,1395,2625,3233,3589,2300,3251,2660
57,6768,1975,3492,2370,2301,1484,2222,1101,642
58,6768,2431,1651,1049,1935,3407,730,1654,291
59,6768,2431,1651,2536,2978,3407,997,1925,291
60,6768,432,2617,1234,836,3117,2396,2429,742
61,6768,2910,2444,1169,977,935,2319,685,1107
62,6462,3613,2159,3365,2895,935,2674,438,2895
63,6462,2431,3477,2230,1179,524,1309,59,291
64,6768,59,2597,2230,321,2434,2303,1623,327
65,6462,2431,3477,3417,1935,773,1309,1646,327
66,6815,180,2394,2711,2216,3287,3142,250,3397
67,6768,1558,2597,3322,1872,1758,3142,1758,2067
68,6768,180,3163,2711,2216,3287,2644,250,2435
69,6768,1975,4042,2388,117,2747,2222,2616,848
70,2263,1975,2952,2001,525,3407,2351,1303,742
71,6768,1975,3492,1336,117,1484,2222,13,642
72,6768,3613,2319,314,2895,935,2396,89,1107
73,6768,432,3,3360,2895,1017,2396,2977,3063
74,1261,432,1368,3360,2895,3117,2396,2977,3144
75,6768,1558,2597,1100,2559,1985,1599,437,2318
76,6768,601,3419,239,648,649,2303,420,472
77,6462,1865,1656,2210,1298,3195,1878,59,1341
78,6768,2910,2344,2230,321,213,1878,3101,1315
79,6768,59,2444,2370,2068,1989,1101,1101,3227
80,6768,1975,3492,2370,2068,1989,2,1101,6617
81,6768,2910,1709,2210,3244,2234,3498,2234,1082
82,6768,3453,363,2835,2839,2234,2674,3029,3165
83,6768,1126,1082,2835,2839,2234,2674,3148,642
84,6462,2431,2190,237,1298,74,681,681,2340
85,6768,2431,2736,237,1298,74,1599,3207,2039
86,6768,33,1395,2230,1298,2034,2303,3207,2340
87,6815,1558,3527,1369,249,1381,1878,2596,3509
88,6462,2910,442,782,423,448,1878,3438,2320
89,6768,837,2444,1717,1842,2578,1516,2892,327
90,6768,837,4554,153,197,106,2239,99,225
91,6768,837,2545,3254,249,2237,3440,225,225
92,6768,837,2444,109,235,373,1878,225,225
93,6768,2910,2444,2536,2352,2163,3140,563,291
94,6768,3289,2444,2370,1381,1381,414,611,858
95,6768,2910,2444,1303,2812,106,152,1303,742
96,1261,3613,3019,474,2895,935,2319,3343,1107
97,6768,601,2444,1658,2406,1460,2222,29,1212
98,6768,3613,5818,947,836,1012,2319,3029,3029
99,6462,59,2891,239,239,1381,414,16,1052
100,6768,1538,2891,239,3233,3522,814,1764,2746
101,6462,1538,3419,239,239,3522,1612,667,2746
102,6768,59,2575,898,921,898,377,59,932
103,6815,1975,1025,1055,774,2498,776,2616,2498
