Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
xception65	configs_multi/xception65/config_xception65_MagFace_SGD.yaml	222	0	0.0	19.932	23.827	13.133	0.0	13.292	25.065	12.53
xception65	configs_multi/xception65/config_xception65_MagFace_SGD.yaml	222	1	0.0	44.775	14.812	11.232	0.0	31.613	13.593	8.895
xception65	configs_multi/xception65/config_xception65_MagFace_SGD.yaml	222	2	0.0	47.682	7.957	6.189	0.0	33.853	9.026	5.983
xception65	configs_multi/xception65/config_xception65_MagFace_SGD.yaml	222	3	0.0	51.192	8.639	7.13	0.0	37.048	9.793	6.818
xception65	configs_multi/xception65/config_xception65_MagFace_SGD.yaml	222	4	0.0	55.54	8.906	7.765	0.0	41.737	9.858	7.365
xception65	configs_multi/xception65/config_xception65_MagFace_SGD.yaml	222	5	0.0	59.796	9.159	8.365	0.0	46.49	10.245	8.219
xception65	configs_multi/xception65/config_xception65_MagFace_SGD.yaml	222	6	0.0	62.834	9.3	8.714	0.0	47.905	10.075	8.253
xception65	configs_multi/xception65/config_xception65_MagFace_SGD.yaml	222	7	0.0	65.597	9.157	8.944	0.0	52.829	10.117	8.712
xception65	configs_multi/xception65/config_xception65_MagFace_SGD.yaml	222	8	0.0	67.142	9.513	9.442	0.0	55.029	10.413	9.121
xception65	configs_multi/xception65/config_xception65_MagFace_SGD.yaml	222	9	0.0	68.138	9.457	9.566	0.0	57.032	10.422	9.354
xception65	configs_multi/xception65/config_xception65_MagFace_SGD.yaml	222	10	0.0	69.801	9.52	9.836	0.0	58.709	10.578	9.575
xception65	configs_multi/xception65/config_xception65_MagFace_SGD.yaml	222	11	0.0	70.508	9.653	10.026	0.0	60.136	10.422	9.642
xception65	configs_multi/xception65/config_xception65_MagFace_SGD.yaml	222	12	0.0	71.294	9.9	10.34	0.0	61.341	10.599	9.917
xception65	configs_multi/xception65/config_xception65_MagFace_SGD.yaml	222	13	0.0	72.852	9.614	10.403	0.0	62.952	10.507	10.07
xception65	configs_multi/xception65/config_xception65_MagFace_SGD.yaml	222	14	0.0	72.748	9.631	10.449	0.0	64.301	10.592	10.224
xception65	configs_multi/xception65/config_xception65_MagFace_SGD.yaml	222	15	0.0	73.376	9.692	10.576	0.0	64.327	10.661	10.412
xception65	configs_multi/xception65/config_xception65_MagFace_SGD.yaml	222	16	0.0	74.411	9.725	10.692	0.0	65.964	10.674	10.476
xception65	configs_multi/xception65/config_xception65_MagFace_SGD.yaml	222	17	0.0	75.0	9.693	10.768	0.0	66.998	10.62	10.575
xception65	configs_multi/xception65/config_xception65_MagFace_SGD.yaml	222	18	0.0	75.76	9.632	10.702	0.0	66.003	10.733	10.718
xception65	configs_multi/xception65/config_xception65_MagFace_SGD.yaml	222	19	0.0	74.908	9.883	10.983	0.0	67.077	10.839	10.797
xception65	configs_multi/xception65/config_xception65_MagFace_SGD.yaml	222	20	0.0	76.218	9.704	10.86	0.0	67.968	10.59	10.64
xception65	configs_multi/xception65/config_xception65_MagFace_SGD.yaml	222	21	0.0	76.087	9.76	11.086	0.0	68.243	10.945	10.978
xception65	configs_multi/xception65/config_xception65_MagFace_SGD.yaml	222	22	0.0	76.912	9.847	11.17	0.0	69.028	10.803	10.912
xception65	configs_multi/xception65/config_xception65_MagFace_SGD.yaml	222	23	0.0	76.572	9.734	10.993	0.0	68.858	10.646	10.74
xception65	configs_multi/xception65/config_xception65_MagFace_SGD.yaml	222	24	0.0	76.558	9.96	11.273	0.0	68.793	10.739	10.931
xception65	configs_multi/xception65/config_xception65_MagFace_SGD.yaml	222	25	0.013	76.702	9.932	11.391	0.0	69.343	10.891	11.113
xception65	configs_multi/xception65/config_xception65_MagFace_SGD.yaml	222	26	0.0	77.357	9.869	11.368	0.0	69.919	10.879	11.23
xception65	configs_multi/xception65/config_xception65_MagFace_SGD.yaml	222	27	0.0	77.2	10.022	11.487	0.0	69.316	10.997	11.217
xception65	configs_multi/xception65/config_xception65_MagFace_SGD.yaml	222	28	0.0	77.816	9.954	11.453	0.0	69.474	10.924	11.193
xception65	configs_multi/xception65/config_xception65_MagFace_SGD.yaml	222	29	0.0	77.213	9.851	11.345	0.0	69.159	10.899	11.107
xception65	configs_multi/xception65/config_xception65_MagFace_SGD.yaml	222	30	0.0	77.567	10.062	11.517	0.0	69.775	10.927	11.258
xception65	configs_multi/xception65/config_xception65_MagFace_SGD.yaml	222	31	0.0	77.842	10.07	11.634	0.0	69.015	10.916	11.241
xception65	configs_multi/xception65/config_xception65_MagFace_SGD.yaml	222	32	0.0	77.842	9.913	11.388	0.0	69.984	10.922	11.297
xception65	configs_multi/xception65/config_xception65_MagFace_SGD.yaml	222	33	0.0	77.698	9.842	11.324	0.0	70.285	10.987	11.388
xception65	configs_multi/xception65/config_xception65_MagFace_SGD.yaml	222	34	0.0	78.025	10.088	11.56	0.0	70.416	10.939	11.356
xception65	configs_multi/xception65/config_xception65_MagFace_SGD.yaml	222	35	0.0	77.606	10.203	11.678	0.0	69.696	11.005	11.46
xception65	configs_multi/xception65/config_xception65_MagFace_SGD.yaml	222	36	0.0	77.711	10.109	11.58	0.0	70.272	10.97	11.301
xception65	configs_multi/xception65/config_xception65_MagFace_SGD.yaml	222	37	0.026	78.078	10.12	11.606	0.0	69.945	10.966	11.34
xception65	configs_multi/xception65/config_xception65_MagFace_SGD.yaml	222	38	0.013	77.737	10.113	11.749	0.0	70.024	11.101	11.441
