Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
xception	configs/xception/config_xception_CosFace_Adam.yaml	222	0	0.0	3.313	nan	0.14	0.0	0.445	nan	0.148
xception	configs/xception/config_xception_CosFace_Adam.yaml	222	1	0.0	0.393	0.0	0.0	0.0	0.0	0.0	0.0
xception	configs/xception/config_xception_CosFace_Adam.yaml	222	2	0.0	0.393	0.0	0.0	0.0	0.0	0.0	0.0
xception	configs/xception/config_xception_CosFace_Adam.yaml	222	3	0.0	2.135	0.179	0.003	0.0	0.079	0.091	0.001
xception	configs/xception/config_xception_CosFace_Adam.yaml	222	4	0.0	0.681	nan	0.0	0.0	0.039	nan	0.0
xception	configs/xception/config_xception_CosFace_Adam.yaml	222	5	0.0	17.129	nan	0.015	0.0	5.356	nan	0.01
xception	configs/xception/config_xception_CosFace_Adam.yaml	222	6	0.0	1.833	nan	0.019	0.0	0.262	nan	0.007
xception	configs/xception/config_xception_CosFace_Adam.yaml	222	7	0.0	0.367	nan	0.0	0.0	0.0	nan	0.0
xception	configs/xception/config_xception_CosFace_Adam.yaml	222	8	0.0	11.079	nan	0.01	0.0	4.112	nan	0.015
xception	configs/xception/config_xception_CosFace_Adam.yaml	222	9	0.0	0.812	nan	0.023	0.0	0.0	0.012	0.0
xception	configs/xception/config_xception_CosFace_Adam.yaml	222	10	0.0	0.471	1.397	0.053	0.0	0.013	0.652	0.014
xception	configs/xception/config_xception_CosFace_Adam.yaml	222	11	0.0	0.642	6.681	0.152	0.0	0.131	4.274	0.071
xception	configs/xception/config_xception_CosFace_Adam.yaml	222	12	0.0	0.393	0.0	0.0	0.0	0.0	0.0	0.0
xception	configs/xception/config_xception_CosFace_Adam.yaml	222	13	0.0	4.963	nan	0.044	0.0	0.249	nan	0.021
xception	configs/xception/config_xception_CosFace_Adam.yaml	222	14	0.0	2.043	8.205	0.101	0.0	0.275	5.381	0.054
xception	configs/xception/config_xception_CosFace_Adam.yaml	222	15	0.0	11.839	16.216	0.083	0.0	4.662	16.144	0.086
xception	configs/xception/config_xception_CosFace_Adam.yaml	222	16	0.0	2.816	nan	0.009	0.0	0.144	nan	0.008
xception	configs/xception/config_xception_CosFace_Adam.yaml	222	17	0.0	0.773	nan	0.0	0.0	0.0	nan	0.0
xception	configs/xception/config_xception_CosFace_Adam.yaml	222	18	0.0	16.003	1.124	0.044	0.0	4.701	1.14	0.046
xception	configs/xception/config_xception_CosFace_Adam.yaml	222	19	0.0	0.943	nan	0.004	0.0	0.052	nan	0.001
xception	configs/xception/config_xception_CosFace_Adam.yaml	222	20	0.0	0.393	nan	0.0	0.0	0.0	nan	0.0
xception	configs/xception/config_xception_CosFace_Adam.yaml	222	21	0.0	0.393	0.0	0.0	0.0	0.0	0.0	0.0
xception	configs/xception/config_xception_CosFace_Adam.yaml	222	22	0.0	10.909	29.228	0.38	0.0	3.274	29.762	0.387
xception	configs/xception/config_xception_CosFace_Adam.yaml	222	23	0.0	0.393	0.0	0.0	0.0	0.0	0.0	0.0
xception	configs/xception/config_xception_CosFace_Adam.yaml	222	24	0.0	1.676	1.083	0.007	0.0	1.008	1.885	0.018
xception	configs/xception/config_xception_CosFace_Adam.yaml	222	25	0.0	0.956	0.136	0.004	0.0	0.092	0.112	0.003
xception	configs/xception/config_xception_CosFace_Adam.yaml	222	26	0.0	1.048	2.592	0.026	0.0	0.314	3.769	0.041
xception	configs/xception/config_xception_CosFace_Adam.yaml	222	27	0.0	0.524	0.001	0.0	0.0	0.0	0.0	0.0
xception	configs/xception/config_xception_CosFace_Adam.yaml	222	28	0.0	0.786	nan	0.0	0.0	0.0	nan	0.0
xception	configs/xception/config_xception_CosFace_Adam.yaml	222	29	0.0	3.208	0.374	0.003	0.0	0.314	0.258	0.004
xception	configs/xception/config_xception_CosFace_Adam.yaml	222	30	0.0	0.419	0.0	0.0	0.0	0.0	0.0	0.0
xception	configs/xception/config_xception_CosFace_Adam.yaml	222	31	0.0	0.393	0.0	0.0	0.0	0.0	0.0	0.0
xception	configs/xception/config_xception_CosFace_Adam.yaml	222	32	0.0	0.524	nan	0.018	0.0	0.013	nan	0.024
xception	configs/xception/config_xception_CosFace_Adam.yaml	222	33	0.0	0.393	nan	0.033	0.0	0.0	nan	0.058
xception	configs/xception/config_xception_CosFace_Adam.yaml	222	34	0.0	0.471	nan	0.096	0.0	0.065	nan	0.032
xception	configs/xception/config_xception_CosFace_Adam.yaml	222	35	0.0	0.393	nan	0.0	0.0	0.0	nan	0.002
xception	configs/xception/config_xception_CosFace_Adam.yaml	222	36	0.0	0.445	nan	0.015	0.0	0.026	nan	0.008
xception	configs/xception/config_xception_CosFace_Adam.yaml	222	37	0.0	0.76	nan	0.001	0.0	0.0	nan	0.001
xception	configs/xception/config_xception_CosFace_Adam.yaml	222	38	0.0	1.545	nan	0.028	0.0	0.485	0.75	0.035
xception	configs/xception/config_xception_CosFace_Adam.yaml	222	39	0.0	0.419	nan	0.0	0.0	0.0	nan	0.0
