Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
cspdarknet53	configs_unified_lr_R2/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	0	0.0	15.571	7.919	3.352	0.0	12.101	7.657	3.101
cspdarknet53	configs_unified_lr_R2/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	1	0.0	37.297	8.811	5.794	0.0	26.1	9.313	5.545
cspdarknet53	configs_unified_lr_R2/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	2	0.0	46.333	9.084	6.56	0.0	33.918	9.707	6.418
cspdarknet53	configs_unified_lr_R2/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	3	0.0	52.279	8.747	6.865	0.0	37.729	9.517	6.628
cspdarknet53	configs_unified_lr_R2/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	4	0.0	58.525	8.803	7.483	0.0	43.806	9.537	7.17
cspdarknet53	configs_unified_lr_R2/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	5	0.0	62.415	8.463	7.554	0.0	49.83	9.238	7.397
cspdarknet53	configs_unified_lr_R2/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	6	0.0	65.663	8.466	7.927	0.0	52.082	8.938	7.44
cspdarknet53	configs_unified_lr_R2/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	7	0.0	66.606	8.294	7.961	0.0	53.929	9.091	7.813
cspdarknet53	configs_unified_lr_R2/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	8	0.0	68.937	8.133	7.993	0.0	56.312	8.755	7.725
cspdarknet53	configs_unified_lr_R2/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	9	0.0	71.634	8.134	8.154	0.0	58.552	8.931	7.996
cspdarknet53	configs_unified_lr_R2/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	10	0.0	71.975	7.995	8.148	0.0	57.871	8.989	8.021
cspdarknet53	configs_unified_lr_R2/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	11	0.0	72.328	7.913	8.167	0.0	60.215	8.641	7.937
cspdarknet53	configs_unified_lr_R2/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	12	0.0	74.162	7.945	8.297	0.0	62.611	8.691	8.121
cspdarknet53	configs_unified_lr_R2/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	13	0.0	75.275	7.785	8.255	0.0	63.58	8.588	8.198
cspdarknet53	configs_unified_lr_R2/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	14	0.0	74.882	7.844	8.382	0.0	64.288	8.631	8.276
cspdarknet53	configs_unified_lr_R2/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	15	0.0	76.572	7.65	8.296	0.0	66.317	8.553	8.326
cspdarknet53	configs_unified_lr_R2/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	16	0.0	75.76	7.769	8.409	0.0	66.71	8.485	8.353
cspdarknet53	configs_unified_lr_R2/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	17	0.0	76.139	7.66	8.354	0.0	66.828	8.553	8.461
cspdarknet53	configs_unified_lr_R2/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	18	0.0	76.794	7.713	8.428	0.0	67.509	8.445	8.348
cspdarknet53	configs_unified_lr_R2/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	19	0.0	76.951	7.655	8.418	0.0	67.968	8.442	8.422
cspdarknet53	configs_unified_lr_R2/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	20	0.0	76.886	7.788	8.578	0.0	68.151	8.394	8.425
cspdarknet53	configs_unified_lr_R2/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	21	0.0	76.977	7.656	8.539	0.0	68.701	8.401	8.547
cspdarknet53	configs_unified_lr_R2/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	22	0.0	76.964	7.64	8.46	0.0	68.609	8.462	8.495
cspdarknet53	configs_unified_lr_R2/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	23	0.0	77.58	7.531	8.403	0.0	68.557	8.383	8.479
cspdarknet53	configs_unified_lr_R2/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	24	0.0	77.541	7.695	8.562	0.0	70.364	8.427	8.643
cspdarknet53	configs_unified_lr_R2/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	25	0.0	77.41	7.659	8.544	0.0	70.443	8.284	8.503
cspdarknet53	configs_unified_lr_R2/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	26	0.0	78.091	7.727	8.584	0.0	69.893	8.337	8.555
cspdarknet53	configs_unified_lr_R2/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	27	0.0	77.462	7.558	8.519	0.0	70.351	8.381	8.564
cspdarknet53	configs_unified_lr_R2/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	28	0.0	76.833	7.651	8.549	0.0	70.718	8.391	8.638
cspdarknet53	configs_unified_lr_R2/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	29	0.0	78.091	7.57	8.561	0.0	70.416	8.346	8.586
cspdarknet53	configs_unified_lr_R2/cspdarknet53/config_cspdarknet53_ArcFace_AdamW_0.001_cosine.yaml	222	30	0.0	77.894	7.607	8.524	0.0	70.364	8.36	8.556
