Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_AdamW.yaml	222	0	0.0	8.578	25.185	8.094	0.0	7.111	24.156	7.324
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_AdamW.yaml	222	1	0.0	20.626	24.231	12.453	0.0	15.283	23.455	10.977
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_AdamW.yaml	222	2	0.0	35.346	25.796	16.903	0.0	26.807	25.641	15.129
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_AdamW.yaml	222	3	0.0	47.865	26.612	20.395	0.0	37.755	27.575	18.839
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_AdamW.yaml	222	4	0.0	57.556	28.332	23.308	0.0	45.626	29.5	21.934
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_AdamW.yaml	222	5	0.0	65.505	29.132	26.233	0.0	53.143	30.154	24.215
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_AdamW.yaml	222	6	0.0	70.128	30.472	28.917	0.0	58.25	31.483	26.522
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_AdamW.yaml	222	7	0.0	72.197	31.826	30.735	0.0	62.14	32.331	28.08
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_AdamW.yaml	222	8	0.0	75.406	35.906	36.071	0.0	65.885	37.239	33.656
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_AdamW.yaml	222	9	0.0	77.108	39.159	40.456	0.0	69.094	40.156	37.729
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_AdamW.yaml	222	10	0.0	79.243	43.385	47.737	0.0	71.15	43.978	43.636
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_AdamW.yaml	222	11	0.0	80.5	45.656	52.523	0.0	72.132	46.895	48.849
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_AdamW.yaml	222	12	0.0	80.697	46.114	53.413	0.0	74.646	48.05	51.374
