Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	0	0.0	5.186	15.795	5.228	0.0	4.701	15.521	5.11
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	1	0.0	6.443	15.649	5.186	0.0	5.513	15.386	5.029
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	2	0.0	7.229	16.192	5.17	0.0	6.011	15.877	5.026
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	3	0.0	8.46	17.445	5.239	0.0	7.425	16.936	4.99
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	4	0.0	9.167	18.359	5.312	0.0	8.002	17.837	4.962
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	5	0.0	9.848	18.736	5.45	0.0	8.211	18.208	5.055
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	6	0.0	9.94	19.216	5.64	0.0	8.224	18.725	5.221
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	7	0.0	10.32	19.557	5.88	0.0	8.63	19.105	5.447
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	8	0.0	10.686	20.074	6.201	0.0	8.8	19.644	5.703
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	9	0.0	10.778	20.519	6.539	0.0	8.984	20.144	6.006
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	10	0.0	11.053	21.075	6.941	0.0	9.18	20.66	6.382
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	11	0.0	11.289	21.234	7.205	0.0	9.521	21.014	6.654
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	12	0.0	11.826	21.715	7.552	0.0	9.455	21.46	6.983
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	13	0.0	11.852	21.993	7.85	0.0	9.966	21.785	7.248
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	14	0.0	12.336	22.214	8.138	0.0	10.228	22.144	7.56
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	15	0.0	12.48	22.52	8.418	0.0	10.568	22.378	7.804
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	16	0.0	13.305	22.745	8.687	0.0	10.948	22.691	8.069
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	17	0.0	13.476	22.902	8.946	0.0	11.354	22.811	8.268
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	18	0.0	13.921	23.026	9.149	0.0	11.59	23.008	8.479
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	19	0.0	14.536	23.046	9.372	0.0	12.087	23.098	8.689
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	20	0.0	14.733	23.249	9.657	0.0	12.258	23.263	8.875
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	21	0.0	15.204	23.249	9.872	0.0	12.834	23.198	9.02
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	22	0.0	15.925	23.223	10.059	0.0	12.69	23.275	9.187
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	23	0.0	16.566	23.293	10.262	0.0	13.292	23.467	9.409
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	24	0.0	17.038	23.17	10.385	0.0	13.685	23.36	9.493
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	25	0.0	17.417	23.352	10.604	0.0	14.117	23.631	9.728
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	26	0.0	17.915	23.197	10.737	0.0	14.733	23.676	9.895
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	27	0.0	18.387	23.404	10.968	0.0	14.55	23.655	9.992
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	28	0.0	19.12	23.249	11.043	0.0	14.942	23.78	10.182
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	29	0.0	19.316	23.419	11.251	0.0	15.479	23.722	10.277
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	30	0.0	19.788	23.317	11.354	0.0	15.767	23.754	10.457
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	31	0.0	20.246	23.498	11.564	0.0	16.121	23.719	10.514
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	32	0.0	20.718	23.445	11.671	0.0	16.789	23.901	10.702
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	33	0.0	21.124	23.464	11.789	0.0	17.012	23.779	10.803
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	34	0.0	21.503	23.459	11.894	0.0	17.391	23.957	10.99
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	35	0.0	22.119	23.53	12.079	0.0	17.941	23.876	11.057
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	36	0.0	22.525	23.503	12.155	0.0	18.373	24.121	11.31
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	37	0.0	22.97	23.556	12.315	0.0	18.662	24.028	11.389
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	38	0.0	23.18	23.51	12.381	0.0	19.002	24.227	11.537
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	39	0.0	24.28	23.467	12.475	0.0	19.631	24.238	11.707
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	40	0.0	24.45	23.659	12.665	0.0	19.906	24.241	11.764
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	41	0.0	24.738	23.686	12.785	0.0	20.076	24.194	11.827
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	42	0.0	25.183	23.788	12.938	0.0	20.822	24.15	11.876
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	43	0.0	25.786	23.74	13.019	0.0	20.665	24.33	12.065
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	44	0.0	26.139	23.828	13.146	0.0	21.032	24.248	12.102
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	45	0.0	26.847	23.697	13.181	0.0	21.569	24.399	12.302
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	46	0.0	27.03	23.811	13.34	0.0	22.014	24.406	12.387
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	47	0.0	27.305	23.958	13.437	0.0	21.87	24.485	12.427
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	48	0.0	27.816	23.883	13.498	0.0	22.381	24.491	12.562
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	49	0.0	27.829	23.867	13.569	0.0	22.577	24.447	12.617
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	50	0.0	28.457	23.913	13.685	0.0	22.944	24.452	12.683
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	51	0.0	28.929	23.957	13.785	0.0	23.442	24.531	12.806
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	52	0.0	29.557	23.884	13.799	0.0	23.533	24.6	12.894
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	53	0.0	29.505	24.075	13.973	0.0	24.005	24.606	12.959
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	54	0.0	30.291	24.022	13.99	0.0	24.162	24.643	13.016
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	55	0.0	30.474	24.051	14.099	0.0	24.227	24.568	13.059
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	56	0.0	30.644	24.046	14.18	0.0	24.476	24.54	13.094
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	57	0.0	31.194	24.085	14.255	0.0	25.249	24.614	13.203
cspdarknet53	configs_multi_R2/cspdarknet53/config_cspdarknet53_CosFace_SGD.yaml	222	58	0.0	31.142	24.137	14.323	0.0	25.196	24.613	13.224
