Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
cspdarknet53	configs_R2/cspdarknet53/config_cspdarknet53_CosFace_adam.yaml	222	0	0.0	3.562	23.159	2.691	0.0	3.13	19.103	2.011
cspdarknet53	configs_R2/cspdarknet53/config_cspdarknet53_CosFace_adam.yaml	222	1	0.0	8.028	23.02	6.0	0.0	6.417	21.992	5.142
cspdarknet53	configs_R2/cspdarknet53/config_cspdarknet53_CosFace_adam.yaml	222	2	0.0	16.252	22.408	9.16	0.0	10.961	22.651	8.434
cspdarknet53	configs_R2/cspdarknet53/config_cspdarknet53_CosFace_adam.yaml	222	3	0.0	28.483	25.856	14.246	0.0	19.395	25.855	12.907
cspdarknet53	configs_R2/cspdarknet53/config_cspdarknet53_CosFace_adam.yaml	222	4	0.0	38.332	30.259	19.731	0.0	26.008	31.149	17.621
cspdarknet53	configs_R2/cspdarknet53/config_cspdarknet53_CosFace_adam.yaml	222	5	0.0	47.905	35.457	26.157	0.0	33.774	35.616	23.557
cspdarknet53	configs_R2/cspdarknet53/config_cspdarknet53_CosFace_adam.yaml	222	6	0.0	54.885	40.206	33.689	0.0	43.125	39.276	29.329
cspdarknet53	configs_R2/cspdarknet53/config_cspdarknet53_CosFace_adam.yaml	222	7	0.0	59.94	45.011	40.785	0.0	49.62	45.537	38.213
cspdarknet53	configs_R2/cspdarknet53/config_cspdarknet53_CosFace_adam.yaml	222	8	0.0	62.467	47.644	45.131	0.0	51.912	48.909	42.829
cspdarknet53	configs_R2/cspdarknet53/config_cspdarknet53_CosFace_adam.yaml	222	9	0.0	66.422	49.217	49.901	0.0	57.294	50.406	47.422
cspdarknet53	configs_R2/cspdarknet53/config_cspdarknet53_CosFace_adam.yaml	222	10	0.0	68.819	49.467	50.906	0.0	59.547	51.558	49.907
cspdarknet53	configs_R2/cspdarknet53/config_cspdarknet53_CosFace_adam.yaml	222	11	0.0	72.407	50.537	55.095	0.0	62.598	51.978	52.014
cspdarknet53	configs_R2/cspdarknet53/config_cspdarknet53_CosFace_adam.yaml	222	12	0.0	65.689	51.294	51.679	0.0	57.7	52.926	49.75
cspdarknet53	configs_R2/cspdarknet53/config_cspdarknet53_CosFace_adam.yaml	222	13	0.0	72.695	51.271	56.431	0.0	63.62	53.349	54.279
cspdarknet53	configs_R2/cspdarknet53/config_cspdarknet53_CosFace_adam.yaml	222	14	0.0	64.17	52.653	52.215	0.0	52.632	53.252	46.672
cspdarknet53	configs_R2/cspdarknet53/config_cspdarknet53_CosFace_adam.yaml	222	15	0.0	77.226	51.357	59.655	0.0	70.299	53.457	57.979
cspdarknet53	configs_R2/cspdarknet53/config_cspdarknet53_CosFace_adam.yaml	222	16	0.0	76.755	51.247	58.378	0.0	70.98	53.166	57.831
cspdarknet53	configs_R2/cspdarknet53/config_cspdarknet53_CosFace_adam.yaml	222	17	0.0	78.169	51.655	60.657	0.0	72.761	53.703	59.852
cspdarknet53	configs_R2/cspdarknet53/config_cspdarknet53_CosFace_adam.yaml	222	18	0.0	81.037	51.286	62.219	0.0	73.704	53.33	59.6
cspdarknet53	configs_R2/cspdarknet53/config_cspdarknet53_CosFace_adam.yaml	222	19	0.0	75.576	52.141	59.575	0.0	72.184	54.022	59.403
cspdarknet53	configs_R2/cspdarknet53/config_cspdarknet53_CosFace_adam.yaml	222	20	0.0	79.125	52.303	62.588	0.0	75.118	54.003	61.563
cspdarknet53	configs_R2/cspdarknet53/config_cspdarknet53_CosFace_adam.yaml	222	21	0.0	76.716	52.067	60.599	0.0	74.725	54.047	61.65
cspdarknet53	configs_R2/cspdarknet53/config_cspdarknet53_CosFace_adam.yaml	222	22	0.0	82.635	51.291	63.035	0.0	76.676	53.638	61.711
