Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	0	0.0	6.404	7.988	2.263	0.0	4.099	7.978	1.892
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	1	0.0	17.391	8.593	4.081	0.0	10.856	8.71	3.618
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	2	0.0	30.671	9.095	5.499	0.0	20.561	9.688	5.317
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	3	0.0	38.096	8.959	6.028	0.0	25.864	9.464	5.741
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	4	0.0	44.212	9.129	6.642	0.0	29.701	9.708	6.247
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	5	0.0	48.219	8.795	6.675	0.0	34.102	9.876	6.8
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	6	0.0	51.611	8.537	6.872	0.0	37.729	9.627	6.898
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	7	0.0	54.007	8.626	7.143	0.0	40.702	9.615	7.073
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	8	0.0	58.525	8.444	7.251	0.0	43.321	9.281	7.075
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	9	0.0	59.914	8.38	7.383	0.0	45.312	9.257	7.224
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	10	0.0	62.69	8.393	7.58	0.0	48.245	9.267	7.463
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	11	0.0	63.515	8.268	7.657	0.0	48.848	9.335	7.538
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	12	0.0	64.995	8.34	7.717	0.0	50.039	9.183	7.615
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	13	0.0	66.186	8.239	7.89	0.0	51.912	9.104	7.696
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	14	0.0	66.566	8.121	7.777	0.0	51.977	8.932	7.491
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	15	0.0	68.177	8.015	7.788	0.0	53.994	8.841	7.659
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	16	0.0	68.504	8.023	7.947	0.0	55.579	9.005	7.899
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	17	0.0	68.635	8.043	7.939	0.0	56.129	8.835	7.72
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	18	0.0	67.863	8.086	7.773	0.0	55.867	8.79	7.717
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	19	0.0	69.722	8.049	8.017	0.0	57.91	8.8	7.861
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	20	0.0	69.866	7.981	8.018	0.0	57.648	8.681	7.769
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	21	0.0	70.993	7.95	8.055	0.0	58.499	8.886	7.968
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	22	0.0	71.543	7.869	8.047	0.0	59.743	8.718	7.982
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	23	0.0	71.634	7.903	8.022	0.0	59.874	8.711	7.977
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	24	0.0	72.381	7.809	8.092	0.0	60.595	8.632	7.96
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	25	0.0	71.661	7.912	8.11	0.0	61.289	8.598	8.081
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	26	0.0	71.019	7.784	7.985	0.0	61.485	8.7	8.024
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	27	0.0	69.526	7.944	7.969	0.0	59.717	8.898	8.06
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	28	0.0	72.014	7.814	8.074	0.0	61.446	8.572	7.981
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	29	0.0	71.53	7.822	8.125	0.0	62.467	8.66	8.076
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	30	0.0	71.765	7.84	8.129	0.0	62.939	8.548	7.949
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	31	0.0	72.355	7.873	8.106	0.0	62.127	8.627	8.068
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	32	0.0	72.368	7.835	8.208	0.0	63.724	8.692	8.238
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	33	0.0	72.197	7.856	8.144	0.0	61.943	8.588	8.047
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	34	0.0	71.359	7.916	8.216	0.0	62.585	8.655	8.145
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	35	0.0	71.674	7.756	8.033	0.0	63.266	8.726	8.163
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	36	0.0	72.459	7.902	8.239	0.0	62.926	8.595	8.098
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	37	0.0	72.473	7.935	8.252	0.0	62.808	8.769	8.25
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	38	0.0	71.399	7.874	8.099	0.0	62.362	8.689	8.152
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	39	0.0	72.027	7.837	8.054	0.0	62.336	8.656	8.128
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	40	0.0	71.713	7.912	8.209	0.0	62.258	8.557	8.007
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	41	0.0	69.395	7.947	7.981	0.0	62.009	8.642	8.102
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	42	0.0	71.228	7.744	8.001	0.0	62.598	8.641	8.105
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	43	0.0	71.137	7.85	8.065	0.0	62.218	8.539	7.988
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	44	0.0	70.22	7.933	8.083	0.0	62.179	8.544	7.916
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_ArcFace_AdamW.yaml	222	45	0.0	70.927	7.875	8.041	0.0	62.232	8.745	8.177
