Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW.yaml	222	0	0.0	12.572	15.67	6.18	0.0	8.015	16.129	5.776
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW.yaml	222	1	0.0	31.365	16.111	10.023	0.0	21.228	15.756	8.608
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW.yaml	222	2	0.0	40.021	15.928	10.987	0.0	28.353	16.785	10.416
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW.yaml	222	3	0.0	51.008	15.384	12.043	0.0	35.621	16.161	11.07
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW.yaml	222	4	0.0	57.163	14.91	12.505	0.0	41.946	16.728	12.261
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW.yaml	222	5	0.0	61.655	15.111	13.128	0.0	46.634	16.01	12.32
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW.yaml	222	6	0.0	65.833	14.059	12.95	0.0	51.545	15.852	12.746
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW.yaml	222	7	0.0	69.238	13.982	13.374	0.0	54.911	15.708	13.244
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW.yaml	222	8	0.0	71.346	14.102	13.872	0.0	57.203	15.29	13.238
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW.yaml	222	9	0.013	72.499	13.899	13.878	0.0	58.892	14.943	13.209
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW.yaml	222	10	0.0	73.625	13.769	13.985	0.0	60.464	15.192	13.732
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW.yaml	222	11	0.013	75.052	13.642	14.071	0.0	62.978	15.026	13.691
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW.yaml	222	12	0.0	75.838	13.489	14.055	0.0	64.078	14.754	13.692
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW.yaml	222	13	0.0	77.344	13.492	14.462	0.0	66.435	14.468	13.83
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW.yaml	222	14	0.0	77.737	13.431	14.369	0.0	67.247	14.826	14.173
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW.yaml	222	15	0.0	78.248	13.588	14.596	0.0	67.208	14.557	14.182
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW.yaml	222	16	0.0	78.955	13.328	14.62	0.0	68.989	14.682	14.498
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW.yaml	222	17	0.0	79.492	13.309	14.616	0.0	69.749	14.578	14.399
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW.yaml	222	18	0.0	79.243	13.162	14.477	0.0	69.447	14.456	14.216
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW.yaml	222	19	0.0	80.304	13.124	14.654	0.0	70.849	14.496	14.637
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW.yaml	222	20	0.0	80.356	13.284	14.793	0.0	71.582	14.425	14.518
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW.yaml	222	21	0.0	79.662	13.104	14.562	0.0	71.163	14.376	14.368
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW.yaml	222	22	0.0	80.736	13.159	14.683	0.0	72.656	14.475	14.524
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW.yaml	222	23	0.0	80.12	13.094	14.654	0.0	72.119	14.495	14.694
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW.yaml	222	24	0.0	80.644	13.012	14.665	0.0	72.826	14.278	14.648
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW.yaml	222	25	0.0	81.836	13.14	14.922	0.0	73.298	14.194	14.67
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW.yaml	222	26	0.013	79.164	13.067	14.493	0.0	71.543	14.512	14.715
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW.yaml	222	27	0.013	80.815	12.989	14.595	0.0	72.957	14.422	14.657
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW.yaml	222	28	0.0	80.723	13.076	14.808	0.0	72.839	14.505	14.869
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW.yaml	222	29	0.0	80.54	13.294	14.922	0.0	73.311	14.357	14.712
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW.yaml	222	30	0.0	80.644	13.228	14.774	0.0	72.59	14.647	14.919
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW.yaml	222	31	0.0	81.037	13.161	14.942	0.0	73.834	14.532	14.926
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW.yaml	222	32	0.0	80.579	13.125	14.833	0.0	73.009	14.398	14.723
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW.yaml	222	33	0.0	80.409	13.293	14.944	0.0	73.219	14.308	14.632
