Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	0	0.0	17.601	18.726	8.729	0.0	15.388	17.993	8.128
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	1	0.0	25.052	10.049	5.381	0.0	20.115	9.472	4.739
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	2	0.0	43.544	11.229	7.922	0.0	30.33	12.236	7.741
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	3	0.0	48.468	11.822	8.831	0.0	34.089	12.585	8.351
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	4	0.0	59.887	11.711	9.957	0.0	44.984	12.635	9.531
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	5	0.0	64.563	11.649	10.487	0.0	50.943	12.69	10.224
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	6	0.0	67.404	11.515	10.957	0.0	55.553	12.574	10.513
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	7	0.0	69.866	11.282	11.071	0.0	58.277	12.335	10.813
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	8	0.0	71.412	11.149	11.037	0.0	60.778	12.439	11.119
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	9	0.0	72.983	11.449	11.614	0.0	62.873	12.309	11.392
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	10	0.0	75.602	11.129	11.767	0.0	64.995	12.428	11.845
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	11	0.0	76.244	11.075	11.739	0.0	65.27	11.861	11.299
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	12	0.0	76.454	11.032	11.784	0.0	67.666	12.324	11.985
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	13	0.0	77.501	10.846	11.633	0.0	68.098	12.157	11.866
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	14	0.0	77.318	11.014	11.823	0.0	68.924	12.508	12.315
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	15	0.0	76.179	11.313	12.075	0.0	68.295	12.509	12.087
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	16	0.0	76.545	11.216	11.993	0.0	68.491	12.392	12.313
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	17	0.0	78.222	11.042	12.149	0.0	70.796	12.527	12.574
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	18	0.0	78.811	10.871	12.107	0.0	71.451	11.885	11.911
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	19	0.0	79.295	10.769	12.036	0.0	71.975	12.113	12.386
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	20	0.0	80.788	10.845	12.392	0.0	73.625	12.001	12.555
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	21	0.0	80.356	10.836	12.33	0.0	73.481	12.044	12.512
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	22	0.0	80.815	10.644	12.02	0.0	73.992	11.968	12.429
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	23	0.0	79.269	10.847	12.147	0.0	73.874	12.167	12.555
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	24	0.0	80.932	10.975	12.528	0.0	73.167	11.723	12.198
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	25	0.0	80.225	10.971	12.577	0.0	73.546	12.325	12.871
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	26	0.0	81.011	10.731	12.356	0.0	74.463	12.185	12.72
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	27	0.0	80.592	10.673	12.258	0.0	75.367	12.017	12.722
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	28	0.0	80.998	10.671	12.214	0.0	73.533	11.931	12.346
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	29	0.0	80.893	10.746	12.096	0.0	73.376	11.998	12.534
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	30	0.0	80.959	10.552	12.033	0.0	73.206	11.99	12.415
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	31	0.0	81.351	10.768	12.539	0.0	75.354	12.059	12.828
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	32	0.0	80.448	10.995	12.589	0.0	74.044	11.985	12.656
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	33	0.0	81.142	10.749	12.448	0.0	74.594	12.264	12.898
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	34	0.0	81.718	10.912	12.575	0.0	75.34	11.838	12.565
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	35	0.0	80.959	10.637	12.296	0.0	74.476	11.996	12.643
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	36	0.0	81.81	11.058	12.723	0.0	75.864	11.973	12.717
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	37	0.0	81.784	10.777	12.398	0.0	75.367	12.005	12.67
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	38	0.0	82.242	10.649	12.285	0.0	74.751	11.645	12.471
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	39	0.0	80.841	10.696	12.167	0.0	74.319	11.84	12.466
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	40	0.0	81.888	10.742	12.486	0.0	75.17	12.013	12.737
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	41	0.0	81.103	10.799	12.396	0.0	75.196	12.018	12.772
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	42	0.0	81.391	10.609	12.27	0.0	75.131	11.818	12.522
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	43	0.0	81.312	10.686	12.326	0.0	74.935	11.732	12.449
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	44	0.0	81.247	10.871	12.671	0.0	75.196	11.792	12.426
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	45	0.0	81.496	10.763	12.38	0.0	75.576	11.989	12.859
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	46	0.0	81.705	10.852	12.424	0.0	74.895	11.863	12.511
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	47	0.0	81.522	10.897	12.639	0.0	75.485	11.562	12.273
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	48	0.0	82.006	10.705	12.393	0.0	75.367	11.423	12.198
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	49	0.0	81.98	10.484	12.116	0.0	74.908	12.055	12.664
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	50	0.0	82.006	10.603	12.293	0.0	75.039	12.014	12.618
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	51	0.0	80.998	10.604	12.085	0.0	75.616	11.496	12.029
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	52	0.0	81.43	10.882	12.566	0.0	76.048	11.929	12.69
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	53	0.0	80.998	10.983	12.607	0.0	74.188	12.168	12.618
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	54	0.0	80.88	10.66	12.24	0.0	74.843	11.961	12.619
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	55	0.0	81.849	10.626	12.206	0.0	75.275	12.103	12.825
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	56	0.0	81.705	10.867	12.513	0.0	75.786	11.93	12.627
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	57	0.0	80.134	10.822	12.357	0.0	75.524	11.982	12.566
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	58	0.0	81.574	10.604	12.257	0.0	74.843	12.048	12.637
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	59	0.0	80.526	10.97	12.563	0.0	74.332	12.039	12.559
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	60	0.0	80.579	10.68	12.134	0.0	74.764	12.26	12.782
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	61	0.0	80.88	10.84	12.534	0.0	75.079	11.818	12.362
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	62	0.0	80.461	10.853	12.364	0.0	75.576	11.947	12.594
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	63	0.0	80.71	10.836	12.427	0.0	74.581	11.999	12.683
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	64	0.0	80.107	10.671	12.265	0.0	74.777	12.033	12.613
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	65	0.0	80.225	10.9	12.12	0.0	74.673	11.915	12.465
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	66	0.0	80.081	10.63	12.032	0.0	73.612	11.854	12.28
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	67	0.0	78.562	10.38	11.611	0.0	74.267	11.502	12.058
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	68	0.0	79.754	11.171	12.66	0.0	73.35	12.097	12.607
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	69	0.0	80.369	10.854	12.359	0.0	74.764	12.038	12.579
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	70	0.0	79.57	10.845	12.191	0.0	73.245	11.896	12.335
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	71	0.0	80.003	10.626	12.008	0.0	73.979	11.788	12.245
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	72	0.0	80.278	10.669	12.259	0.0	74.777	11.957	12.502
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	73	0.0	80.147	10.736	12.112	0.0	74.555	11.958	12.433
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	74	0.0	78.483	10.772	11.982	0.0	73.507	11.835	12.284
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	75	0.0	79.23	10.941	12.174	0.0	72.748	11.825	12.073
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	76	0.0	80.553	10.849	12.242	0.0	73.468	11.788	12.135
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	77	0.0	79.112	10.995	12.221	0.0	73.075	11.988	12.337
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	78	0.0	79.898	10.73	12.071	0.0	73.861	11.598	11.925
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	79	0.0	79.675	11.009	12.394	0.0	72.473	12.398	12.649
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	80	0.0	79.256	10.964	12.237	0.0	74.083	12.2	12.587
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	81	0.0	78.719	10.806	12.09	0.0	74.096	11.918	12.41
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	82	0.0	79.793	10.799	12.191	0.0	73.507	11.993	12.402
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	83	0.0	78.968	10.875	12.181	0.0	74.28	11.925	12.227
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	84	0.0	79.047	10.812	11.958	0.0	72.944	11.939	12.213
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	85	0.0	78.824	10.851	11.966	0.0	73.232	11.902	12.24
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	86	0.0	79.845	10.802	12.181	0.0	73.952	11.675	12.16
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	87	0.0	77.789	10.857	11.831	0.0	73.18	11.857	12.0
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	88	0.0	77.266	10.846	11.695	0.0	70.809	11.815	11.827
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	89	0.0	78.719	10.756	11.89	0.0	72.145	11.944	12.054
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	90	0.0	78.431	10.704	11.805	0.0	71.202	12.184	12.234
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	91	0.0	77.423	10.975	11.959	0.0	71.032	12.134	12.105
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	92	0.0	77.239	10.974	11.95	0.0	71.464	12.046	12.12
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	93	0.0	77.803	10.88	11.88	0.0	71.621	12.128	12.257
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	94	0.0	77.789	11.136	12.161	0.0	72.211	12.312	12.412
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	95	0.0	77.279	11.001	11.997	0.0	70.875	12.306	12.355
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	96	0.0	77.672	11.101	12.056	0.0	72.499	12.129	12.378
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	97	0.0	76.231	11.112	11.769	0.0	71.163	12.275	12.288
ig_resnext101_32x8d	configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_SGD.yaml	222	98	0.0	74.764	11.008	11.592	0.0	69.618	12.471	12.127
