Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_ArcFace_AdamW.yaml	222	0	0.0	5.435	1.165	0.146	0.0	3.85	1.255	0.132
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_ArcFace_AdamW.yaml	222	1	0.0	3.051	4.351	0.625	0.0	2.383	4.367	0.591
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_ArcFace_AdamW.yaml	222	2	0.0	3.326	6.205	1.209	0.0	2.37	6.83	1.19
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_ArcFace_AdamW.yaml	222	3	0.0	1.951	5.585	0.919	0.0	1.519	5.465	0.836
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_ArcFace_AdamW.yaml	222	4	0.0	2.593	6.224	1.055	0.0	1.886	6.047	0.942
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_ArcFace_AdamW.yaml	222	5	0.0	0.275	nan	0.0	0.0	0.144	nan	0.0
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_ArcFace_AdamW.yaml	222	6	0.0	0.196	nan	0.0	0.0	0.34	nan	0.0
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_ArcFace_AdamW.yaml	222	7	0.0	0.183	nan	0.0	0.0	0.144	nan	0.0
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_ArcFace_AdamW.yaml	222	8	0.0	0.131	nan	0.0	0.0	0.144	nan	0.0
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_ArcFace_AdamW.yaml	222	9	0.0	0.196	nan	0.0	0.0	0.105	nan	0.0
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_ArcFace_AdamW.yaml	222	10	0.0	0.34	nan	0.0	0.0	0.432	nan	0.0
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_ArcFace_AdamW.yaml	222	11	0.0	0.196	nan	0.0	0.0	0.157	nan	0.0
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_ArcFace_AdamW.yaml	222	12	0.0	0.471	nan	0.0	0.0	0.34	nan	0.0
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_ArcFace_AdamW.yaml	222	13	0.0	0.21	nan	0.0	0.0	0.262	nan	0.0
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_ArcFace_AdamW.yaml	222	14	0.0	0.118	nan	0.0	0.0	0.105	nan	0.0
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_ArcFace_AdamW.yaml	222	15	0.0	0.236	nan	0.0	0.0	0.249	nan	0.0
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_ArcFace_AdamW.yaml	222	16	0.0	0.21	nan	0.0	0.0	0.196	nan	0.0
