Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_ArcFace_SGD.yaml	222	0	0.0	13.515	24.025	7.78	0.0	12.218	23.244	7.234
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_ArcFace_SGD.yaml	222	1	0.0	13.554	20.46	6.482	0.0	12.048	19.695	5.997
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_ArcFace_SGD.yaml	222	2	0.0	13.135	17.683	5.455	0.0	11.878	16.923	5.024
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_ArcFace_SGD.yaml	222	3	0.0	12.991	15.131	4.557	0.0	11.682	14.423	4.184
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_ArcFace_SGD.yaml	222	4	0.0	12.742	13.033	3.847	0.0	11.655	12.388	3.524
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_ArcFace_SGD.yaml	222	5	0.0	12.533	11.969	3.495	0.0	11.289	11.353	3.196
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_ArcFace_SGD.yaml	222	6	0.0	12.376	11.39	3.295	0.0	10.987	10.794	3.011
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_ArcFace_SGD.yaml	222	7	0.0	11.812	11.604	3.317	0.0	10.726	10.905	3.004
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_ArcFace_SGD.yaml	222	8	0.0	11.472	14.892	4.273	0.0	10.477	13.902	3.815
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_ArcFace_SGD.yaml	222	9	0.0	10.765	20.261	5.868	0.0	9.508	19.15	5.256
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_ArcFace_SGD.yaml	222	10	0.0	10.045	20.421	5.733	0.0	8.814	19.991	5.309
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_ArcFace_SGD.yaml	222	11	0.0	9.233	15.432	4.132	0.0	8.578	15.298	3.856
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_ArcFace_SGD.yaml	222	12	0.0	8.748	11.278	2.911	0.0	8.198	11.147	2.705
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_ArcFace_SGD.yaml	222	13	0.0	8.486	8.518	2.143	0.0	7.962	8.381	1.984
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_ArcFace_SGD.yaml	222	14	0.0	8.329	6.647	1.642	0.0	7.792	6.518	1.519
