Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
twins_svt_large	configs_unified_lr_R2/twins_svt_large/config_twins_svt_large_CosFace_AdamW_0.001_cosine.yaml	222	0	0.0	10.28	27.058	6.316	0.0	9.324	26.223	5.467
twins_svt_large	configs_unified_lr_R2/twins_svt_large/config_twins_svt_large_CosFace_AdamW_0.001_cosine.yaml	222	1	0.0	7.478	33.255	4.542	0.0	6.247	25.401	3.032
twins_svt_large	configs_unified_lr_R2/twins_svt_large/config_twins_svt_large_CosFace_AdamW_0.001_cosine.yaml	222	2	0.0	5.317	2.674	0.301	0.0	3.785	1.904	0.22
twins_svt_large	configs_unified_lr_R2/twins_svt_large/config_twins_svt_large_CosFace_AdamW_0.001_cosine.yaml	222	3	0.0	2.383	nan	0.204	0.0	1.414	nan	0.174
twins_svt_large	configs_unified_lr_R2/twins_svt_large/config_twins_svt_large_CosFace_AdamW_0.001_cosine.yaml	222	4	0.0	0.458	nan	0.076	0.0	0.471	nan	0.05
twins_svt_large	configs_unified_lr_R2/twins_svt_large/config_twins_svt_large_CosFace_AdamW_0.001_cosine.yaml	222	5	0.0	0.354	nan	0.0	0.0	0.157	nan	0.0
twins_svt_large	configs_unified_lr_R2/twins_svt_large/config_twins_svt_large_CosFace_AdamW_0.001_cosine.yaml	222	6	0.0	0.183	nan	0.0	0.0	0.38	nan	0.0
twins_svt_large	configs_unified_lr_R2/twins_svt_large/config_twins_svt_large_CosFace_AdamW_0.001_cosine.yaml	222	7	0.0	0.131	nan	0.0	0.0	0.223	nan	0.0
twins_svt_large	configs_unified_lr_R2/twins_svt_large/config_twins_svt_large_CosFace_AdamW_0.001_cosine.yaml	222	8	0.0	0.092	nan	0.0	0.0	0.118	nan	0.0
twins_svt_large	configs_unified_lr_R2/twins_svt_large/config_twins_svt_large_CosFace_AdamW_0.001_cosine.yaml	222	9	0.0	0.144	nan	0.0	0.0	0.052	nan	0.0
twins_svt_large	configs_unified_lr_R2/twins_svt_large/config_twins_svt_large_CosFace_AdamW_0.001_cosine.yaml	222	10	0.0	0.262	nan	0.0	0.0	0.288	nan	0.0
twins_svt_large	configs_unified_lr_R2/twins_svt_large/config_twins_svt_large_CosFace_AdamW_0.001_cosine.yaml	222	11	0.0	0.092	nan	0.0	0.0	0.092	nan	0.0
twins_svt_large	configs_unified_lr_R2/twins_svt_large/config_twins_svt_large_CosFace_AdamW_0.001_cosine.yaml	222	12	0.0	0.157	nan	0.0	0.0	0.052	nan	0.0
