Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_CosFace_SGD.yaml	222	0	0.0	13.528	24.102	7.803	0.0	12.205	23.315	7.256
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_CosFace_SGD.yaml	222	1	0.0	13.515	20.844	6.587	0.0	11.93	20.05	6.093
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_CosFace_SGD.yaml	222	2	0.0	13.109	18.74	5.728	0.0	11.695	17.895	5.269
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_CosFace_SGD.yaml	222	3	0.0	12.847	17.677	5.256	0.0	11.38	16.787	4.815
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_CosFace_SGD.yaml	222	4	0.0	12.493	18.293	5.398	0.0	11.079	17.292	4.925
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_CosFace_SGD.yaml	222	5	0.0	11.826	19.642	5.847	0.0	10.516	18.527	5.308
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_CosFace_SGD.yaml	222	6	0.0	11.537	20.873	6.317	0.0	10.293	19.687	5.718
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_CosFace_SGD.yaml	222	7	0.0	11.406	21.927	6.77	0.0	10.11	20.719	6.127
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_CosFace_SGD.yaml	222	8	0.0	11.433	22.737	7.157	0.0	10.018	21.54	6.491
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_CosFace_SGD.yaml	222	9	0.0	11.498	23.117	7.396	0.0	9.953	21.96	6.725
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_CosFace_SGD.yaml	222	10	0.0	11.498	23.133	7.5	0.0	9.992	22.028	6.837
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_CosFace_SGD.yaml	222	11	0.0	11.42	22.889	7.514	0.0	10.045	21.846	6.869
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_CosFace_SGD.yaml	222	12	0.0	11.393	22.475	7.475	0.0	10.385	21.498	6.851
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_CosFace_SGD.yaml	222	13	0.0	11.577	21.936	7.412	0.0	10.568	21.031	6.803
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_CosFace_SGD.yaml	222	14	0.0	11.891	21.363	7.35	0.0	10.896	20.533	6.76
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_CosFace_SGD.yaml	222	15	0.0	12.336	20.778	7.295	0.0	11.223	20.027	6.725
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_CosFace_SGD.yaml	222	16	0.0	13.017	20.299	7.302	0.0	11.668	19.624	6.747
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_CosFace_SGD.yaml	222	17	0.0	13.724	19.879	7.345	0.0	12.441	19.272	6.793
