Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	0	0.0	2.698	6.997	0.751	0.0	1.925	6.725	0.595
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	1	0.0	14.772	8.087	3.587	0.0	9.233	7.889	2.989
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	2	0.0	21.87	8.965	4.769	0.0	13.803	8.088	3.769
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	3	0.0	17.352	8.757	4.225	0.0	11.695	8.678	3.628
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	4	0.0	7.046	5.768	2.064	0.0	4.57	5.647	1.81
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	5	0.0	5.631	5.369	1.747	0.0	4.243	5.566	1.687
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	6	0.0	2.2	3.215	0.722	0.0	1.742	3.551	0.799
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	7	0.0	0.131	nan	0.03	0.0	0.196	nan	0.019
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	8	0.0	4.348	4.672	1.425	0.0	3.248	4.504	1.262
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	9	0.0	4.047	4.762	1.455	0.0	3.444	4.842	1.382
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	10	0.0	5.278	5.515	1.842	0.0	4.348	5.5	1.687
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	11	0.0	3.614	4.615	1.413	0.0	3.104	4.785	1.426
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	12	0.0	1.179	2.486	0.536	0.0	0.851	nan	0.502
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	13	0.0	3.366	3.375	0.925	0.0	2.842	3.521	0.964
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	14	0.0	4.623	5.559	1.697	0.0	3.405	5.196	1.468
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	15	0.0	0.013	nan	0.0	0.0	0.026	nan	0.0
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	16	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	18	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	21	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	22	0.0	0.21	0.0	0.0	0.0	0.288	0.0	0.0
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	23	0.0	0.013	0.0	0.0	0.0	0.039	0.0	0.0
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	24	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	27	0.0	0.026	0.0	0.0	0.0	0.013	0.0	0.0
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	28	0.0	0.34	0.0	0.0	0.0	0.34	0.0	0.0
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	29	0.0	0.223	0.0	0.0	0.0	0.236	0.0	0.0
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	30	0.0	0.065	nan	0.0	0.0	0.065	nan	0.0
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	31	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	33	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	35	0.0	0.236	nan	0.0	0.0	0.131	nan	0.0
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	36	0.0	0.157	nan	0.0	0.0	0.118	nan	0.0
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	37	0.0	0.131	nan	0.0	0.0	0.118	nan	0.0
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	38	0.0	0.314	nan	0.0	0.0	0.196	nan	0.0
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	40	0.0	0.092	0.0	0.0	0.0	0.157	0.0	0.0
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	41	0.0	0.118	0.0	0.0	0.0	0.118	0.0	0.0
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	42	0.0	0.131	0.0	0.0	0.0	0.079	0.0	0.0
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	43	0.0	0.079	0.0	0.0	0.0	0.039	0.0	0.0
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	44	0.0	0.21	nan	0.0	0.0	0.21	nan	0.0
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	45	0.0	0.131	0.0	0.0	0.0	0.131	0.0	0.0
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	46	0.0	0.013	0.0	0.0	0.0	0.039	0.0	0.0
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	47	0.0	0.013	0.0	0.0	0.0	0.026	0.0	0.0
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	48	0.0	0.0	nan	0.0	0.0	0.026	nan	0.0
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	49	0.0	0.079	nan	0.0	0.0	0.052	nan	0.0
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	50	0.0	0.157	0.0	0.0	0.0	0.079	0.0	0.0
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	52	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	53	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	54	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	57	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	58	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
