Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	0	0.0	12.939	28.794	8.96	0.0	11.42	27.421	7.799
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	1	0.0	10.228	32.757	9.047	0.0	9.18	30.741	7.874
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	2	0.0	8.08	26.138	6.136	0.0	7.019	23.525	5.129
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	3	0.0	8.683	11.836	3.149	0.0	7.242	11.107	2.661
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	4	0.0	11.76	10.157	3.532	0.0	8.643	9.67	3.037
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	5	0.0	12.782	10.211	3.92	0.0	9.455	9.508	3.282
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	6	0.0	10.712	8.694	3.202	0.0	8.211	8.077	2.686
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	7	0.0	9.455	6.188	2.23	0.0	6.797	5.774	1.843
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	8	0.0	4.518	4.447	1.345	0.0	3.431	4.169	1.202
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	9	0.0	4.125	6.857	1.966	0.0	3.628	6.831	1.816
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	10	0.0	4.872	7.475	2.199	0.0	3.392	7.51	2.066
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	11	0.0	4.191	7.778	2.373	0.0	3.497	7.843	2.229
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	12	0.0	4.112	7.62	2.354	0.0	3.444	7.843	2.252
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	13	0.0	3.85	7.246	2.212	0.0	3.274	7.531	2.182
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	14	0.0	4.164	6.856	2.087	0.0	3.117	7.13	2.069
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	15	0.0	4.191	6.354	2.007	0.0	3.117	6.426	1.912
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	16	0.0	2.999	4.174	1.273	0.0	2.331	4.045	1.162
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	17	0.0	0.354	nan	0.002	0.0	0.249	nan	0.003
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	18	0.0	0.314	nan	0.047	0.0	0.144	nan	0.052
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	19	0.0	1.375	1.578	0.385	0.0	1.375	1.695	0.393
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	20	0.0	3.339	1.388	0.388	0.0	2.711	1.414	0.365
twins_svt_large	configs_R2/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	21	0.0	2.174	0.891	0.242	0.0	1.493	0.948	0.238
