Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_MagFace_AdamW.yaml	222	0	0.0	14.183	31.715	11.172	0.0	12.31	30.675	10.304
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_MagFace_AdamW.yaml	222	1	0.0	13.122	30.894	10.814	0.0	11.289	28.757	9.375
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_MagFace_AdamW.yaml	222	2	0.0	12.808	23.08	7.867	0.0	10.228	20.446	6.451
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_MagFace_AdamW.yaml	222	3	0.0	11.865	15.487	5.211	0.0	9.141	13.45	4.163
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_MagFace_AdamW.yaml	222	4	0.0	9.992	9.27	2.897	0.0	7.255	8.332	2.342
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_MagFace_AdamW.yaml	222	5	0.0	8.971	4.406	1.386	0.0	6.273	3.983	1.15
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_MagFace_AdamW.yaml	222	6	0.0	3.418	3.685	0.852	0.0	2.305	3.383	0.751
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_MagFace_AdamW.yaml	222	7	0.0	1.899	2.468	0.491	0.0	1.244	2.499	0.458
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_MagFace_AdamW.yaml	222	8	0.0	1.139	1.709	0.309	0.0	0.825	1.637	0.274
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_MagFace_AdamW.yaml	222	9	0.0	0.445	nan	0.122	0.0	0.262	nan	0.118
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_MagFace_AdamW.yaml	222	10	0.0	0.013	nan	0.005	0.0	0.0	nan	0.004
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_MagFace_AdamW.yaml	222	11	0.0	0.275	nan	0.001	0.0	0.236	nan	0.0
twins_svt_large	configs_multi_R2/twins_svt_large/config_twins_svt_large_MagFace_AdamW.yaml	222	12	0.0	0.079	nan	0.0	0.0	0.026	nan	0.0
