Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
dpn107	configs_unified_lr/dpn107/config_dpn107_CosFace_SGD_0.1_cosine.yaml	222	0	0.0	4.584	38.891	10.148	0.0	4.217	35.862	9.603
dpn107	configs_unified_lr/dpn107/config_dpn107_CosFace_SGD_0.1_cosine.yaml	222	1	0.0	23.206	37.647	22.588	0.0	18.884	37.84	21.185
dpn107	configs_unified_lr/dpn107/config_dpn107_CosFace_SGD_0.1_cosine.yaml	222	2	0.0	49.384	38.527	31.311	0.0	35.974	41.324	30.426
dpn107	configs_unified_lr/dpn107/config_dpn107_CosFace_SGD_0.1_cosine.yaml	222	3	0.0	64.929	40.94	39.178	0.0	51.532	41.746	35.307
dpn107	configs_unified_lr/dpn107/config_dpn107_CosFace_SGD_0.1_cosine.yaml	222	4	0.0	76.414	42.148	46.131	0.0	63.03	42.348	39.173
dpn107	configs_unified_lr/dpn107/config_dpn107_CosFace_SGD_0.1_cosine.yaml	222	5	0.0	83.29	43.46	51.975	0.0	70.43	44.615	45.272
dpn107	configs_unified_lr/dpn107/config_dpn107_CosFace_SGD_0.1_cosine.yaml	222	6	0.0	86.812	42.435	52.422	0.0	76.65	44.606	48.086
dpn107	configs_unified_lr/dpn107/config_dpn107_CosFace_SGD_0.1_cosine.yaml	222	7	0.0	89.825	42.168	54.447	0.0	81.535	44.424	50.249
dpn107	configs_unified_lr/dpn107/config_dpn107_CosFace_SGD_0.1_cosine.yaml	222	8	0.0	91.841	41.993	55.974	0.0	83.958	44.685	52.525
dpn107	configs_unified_lr/dpn107/config_dpn107_CosFace_SGD_0.1_cosine.yaml	222	9	0.0	93.295	41.355	57.484	0.0	87.978	44.157	54.328
dpn107	configs_unified_lr/dpn107/config_dpn107_CosFace_SGD_0.1_cosine.yaml	222	10	0.0	93.714	41.08	57.461	0.0	88.777	43.721	54.786
