,index,epoch,Error,Disparity,model
354,coat_lite_small_MagFace_AdamW_rank_by_id_val,99,0.5466867469879518,0.3979909941115345,coat_lite_small
352,coat_lite_small_MagFace_SGD_rank_by_id_val,99,0.7012833944473547,0.4553283100107641,coat_lite_small
343,coat_lite_small_CosFace_AdamW_rank_by_id_val,99,0.12048192771084337,0.12296507033349147,coat_lite_small
53,coat_lite_small_MagFace_AdamW_0.001_cosine_rank_by_id_val,99,0.47236773179675223,0.29900142653352346,coat_lite_small
205,coat_lite_small_ArcFace_AdamW_0.001_cosine_rank_by_id_val,99,0.5395495023572551,0.32462809917355373,coat_lite_small
157,coat_lite_small_CosFace_AdamW_0.001_cosine_rank_by_id_val,99,0.07687270822420116,0.05900394333284642,coat_lite_small
305,coat_lite_small_CosFace_Adam_rank_by_id_val,99,0.7738344683080147,0.5341159207630228,coat_lite_small
306,coat_lite_small_CosFace_SGD_rank_by_id_val,99,0.2904662126767941,0.20737421063353034,coat_lite_small
335,convit_base_MagFace_AdamW_rank_by_id_val,99,0.7654531168150864,0.44005449591280654,convit_base
199,convit_base_ArcFace_AdamW_0.001_cosine_rank_by_id_val,99,0.875,0.28622754491017965,convit_base
319,convit_base_ArcFace_AdamW_rank_by_id_val,99,0.8097826086956522,0.37919737919737906,convit_base
336,convit_base_MagFace_SGD_rank_by_id_val,99,0.8458617077003667,0.2765957446808509,convit_base
348,convit_base_CosFace_Adam_rank_by_id_val,99,0.646280775275013,0.4532243415077204,convit_base
349,convit_base_CosFace_SGD_rank_by_id_val,99,0.18314562598218964,0.16129591129591137,convit_base
158,convit_base_CosFace_AdamW_0.001_cosine_rank_by_id_val,99,0.6724724986904138,0.38303954263935225,convit_base
291,convit_base_CosFace_AdamW_rank_by_id_val,99,0.6526977475117863,0.4808231992516372,convit_base
97,convit_base_MagFace_AdamW_0.001_cosine_rank_by_id_val,99,0.8657674174960712,0.3321956769055745,convit_base
96,cspdarknet53_ArcFace_AdamW_0.001_cosine_rank_by_id_val,99,0.3438973284442116,0.14652956298200515,cspdarknet53
98,cspdarknet53_MagFace_SGD_0.1_cosine_rank_by_id_val,99,0.15027501309586172,0.05234856871738103,cspdarknet53
320,cspdarknet53_CosFace_adam_rank_by_id_val,99,0.21647459402828706,0.10706110230674404,cspdarknet53
196,cspdarknet53_CosFace_SGD_0.1_cosine_rank_by_id_val,99,0.3564038763750655,0.18567934178341106,cspdarknet53
69,cspdarknet53_CosFace_AdamW_0.001_cosine_rank_by_id_val,99,0.2246595075955998,0.09315891815449895,cspdarknet53
290,cspdarknet53_CosFace_AdamW_rank_by_id_val,99,0.2363148245154531,0.1263445761166817,cspdarknet53
55,cspdarknet53_ArcFace_SGD_0.1_cosine_rank_by_id_val,99,0.160489785227868,0.060591449694631816,cspdarknet53
298,cspdarknet53_ArcFace_SGD_rank_by_id_val,99,0.8784704033525406,0.053097345132743445,cspdarknet53
297,cspdarknet53_MagFace_AdamW_rank_by_id_val,99,0.4153352540597171,0.26970005083884074,cspdarknet53
337,cspdarknet53_CosFace_SGD_rank_by_id_val,99,0.7714772132006286,0.18671679197994995,cspdarknet53
296,cspdarknet53_ArcFace_AdamW_rank_by_id_val,99,0.3520167627029859,0.23638418079096057,cspdarknet53
346,cspdarknet53_MagFace_SGD_rank_by_id_val,99,0.8969355683603981,0.007653061224489832,cspdarknet53
6,cspdarknet53_MagFace_AdamW_0.001_cosine_rank_by_id_val,99,0.3033001571503405,0.13440320962888674,cspdarknet53
317,dla102x2_MagFace_AdamW_rank_by_id_val,99,0.2817574646411734,0.13487738419618522,dla102x2
334,dla102x2_ArcFace_SGD_rank_by_id_val,99,0.3394447354635935,0.17039586919104988,dla102x2
197,dla102x2_MagFace_AdamW_0.001_cosine_rank_by_id_val,99,0.3514929282346778,0.17383669885864794,dla102x2
246,dla102x2_ArcFace_AdamW_0.001_cosine_rank_by_id_val,99,0.37683342063907804,0.20965869514743463,dla102x2
187,dla102x2_CosFace_AdamW_0.001_cosine_rank_by_id_val,99,0.20586694604504976,0.09609402004839285,dla102x2
327,dla102x2_CosFace_AdamW_rank_by_id_val,99,0.15531691985332635,0.06400000000000006,dla102x2
345,dla102x2_MagFace_SGD_rank_by_id_val,99,0.35142744892613936,0.1913716814159292,dla102x2
353,dla102x2_ArcFace_AdamW_rank_by_id_val,99,0.32654531168150863,0.21325586399827845,dla102x2
301,dla102x2_CosFace_sgd_rank_by_id_val,99,0.14045311681508643,0.08928855642209133,dla102x2
309,dpn107_MagFace_SGD_rank_by_id_val,99,0.15413829229963333,0.07551413881748092,dpn107
326,dpn107_MagFace_AdamW_rank_by_id_val,99,0.49044002095337874,0.28211143695014673,dpn107
333,dpn107_CosFace_sgd_rank_by_id_val,99,0.07071765322158198,0.044662152427604074,dpn107
342,dpn107_CosFace_AdamW_rank_by_id_val,99,0.05264536406495547,0.041484408071116086,dpn107
219,dpn107_MagFace_SGD_0.1_cosine_rank_by_id_val,99,0.09749869041382923,0.05563012677106638,dpn107
