,index,epoch,Error,Disparity,model
354,coat_lite_small_MagFace_AdamW_rank_by_id_val,99,0.5466867469879518,0.4092171576895497,coat_lite_small
352,coat_lite_small_MagFace_SGD_rank_by_id_val,99,0.7012833944473547,0.35036350360328905,coat_lite_small
343,coat_lite_small_CosFace_AdamW_rank_by_id_val,99,0.12048192771084337,0.49707882857951124,coat_lite_small
53,coat_lite_small_MagFace_AdamW_0.001_cosine_rank_by_id_val,99,0.47236773179675223,0.38260464006421036,coat_lite_small
205,coat_lite_small_ArcFace_AdamW_0.001_cosine_rank_by_id_val,99,0.5395495023572551,0.35998862676845134,coat_lite_small
157,coat_lite_small_CosFace_AdamW_0.001_cosine_rank_by_id_val,99,0.07687270822420116,0.5226370979169619,coat_lite_small
305,coat_lite_small_CosFace_Adam_rank_by_id_val,99,0.7738344683080147,0.2856439336331573,coat_lite_small
306,coat_lite_small_CosFace_SGD_rank_by_id_val,99,0.2904662126767941,0.4497589986783799,coat_lite_small
335,convit_base_MagFace_AdamW_rank_by_id_val,99,0.7654531168150864,0.31750480179548457,convit_base
199,convit_base_ArcFace_AdamW_0.001_cosine_rank_by_id_val,99,0.875,0.17408310002638994,convit_base
319,convit_base_ArcFace_AdamW_rank_by_id_val,99,0.8097826086956522,0.2591230835137972,convit_base
336,convit_base_MagFace_SGD_rank_by_id_val,99,0.8458617077003667,0.291041070680199,convit_base
348,convit_base_CosFace_Adam_rank_by_id_val,99,0.646280775275013,0.13996513654851828,convit_base
349,convit_base_CosFace_SGD_rank_by_id_val,99,0.18314562598218964,0.5576346407580665,convit_base
158,convit_base_CosFace_AdamW_0.001_cosine_rank_by_id_val,99,0.6724724986904138,0.24856437932360553,convit_base
291,convit_base_CosFace_AdamW_rank_by_id_val,99,0.6526977475117863,0.309733466235545,convit_base
97,convit_base_MagFace_AdamW_0.001_cosine_rank_by_id_val,99,0.8657674174960712,0.19195770532402912,convit_base
96,cspdarknet53_ArcFace_AdamW_0.001_cosine_rank_by_id_val,99,0.3438973284442116,0.3864390461945777,cspdarknet53
98,cspdarknet53_MagFace_SGD_0.1_cosine_rank_by_id_val,99,0.15027501309586172,0.390050754112523,cspdarknet53
320,cspdarknet53_CosFace_adam_rank_by_id_val,99,0.21647459402828706,0.10929483680820873,cspdarknet53
196,cspdarknet53_CosFace_SGD_0.1_cosine_rank_by_id_val,99,0.3564038763750655,0.245085978587276,cspdarknet53
69,cspdarknet53_CosFace_AdamW_0.001_cosine_rank_by_id_val,99,0.2246595075955998,0.058150540865384626,cspdarknet53
290,cspdarknet53_CosFace_AdamW_rank_by_id_val,99,0.2363148245154531,0.012547781922920831,cspdarknet53
55,cspdarknet53_ArcFace_SGD_0.1_cosine_rank_by_id_val,99,0.160489785227868,0.37972625016939965,cspdarknet53
298,cspdarknet53_ArcFace_SGD_rank_by_id_val,99,0.8784704033525406,0.030325180869926527,cspdarknet53
297,cspdarknet53_MagFace_AdamW_rank_by_id_val,99,0.4153352540597171,0.501594002474707,cspdarknet53
337,cspdarknet53_CosFace_SGD_rank_by_id_val,99,0.7714772132006286,0.2135801972608703,cspdarknet53
296,cspdarknet53_ArcFace_AdamW_rank_by_id_val,99,0.3520167627029859,0.49160068207526464,cspdarknet53
346,cspdarknet53_MagFace_SGD_rank_by_id_val,99,0.8969355683603981,0.009135861671832224,cspdarknet53
6,cspdarknet53_MagFace_AdamW_0.001_cosine_rank_by_id_val,99,0.3033001571503405,0.4044796278232161,cspdarknet53
